,lemma,pos,freq
0,er,ADV,63317
1,zijn,VERB,32588
2,eens,ADV,10363
3,een,DET,209053
4,man,NOUN,3844
5,en,CCONJ,364389
6,die,PRON,31760
7,heten,VERB,8186
8,klein,ADJ,8902
9,.,PUNCT,715247
10,hij,PRON,58210
11,worden,AUX,25352
12,mee,ADP,12048
13,uitgescholden,VERB,33
14,zo,ADV,24170
15,maar,CCONJ,77812
16,zijn,AUX,239909
17,nog,ADV,29726
18,niet,ADV,105588
19,juist,ADJ,1050
20,heel,ADJ,56861
21,lang,ADJ,7637
22,hebben,VERB,54618
23,lengte,NOUN,43
24,van,ADP,53948
25,wel,ADV,48610
26,"10,10",NUM,1
27,m.,SYM,14
28,want,CCONJ,41645
29,dat,PRON,60808
30,echt,ADJ,10264
31,toen,ADV,25015
32,gaan,VERB,99941
33,naar,ADP,63518
34,zijn,PRON,22547
35,moeder,NOUN,12628
36,groot,ADJ,12872
37,vinden,VERB,73997
38,eerlijk,ADJ,338
39,dus,ADV,20175
40,smeekken,VERB,9
41,bij,ADP,23820
42,:,PUNCT,25857
43,mogen,AUX,15464
44,ik,PRON,260577
45,alstublieft,ADV,79
46,de,DET,241632
47,koning,NOUN,1106
48,om,ADP,29503
49,mijn,PRON,57388
50,naam,NOUN,1668
51,te,ADP,41175
52,veranderen,VERB,659
53,zeggen,VERB,29749
54,ja,INTJ,10087
55,mogen,VERB,3447
56,je,PRON,143453
57,moeten,AUX,50771
58,goed,ADJ,33902
59,oppassen,VERB,197
60,hipkip,NOUN,2
61,hippe,ADJ,23
62,kip,NOUN,691
63,geen,DET,17123
64,tok,NOUN,25
65,maar,ADV,16163
66,hop,NOUN,52
67,combinatie,NOUN,23
68,paard,NOUN,3258
69,het,PRON,118621
70,twee,NUM,8432
71,poot,NOUN,1310
72,staart,NOUN,925
73,hoofd,NOUN,1315
74,snavel,NOUN,747
75,kunnen,AUX,82788
76,ook,ADV,85698
77,vliegen,VERB,5634
78,met,ADP,71018
79,vleugel,NOUN,1731
80,raar,ADJ,2677
81,dier,NOUN,30560
82,leven,VERB,5104
83,in,ADP,99165
84,prehistorie,NOUN,36
85,daardoor,ADV,796
86,hebben,AUX,47129
87,eigenschap,NOUN,20
88,...,SYM,292
89,T,SYM,18
90,Rex,PROPN,74
91,eten,VERB,19281
92,namelijk,ADV,767
93,vlees,NOUN,785
94,gelukkig,ADJ,3355
95,anders,ADV,4796
96,nu,ADV,10988
97,morsdood,ADV,1
98,!,PUNCT,34594
99,dag,NOUN,15471
100,beginnen,VERB,4638
101,acht,NUM,839
102,uur,NOUN,7397
103,staan,VERB,10584
104,op,ADP,79076
105,meteen,ADV,1909
106,tekenen,VERB,1800
107,elf,NUM,512
108,ontbijten,VERB,313
109,werken,VERB,3259
110,aan,ADP,25964
111,spreekbeurt,NOUN,265
112,",",PUNCT,92338
113,over,ADP,12855
114,Vincent,PROPN,74
115,van,PROPN,394
116,Gogh,PROPN,16
117,we,PRON,60148
118,PowerPoint,PROPN,16
119,maken,VERB,18567
120,even,ADV,7445
121,doornemen,VERB,7
122,drie,NUM,5774
123,stad,NOUN,1631
124,cadeaut,NOUN,1107
125,kopen,VERB,4508
126,voor,ADP,33264
127,surprise,NOUN,256
128,Hema,PROPN,19
129,daar,ADV,22696
130,panty,NOUN,7
131,wat,PRON,24865
132,onderbroe,NOUN,11
133,majolete,NOUN,1
134,mij,PRON,9048
135,Pipoos,PROPN,2
136,kijken,VERB,11906
137,verpakking,NOUN,9
138,genoeg,ADV,2875
139,daarna,ADV,7335
140,winkel,NOUN,1494
141,markt,NOUN,226
142,cadeau,NOUN,1489
143,vijf,NUM,2004
144,weggegaan,VERB,26
145,dit,PRON,6998
146,vrij,ADJ,3218
147,zielig,ADJ,7991
148,vooral,ADV,1535
149,tijger,NOUN,1584
150,olifant,NOUN,1992
151,wand,NOUN,48
152,denken,VERB,12942
153,dat,SCONJ,53734
154,irritant,ADJ,432
155,ze,PRON,139515
156,steeds,ADV,2617
157,tikken,VERB,112
158,krijgen,VERB,19599
159,zweep,NOUN,828
160,berijden,VERB,14
161,hok,NOUN,3880
162,stoppen,VERB,2182
163,pony,NOUN,853
164,hond,NOUN,32388
165,leuk,ADJ,63718
166,plezier,NOUN,652
167,horen,VERB,6707
168,eigenlijk,ADJ,4469
169,Afrika,PROPN,527
170,Vogels,PROPN,1934
171,elektriciteit,NOUN,120
172,vliegtuig,NOUN,25661
173,boven,ADP,2558
174,wolk,NOUN,408
175,vogel,NOUN,21634
176,vogel,PROPN,2451
177,nest,NOUN,936
178,piloot,NOUN,630
179,passagier,NOUN,515
180,1.000.000,NUM,18
181,kilo,NOUN,159
182,weg,NOUN,2249
183,25,NUM,283
184,gram,NOUN,162
185,veel,ADV,23726
186,weinig,ADV,1647
187,tv-kijken,SYM,150
188,buiten,ADP,27563
189,spelen,VERB,36222
190,doen,VERB,47706
191,dan,ADV,66721
192,Isa,PROPN,258
193,vriendin,NOUN,3912
194,zelf,ADV,9094
195,speel,VERB,6892
196,bijna,ADV,4641
197,altijd,ADV,8973
198,binnen,ADP,14775
199,zelfverzonnen,ADJ,4
200,spel,NOUN,3199
201,of,CCONJ,30307
202,tv-kijken,ADV,58
203,vaak,ADJ,9191
204,Pip,PROPN,248
205,het,DET,76340
206,soms,ADV,12807
207,spring,VERB,130
208,weleens,ADV,377
209,trampoline,NOUN,1171
210,ons,PRON,7636
211,achtertuin,NOUN,190
212,avond,NOUN,2839
213,veld,NOUN,767
214,wonen,VERB,3467
215,liggen,VERB,5053
216,vlak,ADJ,182
217,schommel,VERB,7
218,schommel,NOUN,373
219,hangmat,NOUN,38
220,lezen,VERB,3179
221,boek,NOUN,2094
222,bank,NOUN,1486
223,superfijn,ADJ,3
224,kamer,NOUN,2865
225,binnen-,SYM,36
226,buitenkind,NOUN,5
227,beide,PRON,192
228,wat,DET,1794
229,tip,NOUN,803
230,geven,VERB,7364
231,schrijven,VERB,8651
232,Tip,NOUN,497
233,1,NUM,4103
234,=,SYM,701
235,voordat,SCONJ,634
236,erover,ADV,276
237,na,ADP,5165
238,2,NUM,4640
239,titel,NOUN,170
240,als,SCONJ,60332
241,laat,ADJ,9525
242,3,NUM,5662
243,alfabet,NOUN,46
244,4,NUM,2669
245,hoofdletter,NOUN,766
246,punt,NOUN,1750
247,uitroepteken,VERB,41
248,vraagteken,NOUN,203
249,miljarde,ADJ,1
250,soort,NOUN,3957
251,veel,DET,18073
252,kat,NOUN,2000
253,dolfijn,NOUN,468
254,zoogdier,NOUN,172
255,vis,VERB,104
256,eend,NOUN,308
257,landdiear,NOUN,3
258,springdieren,NOUN,1
259,enzovoort,CCONJ,884
260,zien,VERB,19130
261,sommig,DET,5711
262,zee,NOUN,983
263,ander,ADJ,14340
264,land,NOUN,3205
265,lucht,NOUN,1738
266,plek,NOUN,1423
267,al,DET,5243
268,leven,NOUN,3213
269,één,NUM,6981
270,veel,PRON,11602
271,dan,SCONJ,9223
272,mens,NOUN,19208
273,lievelingsdier/dieren,VERB,1
274,bijvoorbeeld,ADV,7855
275,één,PROPN,257
276,daarom,ADV,4720
277,opnoemen,VERB,116
278,opschrijven,VERB,380
279,uitkijken,VERB,247
280,aantal,NOUN,152
281,jaar,NOUN,7680
282,houden,VERB,6893
283,weer,ADV,15986
284,zoeken,VERB,3373
285,erg,ADJ,10562
286,of,SCONJ,6718
287,schoon,ADJ,531
288,hokk,NOUN,2198
289,gelijk,NOUN,449
290,taalles,NOUN,21
291,spellingless,NOUN,4
292,typen,VERB,1879
293,super,ADV,476
294,smstaal,NOUN,530
295,gebruiken,VERB,5079
296,beetje,NOUN,4437
297,beperken,VERB,9
298,verleer,VERB,21
299,gewoon,ADJ,12417
300,nodig,ADJ,4458
301,keuze,NOUN,159
302,kind,NOUN,23716
303,willen,VERB,23448
304,hun,PRON,10959
305,eigen,ADJ,2561
306,schuld,NOUN,203
307,ongeluk,NOUN,765
308,gebeuren,VERB,3278
309,dorp,NOUN,653
310,Twijzel,PROPN,6
311,zullen,AUX,11430
312,enkel,DET,93
313,kear,NOUN,1
314,door,ADP,10993
315,luidspreker,NOUN,13
316,',PUNCT,9056
317,dug-out,NOUN,30
318,toch,ADV,7240
319,fout,NOUN,1324
320,21,NUM,182
321,mei,PROPN,354
322,sportpark,NOUN,10
323,De,DET,52
324,Moune,PROPN,2
325,rond,ADP,1275
326,15.30,NUM,11
327,inzakken,VERB,5
328,raken,VERB,1628
