lemma1,lemma2,freq
virus,verspreiden,2
kind,worden,1
mens,krijgen,1
virus,krijgen,1
die,worden,1
last,hebben,1
Kind,overlijden,1
je,bedenken,1
miljoen,wonen,1
mens,wonen,1
het,doorgeven,1
groot,stad,1
tak,komen,1
vrouw,zitten,1
ze,dragen,1
jurk,dragen,1
zwart,jurk,1
pukkel,zitten,1
Lien,vinden,1
haar,vinden,1
oog,kijken,1
u,doen,1
het,doen,1
Sam,roepen,1
’,vragen,1
vrouw,vragen,1
we,zien,1
peer,zien,1
Lien,zeggen,1
houten,bank,1
Kim,kniken,1
ik,helpen,1
Koen,helpen,1
Bas,schriken,1
Kim,zeggen,1
wedstrijd,beginnen,1
’,steunen,1
Bas,steunen,1
we,zijn,1
horoscop,worden,1
jullie,gaan,1
dagelijks,ding,1
we,schrijven,1
horoscoop,schrijven,1
sterrenbeeld,kiesen,1
jullie,kiezen,1
sterrenbeeld,kiezen,1
verschillend,sterrenbeeld,1
zinn,zijn,1
Fries,handel,1
goed,handelaar,1
Romeins,tijd,1
ze,durven,1
Noordzee,invaren,1
ze,blijven,1
handelaar,blijven,1
Fries,onderwerpen,1
belangrijk,handelaar,1
ze,hebben,1
munt,hebben,1
eigen,munt,1
Fries,munt,1
die,vinden,1
terug-,vinden,1
belangrijk,vestigingsplaatsen,1
Fries,handelaar,1
stof,maken,1
bronzen,ketel,1
eind,komen,1
hij,vangen,1
bal,vangen,1
prachtig,gezicht,1
Daan,zeggen,1
hij,kijken,1
dat,doen,1
hij,doen,1
bal,vliegen,1
rood,bal,1
bal,komen,1
hij,springen,1
Daan,krijgen,1
lach,krijgen,1
slappe,lach,1
we,worden,1
goed,clowns,1
Pien,lachen,1
Daan,slaan,1
wat,zien,1
je,zien,1
wat,maken,1
dit,maken,1
