lemma1,lemma2,freq
er,zijn,13909
zijn,eens,2093
eens,een,2319
een,man,1007
man,en,297
en,die,4282
die,heten,1257
heten,klein,2
klein,hij,35
hij,worden,728
worden,er,979
er,mee,479
mee,uitgescholden,1
uitgescholden,en,4
en,zo,2274
zo,maar,505
maar,hij,2166
hij,zijn,6989
zijn,nog,2078
nog,niet,2202
niet,eens,836
eens,klein,4
zijn,juist,180
juist,heel,71
heel,lang,1229
lang,hij,31
hij,hebben,3296
hebben,een,11737
een,lengte,3
lengte,van,4
van,wel,294
wel,"10,10",1
"10,10",m.,1
m.,want,1
want,dat,2035
dat,zijn,24521
zijn,echt,1716
echt,heel,916
lang,toen,28
toen,gaan,6068
gaan,hij,1871
hij,naar,906
naar,zijn,863
zijn,moeder,1688
moeder,en,1365
heten,groot,2
groot,maar,167
maar,dat,4465
dat,vinden,6070
vinden,hij,488
hij,niet,670
niet,eerlijk,125
eerlijk,dus,6
dus,hij,602
hij,smeekken,3
smeekken,bij,2
bij,zijn,351
moeder,mogen,68
mogen,ik,1650
ik,alstublieft,4
alstublieft,naar,2
naar,de,14405
de,koning,522
koning,om,5
om,mijn,252
mijn,naam,205
naam,te,8
te,veranderen,9
veranderen,zijn,12
moeder,zeggen,660
zeggen,ja,531
ja,dat,669
dat,mogen,734
mogen,wel,479
wel,maar,881
maar,je,2594
je,moeten,6231
moeten,wel,1369
wel,goed,2059
goed,oppassen,16
de,hipkip,2
hipkip,zijn,2
zijn,een,14236
een,heel,4837
heel,hippe,1
hippe,kip,1
kip,hij,5
hij,zeggen,1148
zeggen,geen,39
geen,tok,1
tok,tok,6
tok,maar,1
maar,hop,1
hop,hop,12
hop,de,2
zijn,niet,6441
niet,echt,1108
echt,een,437
een,kip,100
kip,maar,10
maar,een,2952
een,combinatie,8
combinatie,van,7
van,een,2350
een,paard,565
paard,en,442
en,een,16965
kip,het,6
het,hebben,603
hebben,twee,682
twee,poot,94
poot,een,53
een,staart,355
staart,en,188
een,hoofd,67
hoofd,en,193
een,snavel,446
snavel,hij,2
hij,kunnen,1519
kunnen,ook,5212
ook,vliegen,48
vliegen,met,145
met,zijn,3025
zijn,vleugel,326
vleugel,het,8
het,zijn,29314
heel,raar,293
raar,dier,20
dier,en,1632
en,leven,145
leven,in,587
in,de,29988
de,prehistorie,15
prehistorie,daardoor,1
daardoor,hebben,24
hebben,hij,989
hij,een,1506
een,eigenschap,1
eigenschap,van,6
een,T,20
T,Rex,2
Rex,hij,1
hij,eten,259
eten,namelijk,2
namelijk,vlees,1
vlees,gelukkig,3
gelukkig,leven,38
leven,hij,40
hij,in,753
prehistorie,anders,1
anders,zijn,566
zijn,ik,7950
ik,nu,439
nu,morsdood,1
mijn,dag,45
dag,beginnen,37
beginnen,om,84
om,acht,66
acht,uur,139
uur,toen,68
toen,staan,166
staan,ik,366
ik,op,2277
op,ik,453
ik,zijn,19654
zijn,meteen,40
meteen,gaan,30
gaan,tekenen,43
tekenen,om,2
om,elf,44
elf,uur,77
uur,gaan,243
gaan,ik,11547
ik,ontbijten,29
ontbijten,om,4
om,twee,44
twee,uur,439
ik,werken,65
werken,aan,29
aan,mijn,604
mijn,spreekbeurt,84
spreekbeurt,over,55
over,Vincent,1
Vincent,van,8
van,Gogh,12
Gogh,we,1
we,hebben,5351
hebben,de,2272
de,PowerPoint,2
PowerPoint,maken,6
maken,nog,32
nog,even,778
even,doornemen,1
doornemen,en,3
en,toen,12321
toen,om,31
om,drie,46
drie,uur,249
ik,met,2746
met,mijn,7845
mijn,moeder,4303
moeder,naar,224
de,stad,1123
stad,toen,18
gaan,cadeaut,6
cadeaut,kopen,21
kopen,voor,225
voor,de,7206
de,surprise,58
surprise,we,2
we,zijn,3159
nog,naar,576
de,Hema,17
Hema,zijn,3
zijn,daar,1240
daar,hebben,1539
hebben,mijn,709
moeder,een,140
een,panty,4
panty,kopen,1
kopen,wat,35
wat,onderbroe,1
onderbroe,en,2
een,majolete,1
majolete,voor,1
voor,mij,868
mij,we,34
zijn,bij,1003
bij,de,4782
de,Pipoos,1
Pipoos,zijn,2
daar,gaan,1535
gaan,we,10840
we,kijken,109
kijken,voor,53
de,verpakking,6
