lemma1,lemma2,freq
er,zijn,3
zijn,eens,1
eens,een,1
een,man,1
man,en,1
en,die,2
die,heten,2
heten,klein,1
klein,hij,2
hij,worden,1
worden,er,1
er,mee,1
mee,uitgescholden,1
uitgescholden,en,1
en,zo,1
zo,maar,1
maar,hij,1
hij,zijn,2
zijn,nog,3
nog,niet,1
niet,eens,1
eens,klein,1
zijn,juist,1
juist,heel,1
heel,lang,2
lang,hij,1
hij,hebben,1
hebben,een,2
een,lengte,1
lengte,van,1
van,wel,1
wel,"10,10",1
"10,10",m.,1
m.,want,1
want,dat,1
dat,zijn,4
zijn,echt,1
echt,heel,1
lang,toen,1
toen,gaan,2
gaan,hij,1
hij,naar,1
naar,zijn,1
zijn,moeder,3
moeder,en,1
heten,groot,1
groot,maar,1
maar,dat,1
dat,vinden,2
vinden,hij,1
hij,niet,1
niet,eerlijk,1
eerlijk,dus,1
dus,hij,1
hij,smeekken,1
smeekken,bij,1
bij,zijn,1
moeder,mogen,1
mogen,ik,1
ik,alstublieft,1
alstublieft,naar,1
naar,de,3
de,koning,1
koning,om,1
om,mijn,1
mijn,naam,1
naam,te,1
te,veranderen,1
veranderen,zijn,1
moeder,zeggen,1
zeggen,ja,1
ja,dat,1
dat,mogen,1
mogen,wel,1
wel,maar,1
maar,je,1
je,moeten,2
moeten,wel,1
wel,goed,1
goed,oppassen,1
de,hipkip,2
hipkip,zijn,2
zijn,een,2
een,heel,2
heel,hippe,1
hippe,kip,1
kip,hij,1
hij,zeggen,1
zeggen,geen,1
geen,tok,1
tok,tok,1
tok,maar,1
maar,hop,1
hop,hop,1
hop,de,1
zijn,niet,2
niet,echt,1
echt,een,1
een,kip,2
kip,maar,1
maar,een,2
een,combinatie,1
combinatie,van,1
van,een,2
een,paard,1
paard,en,1
en,een,8
kip,het,1
het,hebben,1
hebben,twee,1
twee,poot,1
poot,een,1
een,staart,1
staart,en,1
een,hoofd,1
hoofd,en,1
een,snavel,1
snavel,hij,1
hij,kunnen,1
kunnen,ook,1
ook,vliegen,1
vliegen,met,1
met,zijn,1
zijn,vleugel,1
vleugel,het,1
het,zijn,4
heel,raar,1
raar,dier,1
dier,en,1
en,leven,1
leven,in,3
in,de,7
de,prehistorie,2
prehistorie,daardoor,1
daardoor,hebben,1
hebben,hij,1
hij,een,1
een,eigenschap,1
eigenschap,van,1
een,T,1
T,Rex,1
Rex,hij,1
hij,eten,1
eten,namelijk,1
namelijk,vlees,1
vlees,gelukkig,1
gelukkig,leven,1
leven,hij,1
hij,in,1
prehistorie,anders,1
anders,zijn,1
zijn,ik,1
ik,nu,1
nu,morsdood,1
mijn,dag,1
dag,beginnen,1
beginnen,om,1
om,acht,1
acht,uur,1
