pos1,pos2,freq
DET,NOUN,55336
PRON,VERB,36561
NOUN,PUNCT,31519
VERB,PUNCT,28720
NOUN,VERB,26301
VERB,PRON,25277
ADP,DET,25157
PRON,AUX,22414
ADV,VERB,19498
PRON,ADV,17704
CCONJ,PRON,17647
NOUN,ADP,17528
ADV,ADV,15098
NOUN,CCONJ,14719
PRON,NOUN,14199
VERB,ADV,13817
ADV,ADJ,13663
ADJ,NOUN,13306
SCONJ,PRON,13194
VERB,ADP,13036
ADJ,PUNCT,12296
AUX,PRON,12278
VERB,CCONJ,12148
NOUN,AUX,11678
ADP,NOUN,10690
PRON,ADP,10518
CCONJ,ADV,10470
ADV,ADP,10457
AUX,ADV,10389
PRON,ADJ,9831
ADP,PRON,9549
ADP,VERB,9387
DET,ADJ,9251
ADV,PUNCT,8495
NOUN,ADV,8156
VERB,DET,7962
ADJ,ADJ,7567
AUX,VERB,7449
PRON,PRON,7406
PROPN,PUNCT,7310
ADV,DET,6987
AUX,ADJ,6949
ADV,AUX,6661
ADJ,ADP,6527
ADJ,VERB,6184
CCONJ,NOUN,6151
VERB,VERB,6047
CCONJ,DET,5671
ADJ,CCONJ,5321
PRON,DET,5310
CCONJ,VERB,5179
VERB,SCONJ,4961
ADV,PRON,4944
ADP,PUNCT,4824
ADP,ADP,4616
AUX,DET,4505
ADP,PROPN,4430
VERB,NOUN,4397
NOUN,ADJ,4273
PROPN,VERB,4253
NUM,NOUN,4235
CCONJ,ADP,4027
NOUN,NOUN,3966
VERB,ADJ,3962
ADV,NOUN,3732
ADJ,AUX,3669
NOUN,PRON,3271
AUX,ADP,3214
VERB,AUX,3173
CCONJ,SCONJ,3153
PRON,PUNCT,3086
PROPN,CCONJ,2913
AUX,PUNCT,2830
ADJ,ADV,2765
VERB,PROPN,2619
PROPN,PROPN,2612
CCONJ,ADJ,2585
PUNCT,CCONJ,2525
PUNCT,NOUN,2518
SCONJ,DET,2454
PROPN,AUX,2359
CCONJ,PROPN,2243
ADJ,SCONJ,2233
ADP,CCONJ,2143
AUX,NOUN,2058
PUNCT,VERB,2036
ADV,SCONJ,1854
PUNCT,PRON,1840
NOUN,DET,1812
DET,PROPN,1702
ADP,ADJ,1691
SCONJ,NOUN,1685
PUNCT,PUNCT,1615
ADV,CCONJ,1609
NOUN,NUM,1534
DET,VERB,1513
NOUN,SCONJ,1475
ADJ,DET,1462
PUNCT,PROPN,1440
PROPN,ADP,1426
ADP,ADV,1383
NUM,PUNCT,1372
ADP,AUX,1345
ADV,NUM,1316
ADP,NUM,1310
NOUN,PROPN,1302
AUX,CCONJ,1271
SYM,PUNCT,1070
PUNCT,ADV,1049
SCONJ,ADV,1041
PRON,CCONJ,1024
INTJ,PUNCT,1000
AUX,PROPN,973
SYM,SYM,957
ADJ,PRON,856
AUX,AUX,795
PRON,SCONJ,765
CCONJ,AUX,752
PROPN,ADV,731
PUNCT,ADJ,703
AUX,NUM,672
AUX,SCONJ,658
PUNCT,DET,656
PRON,NUM,609
PRON,PROPN,595
VERB,NUM,595
NUM,VERB,589
PROPN,NOUN,588
PUNCT,ADP,584
CCONJ,NUM,522
PUNCT,SYM,500
PROPN,PRON,496
NUM,ADP,493
PUNCT,SCONJ,488
SCONJ,ADP,485
ADP,SCONJ,465
PROPN,DET,459
INTJ,PRON,444
NUM,CCONJ,438
PROPN,ADJ,424
DET,ADV,420
SCONJ,PROPN,413
ADV,PROPN,409
CCONJ,PUNCT,406
NOUN,SYM,399
SCONJ,PUNCT,389
DET,NUM,371
DET,PRON,357
NUM,PROPN,353
SYM,CCONJ,347
PROPN,NUM,332
PUNCT,AUX,332
ADJ,PROPN,317
PUNCT,NUM,296
SCONJ,SCONJ,290
SCONJ,ADJ,288
NUM,ADV,285
NUM,AUX,283
SYM,VERB,273
SYM,NOUN,261
SCONJ,VERB,257
ADP,SYM,247
INTJ,INTJ,246
PROPN,SYM,234
DET,SYM,229
PUNCT,INTJ,221
INTJ,VERB,219
NUM,SYM,215
NUM,ADJ,213
CCONJ,INTJ,211
DET,DET,207
ADJ,NUM,195
INTJ,ADV,194
SYM,PROPN,174
VERB,INTJ,174
ADV,INTJ,169
NUM,DET,169
SYM,ADP,163
VERB,SYM,162
ADV,SYM,161
DET,PUNCT,161
DET,ADP,157
INTJ,CCONJ,149
CCONJ,CCONJ,148
PRON,SYM,130
CCONJ,SYM,125
PROPN,SCONJ,122
INTJ,NOUN,111
ADJ,INTJ,107
SCONJ,NUM,102
NUM,NUM,100
INTJ,ADJ,99
SYM,INTJ,97
ADJ,SYM,90
INTJ,SYM,86
SYM,ADV,86
SCONJ,AUX,74
SYM,ADJ,74
NUM,PRON,71
NOUN,INTJ,70
INTJ,DET,57
INTJ,PROPN,52
SYM,DET,51
PRON,INTJ,51
AUX,SYM,49
SYM,PRON,47
SYM,AUX,46
NOUN,X,45
DET,CCONJ,44
SYM,NUM,44
INTJ,SCONJ,42
SCONJ,SYM,38
INTJ,ADP,38
DET,AUX,34
VERB,X,32
X,PUNCT,28
PUNCT,X,26
ADP,INTJ,25
NUM,SCONJ,24
SCONJ,CCONJ,21
PROPN,INTJ,21
INTJ,AUX,20
X,NOUN,19
PRON,X,19
ADP,X,18
ADV,X,16
AUX,INTJ,16
X,ADP,15
SYM,SCONJ,15
X,ADV,13
X,VERB,12
X,NUM,11
X,DET,11
