lemma1,lemma2,freq
man,zijn,158
die,heten,1509
hij,uitgescholden,7
hij,hebben,3195
lengte,hebben,8
hij,gaan,4718
dat,vinden,8684
hij,vinden,1152
hij,smeekken,3
naam,veranderen,6
moeder,zeggen,1345
dat,mogen,798
je,oppassen,72
hippe,kip,1
hij,zeggen,1984
tok,zeggen,7
hop,zeggen,2
het,hebben,2053
poot,hebben,353
staart,hebben,330
hij,vliegen,305
raar,dier,19
eigenschap,hebben,4
hij,eten,405
vlees,eten,142
hij,leven,211
ik,zijn,7268
ik,staan,816
ik,gaan,26871
we,maken,872
PowerPoint,maken,11
cadeaut,kopen,29
we,zijn,3322
panty,kopen,1
onderbroe,kopen,1
we,kijken,372
we,vinden,461
groot,markt,6
cadeau,kopen,67
we,hebben,4542
we,weggegaan,5
vrij,dag,28
ik,vinden,57655
ik,denken,7548
ze,tikken,7
olifant,berijden,1
ze,stoppen,349
klein,hok,671
het,vinden,9770
ze,vinden,5100
plezier,hebben,273
tijger,horen,19
Vogels,werken,7
vogel,maken,358
nest,maken,337
vliegtuig,hebben,3120
piloot,hebben,194
kunnen,hebben,15
kilo,hebben,5
tv-kijken,vinden,43
dat,doen,4949
ik,doen,8188
ik,speel,6385
spel,doen,439
zelfverzonnen,spel,2
we,spelen,995
ik,spring,81
we,wonen,72
die,liggen,148
ik,schommel,7
ik,lezen,424
boek,lezen,360
beide,vinden,5
tip,geven,202
Tip,denken,3
je,beginnen,337
titel,doen,1
je,schrijven,2627
soort,zijn,697
miljarde,soort,1
je,hebben,8646
soort,hebben,303
je,zien,2647
dier,leven,621
plek,zijn,55
ander,land,582
mens,hebben,951
lievelingsdier/dieren,hebben,1
ik,hebben,15362
één,hebben,431
het,zijn,2322
ze,opnoemen,16
ze,houden,715
dier,houden,127
aantal,houden,1
ze,zoeken,365
dier,zoeken,34
ander,dier,754
dier,vinden,1989
ze,krijgen,4886
ze,hebben,9883
hokk,hebben,258
schoon,hokk,8
gelijk,hebben,994
we,krijgen,1491
taalles,krijgen,2
je,typen,521
je,gebruiken,1226
smstaal,gebruiken,125
je,beperken,2
smstaal,beperken,1
je,verleer,20
leven,schrijven,4
heel,leven,166
ze,doen,6057
ze,willen,2748
eigen,schuld,75
ongeluk,gebeuren,120
het,zeggen,616
het,gaan,3302
De,inzakken,1
dug-out,inzakken,1
kind,raken,78
meisje,overlijden,3
meisje,liggen,10
ander,meisje,71
kind,zitten,693
ander,lichtgewond,1
het,gebeuren,397
jaarlijks,kampioenschap,1
Fries,kampioenschap,1
betrekken,opvangen,1
informatienummer,openen,1
speciaal,informatienummer,1
politie,doen,13
onderzoek,doen,44
hond,blaffen,568
waakhond,zijn,40
huisdier,hebben,171
blindengeleidehonden,helpen,2
mens,helpen,306
blind,mens,70
dier,stoppen,69
ze,zitten,2636
ze,weten,2181
ze,mogen,744
dat,moeten,269
voedsel,krijgen,140
ze,gaan,9610
dier,weten,124
ze,leven,1494
ze,doden,33
ruimte,hebben,780
ding,leren,336
ik,zitten,6336
paard,mogen,10
mening,laten,5
dier,laten,277
zeventienjarig,jongen,2
hij,halen,206
brommerexam,halen,2
Alex,zitten,3
hij,wonen,277
