lemma1,lemma2,freq
man,zijn,1
die,heten,2
hij,uitgescholden,1
hij,hebben,2
lengte,hebben,1
hij,gaan,1
dat,vinden,2
hij,vinden,1
hij,smeekken,1
naam,veranderen,1
moeder,zeggen,1
dat,mogen,1
je,oppassen,1
hippe,kip,1
hij,zeggen,1
tok,zeggen,1
hop,zeggen,1
het,hebben,1
poot,hebben,1
staart,hebben,1
hij,vliegen,1
raar,dier,1
eigenschap,hebben,1
hij,eten,1
vlees,eten,1
hij,leven,1
ik,zijn,1
ik,staan,1
ik,gaan,7
we,maken,1
PowerPoint,maken,1
cadeaut,kopen,1
we,zijn,3
panty,kopen,1
onderbroe,kopen,1
we,kijken,1
we,vinden,1
groot,markt,1
cadeau,kopen,1
we,hebben,1
we,weggegaan,1
vrij,dag,1
ik,vinden,7
ik,denken,3
ze,tikken,1
olifant,berijden,1
ze,stoppen,1
klein,hok,1
het,vinden,3
ze,vinden,1
plezier,hebben,1
tijger,horen,1
Vogels,werken,1
vogel,maken,1
nest,maken,1
vliegtuig,hebben,1
piloot,hebben,1
kunnen,hebben,1
kilo,hebben,1
tv-kijken,vinden,1
dat,doen,2
ik,doen,2
ik,speel,3
spel,doen,1
zelfverzonnen,spel,1
we,spelen,1
ik,spring,1
we,wonen,1
die,liggen,1
ik,schommel,1
ik,lezen,1
boek,lezen,1
beide,vinden,1
tip,geven,1
Tip,denken,3
je,beginnen,1
titel,doen,1
je,schrijven,1
soort,zijn,2
miljarde,soort,1
je,hebben,2
soort,hebben,1
je,zien,1
dier,leven,3
plek,zijn,1
ander,land,1
mens,hebben,1
lievelingsdier/dieren,hebben,1
ik,hebben,1
één,hebben,1
het,zijn,1
ze,opnoemen,1
ze,houden,1
dier,houden,1
aantal,houden,1
ze,zoeken,1
dier,zoeken,1
ander,dier,1
dier,vinden,1
ze,krijgen,1
ze,hebben,2
hokk,hebben,1
schoon,hokk,1
gelijk,hebben,1
we,krijgen,1
taalles,krijgen,1
je,typen,1
je,gebruiken,1
smstaal,gebruiken,2
je,beperken,1
smstaal,beperken,1
je,verleer,1
leven,schrijven,1
heel,leven,1
ze,doen,1
ze,willen,1
eigen,schuld,1
