lemma1,lemma2,freq
man,zijn,159
die,heten,1534
hij,uitschelden,7
hij,hebben,3173
lengte,hebben,8
hij,gaan,4828
dat,vinden,8806
hij,vinden,1144
hij,smeken,4
naam,veranderen,4
vader,zeggen,1343
dat,mogen,804
je,oppas,72
hip,kip,1
hij,zeggen,1962
tokken,zeggen,7
hop,zeggen,1
het,hebben,2067
poten,hebben,402
staren,hebben,321
hij,vlieg,103
raar,dier,20
eigenschap,hebben,6
hij,eten,402
vlees,eten,143
hij,leven,207
ik,zijn,7271
ik,staan,886
ik,gaan,27110
we,maken,873
powerpoint,maken,14
cadeautje,kopen,32
we,zijn,3325
panty,kopen,1
onderbroek,kopen,1
we,kijken,469
we,vinden,485
groot,markt,6
cadeau,kopen,66
we,hebben,4542
we,weggaan,40
vrije,dag,25
ik,vinden,57768
ik,denken,7554
ze,tik,7
olifant,bereden,1
ze,gestopt,96
kleine,hokje,142
het,vinden,9888
ze,vinden,5158
plezier,hebben,276
tijger,horen,17
vogel,werken,26
vogel,maken,494
nest,maken,341
vliegtuig,hebben,3722
piloot,hebben,196
kunnen,hebben,14
kilo,hebben,5
tv-kijken,vinden,52
dat,doen,5144
ik,doen,8286
ik,spelen,7222
spellen,doen,276
zelfverzonnen,spellen,2
we,spel,739
ik,springen,311
we,wonen,77
die,liggen,150
ik,schommelen,17
ik,lezen,356
boeken,lezen,335
beide,vinden,5
tip,geven,183
tippen,denken,3
je,beginnen,272
titelen,doen,1
je,schrijven,3095
soort,zijn,697
miljarde,soort,1
je,hebben,8767
soort,hebben,304
je,zien,2670
dier,leven,652
plek,zijn,54
ander,land,583
mens,hebben,958
lievelingsdier,hebben,9
ik,hebben,15389
één,hebben,138
het,zijn,2325
ze,opnoemen,16
ze,houden,749
dier,houden,121
aantal,houden,1
ze,zoeken,353
dier,zoeken,36
ander,dier,756
dier,vinden,2069
ze,krijgen,4899
ze,hebben,9911
hokken,hebben,1017
schoon,hokken,93
gelijken,hebben,994
we,krijgen,1492
taalles,krijgen,2
je,typen,327
je,gebruikt,378
sms-talen,gebruikt,34
je,beperken,2
sms-talen,beperken,1
je,verleren,46
leven,schrijven,4
heel,leven,166
ze,doen,6241
ze,willen,2398
sms-talen,gebruik,127
eigen,schuld,75
ongeluk,gebeuren,96
het,gezegd,42
het,gaan,3463
de,inzakken,1
dug-out,inzakken,1
kind,raken,82
meid,overlijden,3
meid,liggen,11
ander,meid,62
kind,zit,638
ander,lichtgewond,1
het,gebeuren,265
jaarlijks,kampioenschap,1
Fries,kampioenschap,1
betrokkenen,opvangen,1
informatienummer,openen,1
speciaal,informatienummer,1
politie,doen,15
onderzoeken,doen,44
hond,blaf,598
waakhond,zijn,51
huisdier,hebben,175
blindengeleidehond,helpen,4
mens,helpen,324
blind,mens,70
dier,gestopt,29
ze,zit,2107
ze,weet,1865
ze,mogen,796
dat,moeten,273
voedsel,krijgen,142
ze,gaan,9685
dier,weet,124
ze,leven,1529
ze,doden,53
