lemma1,lemma2,freq
man,zijn,159
lengte,hebben,8
naam,veranderen,4
vader,zeggen,1341
hip,kip,1
tokken,zeggen,7
hop,zeggen,1
poten,hebben,402
staren,hebben,321
raar,dier,20
eigenschap,hebben,6
vlees,eten,143
cadeautje,kopen,32
panty,kopen,1
onderbroek,kopen,1
groot,markt,6
cadeau,kopen,66
vrije,dag,25
olifant,bereden,1
kleine,hokje,142
plezier,hebben,276
tijger,horen,17
nest,maken,337
vliegtuig,hebben,3721
piloot,hebben,196
kunnen,hebben,14
kilo,hebben,5
tv-kijken,vinden,52
spellen,doen,276
zelfverzonnen,spellen,2
boeken,lezen,335
tip,geven,183
tippen,denken,3
titelen,doen,1
soort,zijn,697
miljarde,soort,1
soort,hebben,304
dier,leven,651
plek,zijn,54
ander,land,583
mens,hebben,958
lievelingsdier,hebben,9
dier,houden,121
aantal,houden,1
dier,zoeken,36
ander,dier,756
dier,vinden,2069
hokken,hebben,1016
schoon,hokken,93
gelijken,hebben,994
taalles,krijgen,2
sms-talen,gebruikt,34
sms-talen,beperken,1
leven,schrijven,4
heel,leven,166
sms-talen,gebruik,127
eigen,schuld,75
ongeluk,gebeuren,96
de,inzakken,1
dug-out,inzakken,1
kind,raken,82
meid,overlijden,3
meid,liggen,11
ander,meid,62
kind,zit,638
ander,lichtgewond,1
jaarlijks,kampioenschap,1
Fries,kampioenschap,1
betrokkenen,opvangen,1
informatienummer,openen,1
speciaal,informatienummer,1
politie,doen,15
onderzoeken,doen,44
hond,blaf,598
waakhond,zijn,51
huisdier,hebben,175
blindengeleidehond,helpen,3
mens,helpen,324
blind,mens,70
dier,gestopt,29
voedsel,krijgen,142
dier,weet,124
ruimte,hebben,782
ding,leer,255
klein,hokken,330
paard,mogen,12
mening,laten,5
dier,laten,314
zeventienjarig,jong,2
brommerexamen,halen,2
bul,willen,3
koe,kijken,1
boeren,komen,16
boeren,zeggen,11
stuk,rijden,2
voet,zetten,7
gassen,gaan,8
volle,gassen,3
jong,zien,58
boeren,rennen,2
jong,staat,7
gezicht,zitten,5
hond,vinden,4189
hond,bijt,185
hond,zien,545
ananas,leggen,157
kaas,leggen,45
boter,doen,342
boter,afsmelten,86
deksel,leggen,133
kind,pakken,26
pestkop,plagen,1
mobiel,zeggen,9
kleine,hokken,488
hokken,zijn,41
sneeuwen,liggen,85
sneeuwpop,maken,172
bloemetje,bloeien,1
mooi,bloemetje,3
dier,geboren,83
jong,dier,32
plassen,liggen,31
fietsen,meenemen,12
fietsen,gepakt,11
scheuren,hebben,101
t-shirt,drogen,1
schoen,drogen,7
bloeden,hebben,105
knuffelen,spelen,2
kassa,spelen,2
veel,spelen,48
konijn,spelen,2
hut,bouwen,274
tijger,hebben,27
spellen,varen,1
boten,varen,7
mens,verbieden,5
heel,dag,1702
tijd,doen,58
heel,tijd,1448
graan,platdrukken,1
brood,gebakken,5
dierentuin,zijn,541
kind,leer,1543
vreemd,ding,20
ander,kanten,1234
allerliefst,tante,2
chocola,krijgen,6
zeilboot,kopen,1
vin,komen,1
groot,vin,2
groot,koppen,4
boten,vliegen,2
warm,dag,27
41,aankomen,1
goed,vriend,528
portomenee,kopen,1
goed,vakantie,14
kamer,aftrekken,1
cadeautje,zoeken,27
chip,trakteren,2
mens,zijn,578
groot,mens,136
cadeautje,krijgen,258
buur,komen,10
druk,dag,19
kinderfeest,hebben,33
piet,komen,73
zwarte,piet,105
stoer,piet,1
kind,spel,1487
computeren,krijgen,15
tikker,doen,231
politie,zijn,47
hond,hebben,4083
politie,gaan,58
vriendin,roep,1
hond,beginnen,26
vuren,zien,12
mama,zeggen,614
familie,komen,85
jongen,gaan,108
meid,gaan,85
ander,auto,24
later,uur,12
mama,zijn,47
ja,zeggen,209
beet,zien,7
klein,beet,249
boek,halen,1
handtekening,kunnen,2
ander,bel,2
restaurant,hebben,19
eigen,restaurant,6
muziek,vinden,27
kind,korten,3
ding,korten,2
afkorting,leer,48
ander,afkorting,13
woord,type,136
lang,woord,143
eigen,keuze,51
fout,doen,170
mens,zit,503
vogel,poep,319
tv,uitzonderen,1
uur,doen,26
kanten,zijn,14
gamen,maken,10
reactiesnelheid,maken,1
gedrag,verkleinen,1
sociaal,gedrag,2
gamen,redden,1
game,hebben,27
minigame,hebben,1
leven,hebben,656
clan,oprichten,2
ander,ding,974
game,redden,1
pony,voer,1
pony,vinden,15
film,maken,55
film,stoppen,1
ander,groep,106
ander,verhalen,66
keren,lezen,8
lente,doen,1
ding,doen,2216
paashaas,komen,24
paasei,zoeken,68
leuk,ding,1192
dompsie,zeggen,2
geheim,man,5
dompsie,vinden,1
opblaasboot,vinden,1
helikopter,regelen,1
dier,hebben,1848
vogelgriep,komen,1
vogel,hebben,2186
vogel,worden,27
boerderij,sluiten,1
leuk,kunstje,84
aardig,baasje,2
dier,uitmaken,89
professioneel,circus,1
dier,verzorgen,647
kooi,hebben,153
luxe,kooi,1
fijn,hokken,277
gelden,geven,272
goed,doelen,109
gelden,overhouden,1
eten,kopen,53
muziek,draaien,12
vriend,maken,455
gamerug,krijgen,1
oog,krijgen,175
nagel,lak,23
beautykisten,hebben,1
nagellak,zit,1
en,zit,1
nagelremover,zit,1
watje,zit,1
zomerkleurtjes,zit,1
kleine,beautykist,1
groot,kleur,1
donker,kleur,5
mens,willen,229
kleur,willen,3
lichten,kleur,2
bloem,groeien,36
boyes,groeien,1
dag,worden,17
mooi,weer,559
schilderen,doen,3
me,verveeld,2
krant,lezen,24
zinnen,hebben,1721
meneer,staan,11
meneer,groeten,1
meneer,zeggen,181
verhalen,vertellen,275
vogel,eten,904
motor,hebben,795
vogel,veer,62
raampje,hebben,52
vogel,leggen,452
eitje,leggen,107
kleine,komen,2
vliegtuig,leggen,163
baby,komen,31
vliegtuigje,komen,1
vliegtuig,maken,369
vliegtuig,besturen,303
verschil,zijn,145
hobby,paardrijden,64
paardrijden,kunnen,6
wedstrijd,rijen,17
twee,keuze,3
één,keuze,1
paard,kennen,4
vogel,bewegen,175
vleugel,bewegen,252
vliegtuig,bewegen,96
brandstof,hebben,48
landingsgestel,hebben,7
vogel,poten,143
vliegtuig,veer,2
snavel,hebben,538
nest,hebben,93
oog,hebben,556
propeller,hebben,65
vogel,staan,41
vogel,zitten,32
groot,huis,248
huizen,maken,37
moderne,huizen,1
vrouw,hebben,65
boskat,hebben,1
heeeeeeeeeele,hond,2
lieve,hond,156
prachtig,uitzicht,7
privéjacht,hebben,1
heel,privéjacht,1
mooi,privéjacht,1
vuursalamander,hebben,1
vogel,kijken,49
blauw,hemelen,1
vliegtuig,vliegen,176
snelheid,maken,5
hoge,snelheid,5
vogel,proberen,6
looping,doen,1
klein,vliegtuig,12
stoel,hebben,202
kwispelstaart,hebben,1
lieven,kwispelstaart,1
lieven,tong,1
big,zien,3
geit,zien,7
klomp,gaan,1
puzzeltocht,gaan,1
botsing,hebben,4
afkorting,vinden,64
professor,zien,10
eiertruc,zien,1
ei,breken,2
professor,zeggen,11
professor,pakken,3
ei,pakken,12
kind,krijgen,551
mobiel,krijgen,305
luchten,gebruik,1
fris,luchten,619
hobby,hebben,168
hobby,dansen,62
beet,hou,2
hobby,teken,33
jury,bepalen,2
kind,houden,69
werkstuk,gaan,3
mens,zeggen,396
vierkant,oog,118
lente,vinden,31
nieuw,bloem,4
bloem,vinden,9
mooi,kleur,62
broer,hebben,303
klusje,doen,66
ding,maken,256
goed,tijd,26
leeuuw,horen,1
bloeding,hebben,3
teen,hebben,11
dokter,zeggen,78
hond,verschil,3
Fries,stabij,21
tand,houden,6
gebruik,houden,1
kauwbot,houden,1
hond,eten,597
kind,moeten,283
telefoon,moeten,24
van,vinden,111
scholen,bel,19
mens,bel,105
ouder,bel,239
crimineel,gaan,1
ding,vraag,14
crimineel,inbreken,1
telefoon,mogen,147
voice,kijken,11
buikpijn,hebben,49
vader,masseren,1
buik,masseren,1
heel,nacht,62
kramp,komen,1
vader,gaan,318
ziekenhuis,bellen,6
plaats,hebben,30
ander,ziekenhuis,3
bloeden,prik,4
blindedarmontsteking,hebben,3
test,komen,1
wiek,draaien,19
graan,gemaal,6
stenen,doen,3
zoveel,doen,39
doolhof,doen,2
dier,opgesloten,81
dier,zit,763
vrijen,leven,63
één,helft,90
helft,beginnen,24
twee,helft,117
sommige,gaan,4
penalty,nemen,25
droomhuis,voldoen,1
uitzicht,hebben,40
