,lemma1,lemma2,freq
0,!,zien,1
1,"""",gebruiken,2
2,"""",zeggen,1
3,"""De",doen,1
4,#,schrijven,1
5,$,krijgen,2
6,$,pak,1
7,$,verdienen,1
8,$,zeggen,1
9,$,zien,1
10,%,hebben,2
11,%,zien,1
12,&,<unk>,1
13,&,adopteren,1
14,&,betekenen,1
15,&,doen,1
16,&,eten,1
17,&,geloven,1
18,&,hebben,1
19,&,kijken,2
20,&,krijgen,3
21,&,leven,1
22,&,opstijgen,1
23,&,poeop,1
24,&,verwennen,1
25,&,vinden,3
26,&,zijn,1
27,&,zitten,1
28,&,zoeken,1
29,',gaan,1
30,',komen,2
31,',ontbijten,1
32,',vervolgen,1
33,',vragen,1
34,',zeggen,4
35,'',krijgen,1
36,(,vervolgen,1
37,*,krijgen,4
38,*,kwamen,2
39,*,vinden,1
40,+,drinken,1
41,+,gebruiken,1
42,+,hebben,2
43,+,kopen,1
44,+,leren,1
45,+,noemen,1
46,+,plassen,1
47,+,poepen,5
48,+,spelen,2
49,+,uitlaten,1
50,+,vallen,1
51,+,wachten,1
52,+,zeggen,1
53,+,zijn,1
54,+00000000000000000,zijn,1
55,",",moeten,1
56,",",zien,1
57,",",zijn,1
58,",,",antwoorden,1
59,",,",gaan,1
60,",,",schrok,1
61,",,",zeggen,1
62,-,komen,1
63,---------------------------------------------------------------------Ik,zijn,1
64,------------------------------------------Heey,zeggen,1
65,------------------------------------Met,spelen,1
66,-0,stonde,1
67,-10,hebben,1
68,-15,jaar,1
69,-2,zijn,1
70,-3,hebben,1
71,-34,klasse,1
72,-46,keren,1
73,-6,krijgen,1
74,-80.000-,krijgen,1
75,-Baren,vinden,1
76,-Ik,zingen,1
77,-Tv,kijken,1
78,-bal,kijken,1
79,-bof,willen,1
80,-cht,schrijf,2
81,-de,duw,1
82,-den,leggen,1
83,-elk,dag,1
84,-foto's,maken,1
85,-hopelijkhet,gaan,1
86,-n,vinden,1
87,-nende,hebben,1
88,-ok-,gaan,1
89,-onder,kaas,1
90,-ploeg,hebben,1
91,-siast,stappen,1
92,-ten,spelen,1
93,-wassen,poetsen,1
94,-xxx-,succes,1
95,..,komen,1
96,..,stijgen,1
97,...,betekenen,1
98,...,doen,1
99,...,horen,1
100,...,komen,1
101,....,gaan,1
102,........,zien,1
103,...........,hebben,1
104,.............,bouwen,1
105,.10,Zet,1
106,.Aandacht,besteden,1
107,.Dat,maken,1
108,.Hij,hebben,1
109,.Hij,komen,1
110,.Ik,denken,1
111,.Je,hebben,1
112,.Van,slapen,1
113,.com,doen,1
114,.h,zeggen,1
115,.nl,weten,1
116,.oké,komen,1
117,.t,roepen,1
118,.vogel,komen,1
119,/,wachten,1
120,/hij,halen,1
121,/telefoon,binnenspelen,1
122,/uw,doen,1
123,/zij,doen,1
124,0,halen,1
125,0,hebben,1
126,0,spelen,1
127,0,vergeten,1
128,0,verliezen,2
129,"0,50",hebben,1
130,0-0,blijven,2
131,0-0,hebben,1
132,0-0,maken,2
133,0-0,spelen,1
134,0-0,staan,1
135,0-1,beginnen,1
136,0-1,scoren,4
137,0-1,staan,6
138,0-1,winnen,1
139,0-1,worden,2
140,0-11,winnen,1
141,0-2,aflopen,1
142,0-2,scoren,2
143,0-2,staan,1
144,0-28,staan,1
145,0-3,winnen,2
146,0-5,verliezen,1
147,0-8,verliezen,1
148,0.2%,zijn,1
149,00.00,afsteken,1
150,00.00,doen,1
151,000.000.000.000.000,eten,1
152,00000,gebeuren,1
153,000000,krijgen,1
154,"000000,99",brengen,1
155,000000000000000000,zijn,1
156,006,neem,1
157,00:00,staan,1
158,01.30,mogen,1
159,02:45,hebben,1
160,046413,zeggen,1
161,0541,voortzetten,1
162,05:29,zijn,1
163,068833045,bellen,1
164,07:00,vragen,1
165,08.00,verzamelen,1
166,1,Leg,2
167,1,Maak,1
168,1,Zegt,1
169,1,ademen,1
170,1,bedoelen,1
171,1,bellen,1
172,1,bestaan,1
173,1,bevatten,1
174,1,brief,1
175,1,cavia,1
176,1,computeren,1
177,1,dag,4
178,1,dans,1
179,1,doe,2
180,1,doen,6
181,1,draagt,1
182,1,dragen,2
183,1,gaan,9
184,1,geven,3
185,1,ging,1
186,1,gooien,1
187,1,gooit,1
188,1,halen,2
189,1,hebben,30
190,1,helft,2
191,1,heten,1
192,1,hondenjaren,1
193,1,honk,1
194,1,hoor,1
195,1,horen,1
196,1,huilen,1
197,1,indruk,1
198,1,jaar,4
199,1,joepie,1
200,1,kapotgegaan,1
201,1,keer,5
202,1,kerst,1
203,1,kerstdag,4
204,1,keuze,1
205,1,kijken,3
206,1,klas,3
207,1,klasse,5
208,1,komen,4
209,1,krijgen,7
210,1,kunnen,3
211,1,leggen,5
212,1,liggen,1
213,1,lopen,1
214,1,maken,3
215,1,minuut,2
216,1,moeten,1
217,1,mogen,2
218,1,nemen,1
219,1,ontmoeten,1
220,1,overleven,1
221,1,overlijden,1
222,1,paasdag,2
223,1,pakte,1
224,1,pauze,1
225,1,plaats,3
226,1,plek,7
227,1,poepen,2
228,1,punt,1
229,1,repareren,1
230,1,rijden,1
231,1,roep,1
232,1,roepen,3
233,1,ronde,2
234,1,schakelen,1
235,1,schot,1
236,1,scoren,2
237,1,set,1
238,1,show,2
239,1,single,1
240,1,snij,3
241,1,snijden,1
242,1,speel,2
243,1,springen,1
244,1,staan,8
245,1,stap,1
246,1,stelling,1
247,1,stop,1
248,1,studeren,1
249,1,survulel,1
250,1,tegenhouden,1
251,1,tellen,1
252,1,typen,1
253,1,typn,1
254,1,uitlaten,1
255,1,uitzitten,1
256,1,vangen,1
257,1,veranderen,1
258,1,verdienen,1
259,1,verdieping,1
260,1,vergroten,1
261,1,verkleeden,1
262,1,verliezen,4
263,1,verlopen,1
264,1,verschil,1
265,1,vinden,7
266,1,vliegen,3
267,1,vlucht,1
268,1,volgen,1
269,1,wachten,1
270,1,wedstrijd,7
271,1,weg,1
272,1,werkdag,1
273,1,weten,1
274,1,willen,1
275,1,winnen,2
276,1,wonen,1
277,1,zeggen,11
278,1,zeiden,2
279,1,zien,1
280,1,zijn,7
281,1,zitten,4
282,1,zoeken,1
283,1,zullen,5
284,"1,203",geliketen,1
285,"1,5",spelen,1
286,"1,50",betalen,1
287,"1,50",zeggen,1
288,1-,Pak,1
289,1-,krijgen,1
290,1-0,Wist,1
291,1-0,beginnen,1
292,1-0,gaan,1
293,1-0,geven,2
294,1-0,hebben,2
295,1-0,komen,3
296,1-0,maken,6
297,1-0,schiet,1
298,1-0,schieten,1
299,1-0,schoot,1
300,1-0,scooren,1
301,1-0,scoren,15
302,1-0,staan,15
303,1-0,verliezen,3
304,1-0,weten,1
305,1-0,winnen,2
306,1-0,worden,1
307,1-0,zijn,2
308,1-1,gebeuren,1
309,1-1,maken,4
310,1-1,scoorden,1
311,1-1,scooren,1
312,1-1,scoort,1
313,1-1,scoren,9
314,1-1,spelen,4
315,1-1,staan,3
316,1-1,zijn,1
317,1-1-2,belen,2
318,1-1-2,bellen,3
319,1-2,floot,1
320,1-2,maken,1
321,1-2,schiet,1
322,1-2,scoort,1
323,1-2,scoren,3
324,1-2,staan,1
325,1-2,verliezen,1
326,1-2,worden,1
327,1-2,zijn,1
328,1-2-3,zeggen,1
329,1-2-3-,worden,1
330,1-3,staan,1
331,1-3,verliezen,2
332,1-3,winnen,1
333,1-3-1-2,spelen,1
334,1-3-3,spelen,1
335,1-4,verliezen,3
336,1-5,verliezen,1
337,1-5,winnen,1
338,1-8,verliezen,1
339,1-Motor,hebben,1
340,1-aprilgrap,bedenken,1
341,1-aprilgrappen,kennen,1
342,1-auto,wensen,1
343,1.00,betalen,1
344,1.00,denken,1
345,1.000.000,geven,1
346,1.000.000,krijgen,1
347,1.000.000,staan,1
348,1.000.000,winnen,1
349,1.000.000.000.000.000.000,hebben,1
350,1.2.3,telen,1
351,1.2.3.4,zeggen,1
352,1.2.3.versnelling,hebben,1
353,1.Plagen,bedoelen,1
354,1/2,schep,1
355,1/2,staan,1
356,1/2,zitten,1
357,1/3,aannemen,1
358,1/3,nemen,1
359,1/4,geven,1
360,1/4,vinden,1
361,1/4,vullen,1
362,1/5,typn,1
363,1/8,Snijd,1
364,10,aanvinken,1
365,10,bedoelen,1
366,10,dag,1
367,10,deelt,1
368,10,doorzoeken,1
369,10,gaan,1
370,10,geboren,1
371,10,geven,4
372,10,gooit,1
373,10,haalt,1
374,10,halen,8
375,10,hebben,13
376,10,horen,1
377,10,keer,1
378,10,kijken,2
379,10,komen,2
380,10,krijgen,11
381,10,kunnen,1
382,10,landen,1
383,10,lezen,2
384,10,maken,2
385,10,meedoen,1
386,10,minuut,1
387,10,opgeven,1
388,10,plaats,1
389,10,slapen,1
390,10,spelen,1
391,10,staan,1
392,10,tellen,2
393,10,verjaardag,6
394,10,verschil,1
395,10,vinden,2
396,10,weten,6
397,10,zeggen,1
398,10,zijn,1
399,10,zitten,1
400,10%,spelen,1
401,10%,zien,1
402,"10,40",zeggen,1
403,"10,9,8,7,6,5",schieten,1
404,10-0,staan,1
405,10-0,verliezen,1
406,10-0,winnen,2
407,10-1,verliezen,1
408,10-2,winnen,1
409,10-4,eten,1
410,10-4,staan,1
411,10-5,winnen,1
412,10-9,winnen,1
413,10.00,doen,1
414,10.00,rijden,1
415,10.000,hebben,1
416,10.000,overleven,1
417,10.000,verdienen,1
418,10.000.000.000,zitten,1
419,10.000.000.000.000,staan,1
420,10.00000,komen,1
421,10.000000,meenemen,1
422,10.000000,winnen,1
423,10.000000000000000,zien,1
424,10.5,speel,1
425,100,durfden,1
426,100,gaan,1
427,100,hebben,1
428,100,kunnen,1
429,100,leven,1
430,100,mogen,7
431,100,opnoemen,1
432,100,rijden,5
433,100,verdieping,1
434,100%,denken,1
435,100%,gaan,2
436,100%,hebben,2
437,100%,horen,1
438,100%,lezen,1
439,100%,werken,1
440,100%,weten,5
441,100%,zien,1
442,"100,0000",winnen,1
443,100-0,staan,1
444,100.000,produceer,1
445,"100.000,-",geven,1
446,100.000.000.000.000.000.000.000.000,vergeten,1
447,100.0000.000,hebben,1
448,1000,denken,1
449,1000,halen,1
450,1000,hebben,2
451,1000,kunnen,1
452,1000,maken,1
453,1000,zitten,1
454,1000.000,toveren,1
455,1000.000.000.000.000.000.00,halen,1
456,10000,bellen,1
457,10000,hebben,1
458,10000,krijgen,1
459,10000,spelen,1
460,10000,willen,1
461,10000,zijn,1
462,"10000,-",geven,1
463,10000.000,zeggen,1
464,100000,zijn,1
465,100000%,houden,2
466,1000000,hebben,1
467,1000000,krijgen,1
468,1000000,zweven,1
469,10000000,vinden,1
470,100000000,gaan,1
471,1000000000,knuffelen,1
472,100000000000,hebben,1
473,100000000000000000,maken,1
474,100000000000000000000,willen,1
475,10002,maken,1
476,100053,geven,1
477,100en,zijn,1
478,102501679,eten,1
479,103J8Ilias8Hn,fluistren,1
480,103M8Naomi8S,komen,1
481,10:00,doen,1
482,10:15,beginnen,1
483,10jarig,<unk>,1
484,10persoonsbank,hebben,1
485,11,begin,1
486,11,komen,1
487,11,krijgen,4
488,11,leeftijd,1
489,11,lopen,2
490,11,schieten,1
491,11,staan,1
492,11,verdieping,1
493,11,verjaardag,1
494,11,verschil,1
495,11,weten,1
496,11,zien,1
497,11,zijn,1
498,11,zongen,1
499,11-0,verliezen,1
500,11-0,winnen,1
501,11-10--8,kunnen,1
502,11.00,zijn,1
503,11.tam,maken,1
504,110,gescout,1
505,110,mogen,1
506,110,opgegeten,1
507,110%,weten,1
508,1100,geven,1
509,1111,komen,1
510,111111111111,hebben,1
511,112,afdrukken,1
512,112,belden,6
513,112,belen,8
514,112,bellen,137
515,112,doen,1
516,112,gaan,1
517,112,gebeld,3
518,112,inschakelen,1
519,112,intoetsen,1
520,112,kijken,1
521,112,opbellen,9
522,112,staan,1
523,112,terugbellen,3
524,112,toetsen,1
525,112,typen,2
526,112,wachten,1
527,112,weten,1
528,112,zien,1
529,1136,zeggen,1
530,11:00,vertrekken,1
531,11:15,maken,1
532,11:30,opschieten,1
533,11:50,gaan,1
534,11x24,verdienen,1
535,12,<unk>,1
536,12,aantrekken,1
537,12,doen,1
538,12,gooien,1
539,12,hebben,2
540,12,keer,1
541,12,komen,1
542,12,krijgen,1
543,12,mogen,1
544,12,sloeg,2
545,12,staan,1
546,12,tikken,1
547,12,verjaardag,1
548,12,verschil,1
549,12-11,zijn,1
550,12.00,gaan,1
551,12.05,eten,1
552,12.30,komen,1
553,120,minuut,1
554,120,rijden,1
555,12005,hebben,1
556,12014,kijken,1
557,"122.45,-",opgespaarden,1
558,123,helpen,1
559,123,zeggen,2
560,123,zijn,2
561,1232,gaan,1
562,1234,toetsen,1
563,12345,kijken,1
564,123456,kijken,1
565,12:00,doen,1
566,12:00,renden,1
567,12:00,storen,1
568,12E,hebben,1
569,12jarig,zus,1
570,13,beginnen,2
571,13,bouwen,1
572,13,doen,2
573,13,gaan,1
574,13,hebben,2
575,13,kennen,2
576,13,kijken,1
577,13,krijgen,1
578,13,leven,1
579,13,minuut,1
580,13,poetsen,1
581,13,roepen,1
582,13,schrijven,1
583,13,speel,2
584,13,springen,1
585,13,starten,1
586,13,verschil,1
587,13,vieren,1
588,13,vinden,1
589,13,zeggen,2
590,13,zien,1
591,13-0,winnen,1
592,13-1,verliezen,1
593,13.3,hebben,1
594,130,staan,1
595,13006,weten,1
596,131-133,zien,1
597,132,staan,2
598,13478921:19is,inspireren,1
599,135,hebben,1
600,13:50,gaan,1
601,14,doen,1
602,14,eten,1
603,14,gooien,2
604,14,hebben,1
605,14,minuut,1
606,14,speel,2
607,14,staan,1
608,14,verschil,1
609,14,vinden,1
610,14,waaien,1
611,14-0,scoren,1
612,14-00,staan,1
613,14-1,winnen,1
614,14.00,leggen,1
615,15,denken,1
616,15,doen,10
617,15,downloaden,1
618,15,eeuw,1
619,15,hebben,2
620,15,krijgen,1
621,15,luister,1
622,15,maken,1
623,15,speel,1
624,15,spelen,2
625,15,verschil,1
626,15,vinden,2
627,15,worden,1
628,15,zeggen,1
629,15,zet,1
630,15,zijn,1
631,15%,gaan,1
632,15.000,kunnen,1
633,15.Dieren,zijn,1
634,15/,doen,1
635,15/14/13,doen,1
636,1500,geven,1
637,15:15,mogen,1
638,15:30,spelen,1
639,15jarig,puber,1
640,15jarig,tiener,1
641,16,doe,1
642,16,krijgen,1
643,16,maak,1
644,16,verjaardag,1
645,16,verschil,1
646,16,worden,1
647,160000,kosten,1
648,16:45,aflopen,1
649,16jarig,zeggen,1
650,17,eeuw,1
651,17,hebben,1
652,17,overlijden,1
653,17,verschil,1
654,"17,00",geven,1
655,17-1,scoren,1
656,17-2,staan,1
657,175,Zet,1
658,175,doe,1
