,lemma1,lemma2,freq
0,!,zien,1
1,"""",doen,1
2,"""",gebruik,2
3,"""",zeggen,1
4,#,schrijven,1
5,$,krijgen,2
6,$,pakken,1
7,$,verdienen,1
8,$,zeggen,1
9,$,zien,1
10,%,hebben,2
11,%,zien,1
12,&,<unk>,1
13,&,adopteren,1
14,&,betekenen,1
15,&,doen,1
16,&,eten,1
17,&,hebben,1
18,&,kijken,2
19,&,krijgen,3
20,&,leven,1
21,&,opstijgen,1
22,&,poep,1
23,&,verwennen,1
24,&,vinden,3
25,&,wangeloven,1
26,&,zijn,1
27,&,zit,1
28,&,zoeken,1
29,',achten,1
30,',aflopen,1
31,',afpakken,1
32,',doen,9
33,',eten,2
34,',gaan,2
35,',geven,2
36,',halen,1
37,',hebben,1
38,',hoeven,1
39,',kleuren,1
40,',komen,2
41,',krijgen,1
42,',laten,2
43,',loop,1
44,',maken,2
45,',ontbijt,1
46,',pakken,1
47,',rammen,1
48,',regenen,1
49,',schrijven,1
50,',sturen,2
51,',verliezen,1
52,',vervolgen,1
53,',vinden,9
54,',vragen,1
55,',weet,2
56,',worden,2
57,',zeg,1
58,',zeggen,3
59,',zetten,3
60,',zien,1
61,',zijn,3
62,'',krijgen,1
63,(,vervolgen,1
64,*,komen,2
65,*,krijgen,4
66,*,vinden,1
67,+,drinken,1
68,+,gebruik,1
69,+,hebben,2
70,+,kopen,1
71,+,leer,1
72,+,noemen,1
73,+,plassen,1
74,+,poep,5
75,+,spel,2
76,+,uitlaat,1
77,+,val,1
78,+,wachten,1
79,+,zeg,1
80,+,zijn,1
81,+00000000000000000,zijn,1
82,",",moeten,1
83,",",zien,1
84,",",zijn,1
85,",,",antwoorden,1
86,",,",gaan,1
87,",,",schrikken,1
88,",,",zeggen,1
89,-,komen,1
90,-10,hebben,1
91,-15,jaar,1
92,-34,klasse,1
93,-46,keer,1
94,-80.000-,krijgen,1
95,.,besteden,1
96,.,denken,1
97,.,doen,1
98,.,hebben,2
99,.,komen,3
100,.,maken,1
101,.,roepen,1
102,.,slapen,1
103,.,weet,1
104,.,zeggen,1
105,.,zetten,1
106,..,komen,1
107,..,stijgen,1
108,...,betekenen,1
109,...,doen,1
110,...,horen,1
111,...,komen,1
112,....,gaan,1
113,........,zien,1
114,...........,hebben,1
115,.............,bouwen,1
116,/,binnenspelen,1
117,/,doen,2
118,/,halen,1
119,/,wachten,1
120,0,halen,1
121,0,hebben,1
122,0,spel,1
123,0,stonde,1
124,0,vergeten,1
125,0,verliezen,2
126,"0,50",hebben,1
127,0-0,blijven,2
128,0-0,hebben,1
129,0-0,maken,2
130,0-0,spelen,1
131,0-0,staan,1
132,0-1,beginnen,1
133,0-1,scoren,4
134,0-1,staan,4
135,0-1,staat,1
136,0-1,stond,1
137,0-1,winnen,1
138,0-1,worden,2
139,0-11,winnen,1
140,0-2,afgelopen,1
141,0-2,scoren,2
142,0-2,stond,1
143,0-28,staan,1
144,0-3,winnen,2
145,0-5,verliezen,1
146,0-8,verliezen,1
147,0.2,zijn,1
148,00.00,afsteken,1
149,00.00,doen,1
150,000.000.000.000.000,eten,1
151,00000,gebeurt,1
152,000000,krijgen,1
153,"000000,99",brengen,1
154,000000000000000000,zijn,1
155,006,nemen,1
156,00:00,staan,1
157,01.30,mogen,1
158,02:45,hebben,1
159,046413,zeggen,1
160,0541,zet,1
161,05:29,zijn,1
162,068833045,bellen,1
163,07:00,vroeg,1
164,08.00,verzamelen,1
165,1,ademen,1
166,1,bedoelen,1
167,1,bel,1
168,1,bestaan,1
169,1,bevatten,1
170,1,bewegen,1
171,1,computeren,1
172,1,dan,1
173,1,doen,8
174,1,dragen,3
175,1,gaan,9
176,1,gevang,1
177,1,geven,3
178,1,gooien,2
179,1,halen,1
180,1,hebben,29
181,1,heten,1
182,1,hondenjaren,1
183,1,horen,2
184,1,huilen,1
185,1,kapotgaan,1
186,1,kijken,3
187,1,komen,4
188,1,krijgen,7
189,1,kunnen,3
190,1,leggen,7
191,1,liggen,1
192,1,loop,1
193,1,maken,4
194,1,moeten,1
195,1,mogen,1
196,1,nemen,1
197,1,overleven,1
198,1,overlijden,1
199,1,pakken,1
200,1,poep,2
201,1,repareren,1
202,1,rijen,1
203,1,roepen,4
204,1,schakelen,1
205,1,scoren,2
206,1,snijden,4
207,1,spelen,2
208,1,springen,1
209,1,staan,3
210,1,studeren,1
211,1,survulel,1
212,1,tegenhouden,1
213,1,tellen,1
214,1,type,1
215,1,typen,1
216,1,uitlaat,1
217,1,veranderen,1
218,1,verdienen,1
219,1,vergroten,1
220,1,verkleden,1
221,1,verliezen,4
222,1,verlopen,1
223,1,vinden,7
224,1,vlieg,2
225,1,vliegen,1
226,1,volgen,1
227,1,wacht,1
228,1,weet,1
229,1,willen,1
230,1,winnen,1
231,1,wonen,1
232,1,zaten,1
233,1,zeg,1
234,1,zeggen,13
235,1,zien,1
236,1,zijn,6
237,1,zit,1
238,1,zitten,3
239,1,zoeken,1
240,1,zullen,5
241,"1,203",geliket,1
242,"1,5",spel,1
243,"1,50",betalen,1
244,"1,50",zeggen,1
245,1-,krijgen,1
246,1-,pakken,1
247,1-0,beginnen,1
248,1-0,gaan,1
249,1-0,geven,2
250,1-0,hebben,2
251,1-0,komen,3
252,1-0,maken,6
253,1-0,schieten,3
254,1-0,scoren,16
255,1-0,staan,8
256,1-0,staat,3
257,1-0,stond,4
258,1-0,verliezen,3
259,1-0,weet,1
260,1-0,winnen,2
261,1-0,wissen,1
262,1-0,worden,1
263,1-0,zijn,2
264,1-1,gebeuren,1
265,1-1,maken,4
266,1-1,scoren,12
267,1-1,spelen,4
268,1-1,staan,2
269,1-1,stond,1
270,1-1,zijn,1
271,1-2,fluiten,1
272,1-2,maken,1
273,1-2,schieten,1
274,1-2,scoren,4
275,1-2,staan,1
276,1-2,verliezen,1
277,1-2,worden,1
278,1-2,zijn,1
279,1-2-3-,worden,1
280,1-3,staan,1
281,1-3,verliezen,2
282,1-3,winnen,1
283,1-3-1-2,spel,1
284,1-4,verliezen,3
285,1-5,verliezen,1
286,1-5,winnen,1
287,1-8,verliezen,1
288,1-aprilgrap,bedenken,1
289,1-aprilgrap,kennen,1
290,1-auto,wensen,1
291,1-motor,hebben,1
292,1.00,betalen,1
293,1.00,denken,1
294,1.000.000,geven,1
295,1.000.000,krijgen,1
296,1.000.000,staan,1
297,1.000.000,winnen,1
298,1.000.000.000.000.000.000,hebben,1
299,1.2.3,tellen,1
300,1.2.3.4,zeggen,1
301,1.2.3.versnelling,hebben,1
302,1.plagen,bedoelen,1
303,1/2,scheppen,1
304,1/2,staan,1
305,1/2,zitten,1
306,1/3,nemen,2
307,1/4,geven,1
308,1/4,vinden,1
309,1/4,vullen,1
310,1/5,typen,1
311,1/8,snijden,1
312,10,aanvinken,1
313,10,bedoelen,1
314,10,delen,1
315,10,doen,1
316,10,doorzoeken,1
317,10,gaan,1
318,10,geboren,1
319,10,geven,4
320,10,gooien,1
321,10,halen,9
322,10,hebben,13
323,10,horen,1
324,10,kijken,2
325,10,komen,2
326,10,krijgen,11
327,10,kunnen,1
328,10,land,1
329,10,lezen,2
330,10,maken,2
331,10,opgeven,1
332,10,slapen,1
333,10,spel,2
334,10,staan,1
335,10,tellen,2
336,10,vinden,2
337,10,weet,6
338,10,zaten,1
339,10,zeggen,1
340,10,zien,1
341,10,zijn,1
342,"10,40",zeggen,1
343,"10,9,8,7,6,5",schieten,1
344,10-0,staat,1
345,10-0,verliezen,1
346,10-0,winnen,2
347,10-jarig,<unk>,1
348,10.00,doen,1
349,10.00,rijen,1
350,10.000,hebben,1
351,10.000,overleven,1
352,10.000,verdienen,1
353,10.000.000.000,zitten,1
354,10.000.000.000.000,staan,1
355,10.00000,komen,1
356,10.000000,meenemen,1
357,10.000000,winnen,1
358,10.000000000000000,zien,1
359,10.5,spelen,1
360,100,aflezen,1
361,100,denken,1
362,100,durven,1
363,100,gaan,3
364,100,hebben,3
365,100,horen,1
366,100,kunnen,1
367,100,leven,1
368,100,mogen,7
369,100,opnoemen,1
370,100,reden,1
371,100,rijden,1
372,100,rijen,3
373,100,weet,5
374,100,werken,1
375,100,zien,1
376,"100,0000",winnen,1
377,100-0,staan,1
378,100.000,produceren,1
379,"100.000,-",geven,1
380,100.000.000.000.000.000.000.000.000,vergeten,1
381,100.0000.000,hebben,1
382,1000,denken,1
383,1000,halen,1
384,1000,hebben,2
385,1000,kunnen,1
386,1000,maken,1
387,1000,zit,1
388,1000.000,toveren,1
389,1000.000.000.000.000.000.00,halen,1
390,10000,bellen,1
391,10000,hebben,1
392,10000,krijgen,1
393,10000,spel,1
394,10000,willen,1
395,10000,zijn,1
396,"10000,-",geven,1
397,10000.000,zeggen,1
398,100000,hou,2
399,100000,zijn,1
400,1000000,hebben,1
401,1000000,krijgen,1
402,1000000,zweven,1
403,10000000,vinden,1
404,100000000,gaan,1
405,1000000000,knuffelen,1
406,100000000000,hebben,1
407,100000000000000000,maken,1
408,100000000000000000000,willen,1
409,10002,maken,1
410,100053,geven,1
411,100den,zijn,1
412,100ste,verdieping,1
413,101,verliezen,1
414,102,winnen,1
415,102501679,eten,1
416,103j8ilias8h,fluisteren,1
417,103m8naomi8s,komen,1
418,104,eten,1
419,104,staan,1
420,105,winnen,1
421,109,winnen,1
422,10:00,doen,1
423,10:15,beginnen,1
424,10de,keren,1
425,10de,verjaardag,4
426,10e,dag,1
427,10e,minuut,1
428,10e,plaats,1
429,10e,verjaardag,2
430,10e,verschillen,1
431,10persoonsbank,hebben,1
432,11,komen,1
433,11,krijgen,3
434,11,lopen,2
435,11,schieten,1
436,11,staan,1
437,11,wissen,1
438,11,zien,1
439,11,zijn,1
440,11,zingen,1
441,11-0,verliezen,1
442,11-0,winnen,1
443,11-10--8,kunnen,1
444,11.00,zijn,1
445,11.tam,maken,1
446,110,gescout,1
447,110,mogen,1
448,110,opeten,1
449,110,weet,1
450,1100,geven,1
451,1111,komen,1
452,111111111111,hebben,1
453,112,bel,108
454,112,bellen,53
455,112,doen,1
456,112,druk,1
457,112,gaan,1
458,112,gebeld,8
459,112,inschakelen,1
460,112,intoetsen,1
461,112,kijken,1
462,112,opbellen,2
463,112,staat,1
464,112,toetsen,1
465,112,type,2
466,112,wacht,1
467,112,wissen,1
468,112,zien,1
469,1136,zeggen,1
470,11:00,vertrek,1
471,11:15,maken,1
472,11:30,opschieten,1
473,11:50,gaan,1
474,11de,begin,1
475,11de,krijgen,1
476,11de,verdieping,1
477,11e,leeftijd,1
478,11e,verjaardag,1
479,11e,verschillen,1
480,11x24,verdienen,1
481,12,doen,1
482,12,gooien,1
483,12,hebben,2
484,12,komen,1
485,12,krijgen,1
486,12,mogen,1
487,12,nacht,1
488,12,slaan,2
489,12,staan,1
490,12,tik,1
491,12,trek,1
492,12-11,zijn,1
493,12-jarig,zus,1
494,12.00,gaan,1
495,12.05,eten,1
496,12.30,komen,1
497,120,rijden,1
498,12005,hebben,1
