,lemma1,lemma2,freq
0,!,zien,1
1,"""",doen,1
2,"""",gebruik,2
3,"""",zeggen,1
4,#,schrijven,1
5,$,krijgen,2
6,$,pakken,1
7,$,verdienen,1
8,$,zeggen,1
9,$,zien,1
10,%,hebben,2
11,%,zien,1
12,&,adopteren,1
13,&,betekenen,1
14,&,doen,1
15,&,hebben,1
16,&,kijken,2
17,&,krijgen,2
18,&,leven,1
19,&,opstijgen,1
20,&,poep,1
21,&,verwennen,1
22,&,vinden,3
23,&,wangeloven,1
24,&,zijn,1
25,&,zit,1
26,&,zoeken,1
27,',eten,1
28,',gaan,1
29,',geven,1
30,',hoeven,1
31,',komen,2
32,',krijgen,1
33,',loop,1
34,',ontbijt,1
35,',vervolgen,1
36,',vinden,1
37,',vragen,1
38,',zeg,1
39,',zeggen,3
40,',zetten,1
41,',zien,1
42,',zijn,2
43,'',krijgen,1
44,(,vervolgen,1
45,*,komen,2
46,*,krijgen,4
47,*,vinden,1
48,+,drinken,1
49,+,gebruik,1
50,+,hebben,2
51,+,kopen,1
52,+,leer,1
53,+,noemen,1
54,+,plassen,1
55,+,poep,5
56,+,spel,2
57,+,uitlaat,1
58,+,val,1
59,+,wachten,1
60,+,zeg,1
61,+,zijn,1
62,+00000000000000000,zijn,1
63,",",moeten,1
64,",",zien,1
65,",",zijn,1
66,",,",antwoorden,1
67,",,",gaan,1
68,",,",schrikken,1
69,",,",zeggen,1
70,-,komen,1
71,-10,hebben,1
72,-15,jaar,1
73,-34,klasse,1
74,-46,keer,1
75,-80.000-,krijgen,1
76,.,besteden,1
77,.,denken,1
78,.,doen,1
79,.,hebben,2
80,.,komen,2
81,.,maken,1
82,.,slapen,1
83,.,zeggen,1
84,.,zetten,1
85,..,komen,1
86,..,stijgen,1
87,...,betekenen,1
88,...,doen,1
89,...,horen,1
90,...,komen,1
91,....,gaan,1
92,........,zien,1
93,...........,hebben,1
94,.............,bouwen,1
95,/,binnenspelen,1
96,/,doen,2
97,/,wachten,1
98,0,halen,1
99,0,hebben,1
100,0,spel,1
101,0,stonde,1
102,0,vergeten,1
103,0,verliezen,2
104,"0,50",hebben,1
105,0-0,blijven,2
106,0-0,hebben,1
107,0-0,maken,2
108,0-0,spelen,1
109,0-0,staan,1
110,0-1,beginnen,1
111,0-1,scoren,4
112,0-1,staan,4
113,0-1,staat,1
114,0-1,stond,1
115,0-1,winnen,1
116,0-1,worden,2
117,0-11,winnen,1
118,0-2,afgelopen,1
119,0-2,scoren,2
120,0-2,stond,1
121,0-28,staan,1
122,0-3,winnen,2
123,0-5,verliezen,1
124,0-8,verliezen,1
125,00.00,afsteken,1
126,00.00,doen,1
127,000.000.000.000.000,eten,1
128,00000,gebeurt,1
129,000000,krijgen,1
130,"000000,99",brengen,1
131,000000000000000000,zijn,1
132,006,nemen,1
133,00:00,staan,1
134,01.30,mogen,1
135,02:45,hebben,1
136,046413,zeggen,1
137,0541,zet,1
138,05:29,zijn,1
139,068833045,bellen,1
140,07:00,vroeg,1
141,08.00,verzamelen,1
142,1,<unk>,1
143,1,ademen,1
144,1,bedoelen,1
145,1,bel,1
146,1,bestaan,1
147,1,bevatten,1
148,1,computeren,1
149,1,dan,1
150,1,doen,8
151,1,dragen,3
152,1,gaan,9
153,1,gevang,1
154,1,geven,3
155,1,gooien,2
156,1,halen,1
157,1,hebben,29
158,1,heten,1
159,1,hondenjaren,1
160,1,horen,2
161,1,huilen,1
162,1,kapotgaan,1
163,1,kijken,3
164,1,komen,4
165,1,krijgen,7
166,1,kunnen,3
167,1,leggen,7
168,1,liggen,1
169,1,loop,1
170,1,maken,4
171,1,moeten,1
172,1,mogen,1
173,1,nemen,1
174,1,overleven,1
175,1,overlijden,1
176,1,pakken,1
177,1,poep,2
178,1,repareren,1
179,1,rijen,1
180,1,roepen,4
181,1,schakelen,1
182,1,scoren,2
183,1,snijden,4
184,1,spelen,2
185,1,springen,1
186,1,staan,3
187,1,studeren,1
188,1,tegenhouden,1
189,1,tellen,1
190,1,type,1
191,1,typen,1
192,1,uitlaat,1
193,1,veranderen,1
194,1,verdienen,1
195,1,vergroten,1
196,1,verkleden,1
197,1,verliezen,4
198,1,verlopen,1
199,1,vinden,7
200,1,vlieg,2
201,1,vliegen,1
202,1,volgen,1
203,1,wacht,1
204,1,weet,1
205,1,willen,1
206,1,winnen,1
207,1,wonen,1
208,1,zaten,1
209,1,zeg,1
210,1,zeggen,13
211,1,zien,1
212,1,zijn,6
213,1,zit,1
214,1,zitten,3
215,1,zoeken,1
216,1,zullen,5
217,"1,5",spel,1
218,"1,50",betalen,1
219,"1,50",zeggen,1
220,1-,krijgen,1
221,1-,pakken,1
222,1-0,beginnen,1
223,1-0,gaan,1
224,1-0,geven,2
225,1-0,hebben,2
226,1-0,komen,3
227,1-0,maken,6
228,1-0,schieten,3
229,1-0,scoren,16
230,1-0,staan,8
231,1-0,staat,3
232,1-0,stond,4
233,1-0,verliezen,3
234,1-0,weet,1
235,1-0,winnen,2
236,1-0,wissen,1
237,1-0,worden,1
238,1-0,zijn,2
239,1-1,gebeuren,1
240,1-1,maken,4
241,1-1,scoren,12
242,1-1,spelen,4
243,1-1,staan,2
244,1-1,stond,1
245,1-1,zijn,1
246,1-2,fluiten,1
247,1-2,maken,1
248,1-2,schieten,1
249,1-2,scoren,4
250,1-2,staan,1
251,1-2,verliezen,1
252,1-2,worden,1
253,1-2,zijn,1
254,1-3,staan,1
255,1-3,verliezen,2
256,1-3,winnen,1
257,1-3-1-2,spel,1
258,1-4,verliezen,3
259,1-5,verliezen,1
260,1-5,winnen,1
261,1-8,verliezen,1
262,1-aprilgrap,bedenken,1
263,1-aprilgrap,kennen,1
264,1-auto,wensen,1
265,1-motor,hebben,1
266,1.00,betalen,1
267,1.00,denken,1
268,1.000.000,geven,1
269,1.000.000,krijgen,1
270,1.000.000,staan,1
271,1.000.000,winnen,1
272,1.000.000.000.000.000.000,hebben,1
273,1.2.3,tellen,1
274,1.2.3.4,zeggen,1
275,1.2.3.versnelling,hebben,1
276,1/2,scheppen,1
277,1/2,staan,1
278,1/2,zitten,1
279,1/3,nemen,2
280,1/4,vinden,1
281,1/5,typen,1
282,1/8,snijden,1
283,10,aanvinken,1
284,10,bedoelen,1
285,10,delen,1
286,10,doen,1
287,10,doorzoeken,1
288,10,gaan,1
289,10,geboren,1
290,10,geven,4
291,10,gooien,1
292,10,halen,9
293,10,hebben,13
294,10,horen,1
295,10,kijken,2
296,10,komen,2
297,10,krijgen,11
298,10,kunnen,1
299,10,land,1
300,10,lezen,2
301,10,maken,2
302,10,opgeven,1
303,10,slapen,1
304,10,spel,2
305,10,staan,1
306,10,tellen,2
307,10,vinden,2
308,10,weet,6
309,10,zaten,1
310,10,zeggen,1
311,10,zien,1
312,10,zijn,1
313,"10,40",zeggen,1
314,"10,9,8,7,6,5",schieten,1
315,10-0,staat,1
316,10-0,verliezen,1
317,10-0,winnen,2
318,10-jarig,<unk>,1
319,10.00,doen,1
320,10.00,rijen,1
321,10.000,hebben,1
322,10.000,overleven,1
323,10.000,verdienen,1
324,10.000.000.000,zitten,1
325,10.000.000.000.000,staan,1
326,10.00000,komen,1
327,10.000000,meenemen,1
328,10.000000,winnen,1
329,10.000000000000000,zien,1
330,10.5,spelen,1
331,100,aflezen,1
332,100,denken,1
333,100,durven,1
334,100,gaan,3
335,100,hebben,3
336,100,horen,1
337,100,kunnen,1
338,100,leven,1
339,100,mogen,7
340,100,opnoemen,1
341,100,reden,1
342,100,rijden,1
343,100,rijen,3
344,100,weet,5
345,100,werken,1
346,100,zien,1
347,"100,0000",winnen,1
348,100.000,produceren,1
349,"100.000,-",geven,1
350,100.0000.000,hebben,1
351,1000,denken,1
352,1000,halen,1
353,1000,hebben,2
354,1000,kunnen,1
355,1000,maken,1
356,1000,zit,1
357,1000.000,toveren,1
358,1000.000.000.000.000.000.00,halen,1
359,10000,bellen,1
360,10000,hebben,1
361,10000,krijgen,1
362,10000,spel,1
363,10000,willen,1
364,10000,zijn,1
365,"10000,-",geven,1
366,100000,hou,2
367,100000,zijn,1
368,1000000,hebben,1
369,1000000,krijgen,1
370,1000000,zweven,1
371,10000000,vinden,1
372,100000000,gaan,1
373,1000000000,knuffelen,1
374,100000000000,hebben,1
375,100000000000000000,maken,1
376,100000000000000000000,willen,1
377,10002,maken,1
378,100053,geven,1
379,100den,zijn,1
380,100ste,verdieping,1
381,101,verliezen,1
382,102,winnen,1
383,102501679,eten,1
384,103j8ilias8h,fluisteren,1
385,103m8naomi8s,komen,1
386,104,eten,1
387,104,staan,1
388,105,winnen,1
389,109,winnen,1
390,10:00,doen,1
391,10:15,beginnen,1
392,10de,keren,1
393,10de,verjaardag,4
394,10e,dag,1
395,10e,minuut,1
396,10e,plaats,1
397,10e,verjaardag,2
398,10e,verschillen,1
399,10persoonsbank,hebben,1
400,11,komen,1
401,11,krijgen,3
402,11,lopen,2
403,11,schieten,1
404,11,staan,1
405,11,wissen,1
406,11,zien,1
407,11,zijn,1
408,11,zingen,1
409,11-0,verliezen,1
410,11-0,winnen,1
411,11-10--8,kunnen,1
412,11.00,zijn,1
413,11.tam,maken,1
414,110,gescout,1
415,110,mogen,1
416,110,opeten,1
417,110,weet,1
418,1100,geven,1
419,1111,komen,1
420,111111111111,hebben,1
421,112,bel,108
422,112,bellen,53
423,112,doen,1
424,112,druk,1
425,112,gaan,1
426,112,gebeld,8
427,112,inschakelen,1
428,112,intoetsen,1
429,112,kijken,1
430,112,opbellen,2
431,112,staat,1
432,112,toetsen,1
433,112,type,2
434,112,wacht,1
435,112,wissen,1
436,112,zien,1
437,1136,zeggen,1
438,11:00,vertrek,1
439,11:15,maken,1
440,11:30,<unk>,1
441,11de,begin,1
442,11de,krijgen,1
443,11de,verdieping,1
444,11e,leeftijd,1
445,11e,verjaardag,1
446,11e,verschillen,1
447,11x24,verdienen,1
448,12,doen,1
449,12,gooien,1
450,12,hebben,2
451,12,komen,1
452,12,krijgen,1
453,12,mogen,1
454,12,nacht,1
455,12,slaan,2
456,12,staan,1
457,12,tik,1
458,12,trek,1
459,12-11,zijn,1
460,12-jarig,zus,1
461,12.00,gaan,1
462,12.05,eten,1
463,12.30,komen,1
464,120,rijden,1
465,12005,hebben,1
466,12014,kijken,1
467,120ste,minuut,1
468,123,helpen,1
469,123,zeg,1
470,123,zeggen,2
471,123,zijn,2
472,1232,gaan,1
473,1234,toetsen,1
474,12345,kijken,1
475,123456,kijken,1
476,12:00,rennen,1
477,12:00,storen,1
478,12e,hebben,1
479,12e,keren,1
480,12e,verjaardag,1
481,12e,verschillen,1
482,13,bouwen,1
483,13,doen,2
484,13,gaan,1
485,13,hebben,1
486,13,kennen,1
487,13,kijken,1
488,13,krijgen,1
489,13,leven,1
490,13,poetsen,1
491,13,roepen,1
492,13,schrijven,1
493,13,spelen,2
494,13,springen,1
495,13,starten,1
496,13,vier,1
497,13,vinden,1
498,13,zeggen,1
