pos1,pos2,pos3,freq
ADP,DET,NOUN,20557
DET,NOUN,PUNCT,11903
DET,NOUN,VERB,11783
DET,NOUN,ADP,8589
ADV,VERB,PRON,8336
CCONJ,PRON,VERB,8298
NOUN,VERB,PUNCT,8078
PRON,VERB,ADV,7002
CCONJ,PRON,AUX,6964
VERB,PRON,ADV,6945
PRON,AUX,ADV,6749
PRON,VERB,PRON,6573
VERB,DET,NOUN,6333
DET,ADJ,NOUN,6269
DET,NOUN,CCONJ,5556
DET,NOUN,AUX,5518
ADV,DET,NOUN,5437
PRON,VERB,ADP,5323
NOUN,ADP,DET,5270
ADP,PRON,NOUN,5143
VERB,ADP,DET,4951
CCONJ,ADV,VERB,4653
CCONJ,DET,NOUN,4531
ADP,VERB,PUNCT,4264
PRON,AUX,ADJ,4260
ADV,AUX,PRON,4195
ADJ,NOUN,PUNCT,4164
VERB,PRON,ADP,4046
DET,NOUN,ADV,3987
PRON,DET,NOUN,3933
PRON,ADV,ADV,3864
AUX,PRON,ADV,3792
NOUN,VERB,CCONJ,3686
PRON,ADV,ADJ,3668
PRON,NOUN,VERB,3562
PRON,ADP,DET,3476
PRON,VERB,PUNCT,3372
ADV,ADJ,PUNCT,3363
VERB,CCONJ,PRON,3344
NOUN,CCONJ,NOUN,3326
ADP,NOUN,PUNCT,3319
VERB,PRON,ADJ,3288
NOUN,CCONJ,PRON,3255
NOUN,VERB,PRON,3250
PRON,VERB,DET,3222
ADV,ADP,DET,3220
AUX,DET,NOUN,3218
AUX,ADV,ADJ,3190
PRON,NOUN,PUNCT,3135
SCONJ,PRON,ADV,3112
ADV,VERB,PUNCT,3094
AUX,VERB,PUNCT,2963
PRON,AUX,PRON,2871
ADV,ADV,ADJ,2857
VERB,SCONJ,PRON,2761
VERB,ADV,ADV,2678
VERB,PRON,PRON,2590
AUX,ADV,ADV,2541
ADJ,NOUN,VERB,2531
ADV,ADV,ADV,2526
PRON,VERB,SCONJ,2501
PRON,ADV,ADP,2496
NOUN,VERB,ADP,2479
PRON,ADV,VERB,2467
NOUN,ADV,PUNCT,2460
CCONJ,SCONJ,PRON,2457
NOUN,AUX,VERB,2456
ADP,DET,ADJ,2417
VERB,CCONJ,ADV,2412
PRON,AUX,DET,2409
VERB,PRON,DET,2363
NOUN,ADP,NOUN,2326
ADJ,VERB,PUNCT,2310
ADV,ADV,ADP,2286
NOUN,ADP,VERB,2259
ADJ,ADJ,PUNCT,2254
NOUN,VERB,ADV,2210
VERB,ADP,NOUN,2208
VERB,ADV,ADP,2184
PRON,VERB,ADJ,2106
SCONJ,DET,NOUN,2105
CCONJ,ADV,AUX,2078
VERB,ADV,DET,2070
NOUN,CCONJ,ADV,2060
PRON,AUX,VERB,2057
NOUN,ADP,PRON,2056
SCONJ,PRON,ADP,2016
ADV,ADJ,ADP,2014
NOUN,CCONJ,DET,2009
DET,NOUN,ADJ,1998
NOUN,AUX,ADV,1990
ADJ,NOUN,ADP,1979
VERB,PRON,NOUN,1974
PRON,PRON,ADV,1963
VERB,ADP,PRON,1944
DET,NOUN,NOUN,1886
ADP,NOUN,VERB,1856
AUX,PRON,ADJ,1819
SCONJ,PRON,ADJ,1814
PRON,NOUN,CCONJ,1813
AUX,ADJ,ADJ,1786
SCONJ,PRON,PRON,1735
NOUN,AUX,PRON,1732
ADP,ADP,VERB,1726
ADJ,ADP,DET,1719
PRON,AUX,ADP,1717
ADJ,CCONJ,PRON,1696
ADV,VERB,ADV,1695
VERB,VERB,PUNCT,1690
NOUN,AUX,ADJ,1676
CCONJ,ADP,DET,1667
ADV,ADV,VERB,1662
ADP,NOUN,CCONJ,1639
ADV,ADV,PUNCT,1635
PRON,NOUN,ADP,1627
VERB,VERB,PRON,1608
ADP,VERB,CCONJ,1607
DET,NOUN,PRON,1604
PRON,VERB,VERB,1604
PRON,VERB,NOUN,1593
ADP,PROPN,PUNCT,1586
AUX,ADJ,PUNCT,1584
AUX,PRON,VERB,1571
VERB,CCONJ,VERB,1558
PRON,PRON,VERB,1537
ADV,ADP,NOUN,1528
NOUN,ADP,PUNCT,1522
PRON,ADP,NOUN,1512
NOUN,CCONJ,VERB,1501
NOUN,VERB,VERB,1500
ADJ,NOUN,CCONJ,1495
ADV,ADJ,VERB,1486
VERB,ADV,ADJ,1477
PRON,ADV,PUNCT,1475
PRON,ADJ,PUNCT,1472
ADV,VERB,DET,1466
PRON,ADP,PRON,1439
AUX,VERB,CCONJ,1430
ADV,ADJ,CCONJ,1423
PRON,VERB,CCONJ,1381
PRON,NOUN,AUX,1380
NOUN,VERB,DET,1370
SCONJ,PRON,VERB,1366
SCONJ,PRON,DET,1362
ADV,PRON,VERB,1356
PRON,ADJ,NOUN,1348
NOUN,PUNCT,NOUN,1343
VERB,PRON,VERB,1343
PUNCT,NOUN,PUNCT,1338
CCONJ,NOUN,PUNCT,1334
AUX,PRON,NOUN,1333
PRON,ADJ,ADJ,1309
ADV,ADJ,ADJ,1300
PRON,ADP,VERB,1300
PRON,ADJ,VERB,1299
NOUN,DET,NOUN,1296
CCONJ,NOUN,VERB,1285
ADP,NOUN,ADP,1282
NOUN,ADP,PROPN,1260
AUX,ADV,VERB,1259
ADJ,SCONJ,PRON,1255
VERB,PRON,PUNCT,1248
ADV,ADP,VERB,1243
AUX,PRON,ADP,1227
ADV,ADP,PRON,1220
AUX,ADP,DET,1220
PRON,ADJ,ADP,1214
ADV,VERB,CCONJ,1198
CCONJ,PRON,NOUN,1195
VERB,DET,ADJ,1190
ADV,ADV,DET,1188
ADV,DET,ADJ,1177
ADJ,DET,NOUN,1173
CCONJ,VERB,PRON,1152
ADJ,ADJ,NOUN,1130
PRON,PRON,ADJ,1127
ADV,SCONJ,PRON,1123
PRON,ADJ,AUX,1119
NOUN,ADV,VERB,1110
VERB,CCONJ,NOUN,1109
VERB,PROPN,PUNCT,1100
VERB,CCONJ,DET,1093
NUM,NOUN,PUNCT,1084
ADJ,CCONJ,ADJ,1077
AUX,PRON,PRON,1076
CCONJ,ADV,ADV,1072
PRON,DET,ADJ,1068
PROPN,CCONJ,PROPN,1067
VERB,NOUN,PUNCT,1064
NOUN,NOUN,PUNCT,1063
ADJ,NOUN,AUX,1057
NOUN,ADJ,PUNCT,1055
VERB,AUX,PRON,1046
PRON,ADV,DET,1029
ADV,ADJ,NOUN,1005
AUX,DET,ADJ,1001
VERB,CCONJ,ADP,981
VERB,ADV,VERB,981
AUX,ADV,ADP,975
NOUN,ADV,ADV,962
ADJ,ADP,PRON,953
ADV,NOUN,VERB,952
VERB,ADV,PRON,951
VERB,ADV,PUNCT,950
ADJ,ADJ,CCONJ,944
ADV,ADJ,SCONJ,933
SCONJ,PRON,NOUN,906
ADJ,CCONJ,ADV,905
ADJ,ADP,ADP,901
PRON,AUX,NOUN,898
ADP,DET,PROPN,898
ADJ,ADJ,ADJ,897
ADJ,AUX,PUNCT,894
ADJ,VERB,CCONJ,888
AUX,PRON,DET,885
PRON,NOUN,ADV,884
CCONJ,NOUN,CCONJ,880
VERB,ADV,NOUN,878
ADV,ADP,PUNCT,869
VERB,ADP,PROPN,862
ADP,ADJ,NOUN,857
DET,NOUN,DET,856
ADP,PRON,VERB,850
NOUN,ADP,ADP,846
ADJ,VERB,PRON,845
NOUN,CCONJ,ADP,841
PUNCT,CCONJ,PRON,837
AUX,VERB,ADP,827
AUX,ADV,DET,826
PROPN,PROPN,PUNCT,825
AUX,ADJ,CCONJ,824
ADV,VERB,ADP,822
ADP,PRON,PUNCT,822
NOUN,VERB,NOUN,821
PUNCT,PRON,VERB,818
ADP,PRON,ADP,816
ADV,NUM,NOUN,815
ADP,VERB,VERB,810
ADJ,ADP,NOUN,808
PROPN,VERB,ADP,808
ADV,ADJ,AUX,806
CCONJ,VERB,PUNCT,805
NOUN,ADV,ADP,803
ADV,PRON,ADP,800
PUNCT,PROPN,PUNCT,795
PROPN,PUNCT,PROPN,794
NOUN,SCONJ,PRON,789
ADV,AUX,VERB,789
VERB,ADP,VERB,788
PROPN,VERB,PRON,786
NOUN,AUX,DET,784
VERB,VERB,CCONJ,782
NOUN,ADV,ADJ,781
DET,ADJ,ADJ,777
ADJ,ADJ,ADP,777
NOUN,VERB,SCONJ,773
NOUN,NOUN,VERB,772
VERB,PUNCT,CCONJ,771
ADV,ADV,PRON,771
NUM,NOUN,ADP,765
NOUN,AUX,PUNCT,761
CCONJ,DET,ADJ,758
PROPN,VERB,PUNCT,756
CCONJ,NOUN,ADV,750
ADP,NUM,NOUN,743
PRON,PRON,ADP,741
NOUN,PUNCT,CCONJ,730
PRON,PRON,NOUN,729
ADV,NOUN,PUNCT,727
AUX,VERB,PRON,722
AUX,ADJ,ADP,720
VERB,ADP,ADP,719
ADJ,ADP,VERB,718
ADV,NOUN,ADP,712
ADP,ADP,DET,711
VERB,CCONJ,SCONJ,709
ADP,DET,VERB,708
ADV,ADV,NOUN,708
NOUN,ADP,CCONJ,703
PRON,VERB,PROPN,702
ADJ,AUX,VERB,694
ADV,PRON,AUX,685
ADP,NOUN,NUM,677
NOUN,VERB,AUX,676
VERB,SCONJ,DET,675
CCONJ,NOUN,AUX,673
