lemma,pos,freq
er,ADV,63317
zijn,VERB,32588
eens,ADV,10363
een,DET,209053
man,NOUN,3844
en,CCONJ,364389
die,PRON,31760
heten,VERB,8186
klein,ADJ,8902
hij,PRON,58210
worden,AUX,25352
mee,ADP,12048
uitgescholden,VERB,33
zo,ADV,24170
maar,CCONJ,77812
zijn,AUX,239909
nog,ADV,29726
niet,ADV,105588
juist,ADJ,1050
heel,ADJ,56861
lang,ADJ,7637
hebben,VERB,54618
lengte,NOUN,43
van,ADP,53948
wel,ADV,48610
"10,10",NUM,1
m.,SYM,14
want,CCONJ,41645
dat,PRON,60808
echt,ADJ,10264
toen,ADV,25015
gaan,VERB,99941
naar,ADP,63518
zijn,PRON,22547
moeder,NOUN,12628
groot,ADJ,12872
vinden,VERB,73997
eerlijk,ADJ,338
dus,ADV,20175
smeekken,VERB,9
bij,ADP,23820
mogen,AUX,15464
ik,PRON,260577
alstublieft,ADV,79
de,DET,241632
koning,NOUN,1106
om,ADP,29503
mijn,PRON,57388
naam,NOUN,1668
te,ADP,41175
veranderen,VERB,659
zeggen,VERB,29749
ja,INTJ,10087
mogen,VERB,3447
je,PRON,143453
moeten,AUX,50771
goed,ADJ,33902
oppassen,VERB,197
hipkip,NOUN,2
hippe,ADJ,23
kip,NOUN,691
geen,DET,17123
tok,NOUN,25
maar,ADV,16163
hop,NOUN,52
combinatie,NOUN,23
paard,NOUN,3258
het,PRON,118621
twee,NUM,8432
poot,NOUN,1310
staart,NOUN,925
hoofd,NOUN,1315
snavel,NOUN,747
kunnen,AUX,82788
ook,ADV,85698
vliegen,VERB,5634
met,ADP,71018
vleugel,NOUN,1731
raar,ADJ,2677
dier,NOUN,30560
leven,VERB,5104
in,ADP,99165
prehistorie,NOUN,36
daardoor,ADV,796
hebben,AUX,47129
eigenschap,NOUN,20
T,SYM,18
Rex,PROPN,74
eten,VERB,19281
namelijk,ADV,767
vlees,NOUN,785
gelukkig,ADJ,3355
anders,ADV,4796
nu,ADV,10988
morsdood,ADV,1
dag,NOUN,15471
beginnen,VERB,4638
acht,NUM,839
uur,NOUN,7397
staan,VERB,10584
op,ADP,79076
meteen,ADV,1909
tekenen,VERB,1800
elf,NUM,512
ontbijten,VERB,313
werken,VERB,3259
aan,ADP,25964
spreekbeurt,NOUN,265
over,ADP,12855
Vincent,PROPN,74
van,PROPN,394
Gogh,PROPN,16
we,PRON,60148
PowerPoint,PROPN,16
maken,VERB,18567
even,ADV,7445
doornemen,VERB,7
drie,NUM,5774
stad,NOUN,1631
cadeaut,NOUN,1107
kopen,VERB,4508
voor,ADP,33264
surprise,NOUN,256
Hema,PROPN,19
daar,ADV,22696
panty,NOUN,7
wat,PRON,24865
onderbroe,NOUN,11
majolete,NOUN,1
mij,PRON,9048
Pipoos,PROPN,2
kijken,VERB,11906
verpakking,NOUN,9
genoeg,ADV,2875
daarna,ADV,7335
winkel,NOUN,1494
markt,NOUN,226
cadeau,NOUN,1489
vijf,NUM,2004
weggegaan,VERB,26
dit,PRON,6998
vrij,ADJ,3218
zielig,ADJ,7991
vooral,ADV,1535
tijger,NOUN,1584
olifant,NOUN,1992
wand,NOUN,48
denken,VERB,12942
dat,SCONJ,53734
irritant,ADJ,432
ze,PRON,139515
steeds,ADV,2617
tikken,VERB,112
krijgen,VERB,19599
zweep,NOUN,828
berijden,VERB,14
hok,NOUN,3880
stoppen,VERB,2182
pony,NOUN,853
hond,NOUN,32388
leuk,ADJ,63718
plezier,NOUN,652
horen,VERB,6707
eigenlijk,ADJ,4469
Afrika,PROPN,527
Vogels,PROPN,1934
elektriciteit,NOUN,120
vliegtuig,NOUN,25661
boven,ADP,2558
wolk,NOUN,408
vogel,NOUN,21634
vogel,PROPN,2451
nest,NOUN,936
piloot,NOUN,630
passagier,NOUN,515
1.000.000,NUM,18
kilo,NOUN,159
weg,NOUN,2249
25,NUM,283
gram,NOUN,162
veel,ADV,23726
weinig,ADV,1647
tv-kijken,SYM,150
buiten,ADP,27563
spelen,VERB,36222
doen,VERB,47706
dan,ADV,66721
Isa,PROPN,258
vriendin,NOUN,3912
zelf,ADV,9094
speel,VERB,6892
bijna,ADV,4641
altijd,ADV,8973
binnen,ADP,14775
zelfverzonnen,ADJ,4
spel,NOUN,3199
of,CCONJ,30307
tv-kijken,ADV,58
vaak,ADJ,9191
Pip,PROPN,248
het,DET,76340
soms,ADV,12807
spring,VERB,130
weleens,ADV,377
trampoline,NOUN,1171
ons,PRON,7636
achtertuin,NOUN,190
avond,NOUN,2839
veld,NOUN,767
wonen,VERB,3467
liggen,VERB,5053
vlak,ADJ,182
schommel,VERB,7
schommel,NOUN,373
hangmat,NOUN,38
lezen,VERB,3179
boek,NOUN,2094
bank,NOUN,1486
superfijn,ADJ,3
kamer,NOUN,2865
binnen-,SYM,36
buitenkind,NOUN,5
beide,PRON,192
wat,DET,1794
tip,NOUN,803
geven,VERB,7364
schrijven,VERB,8651
Tip,NOUN,497
1,NUM,4103
=,SYM,701
voordat,SCONJ,634
erover,ADV,276
na,ADP,5165
2,NUM,4640
titel,NOUN,170
als,SCONJ,60332
laat,ADJ,9525
3,NUM,5662
alfabet,NOUN,46
4,NUM,2669
hoofdletter,NOUN,766
punt,NOUN,1750
uitroepteken,VERB,41
vraagteken,NOUN,203
miljarde,ADJ,1
soort,NOUN,3957
veel,DET,18073
kat,NOUN,2000
dolfijn,NOUN,468
zoogdier,NOUN,172
vis,VERB,104
eend,NOUN,308
landdiear,NOUN,3
springdieren,NOUN,1
enzovoort,CCONJ,884
zien,VERB,19130
sommig,DET,5711
zee,NOUN,983
ander,ADJ,14340
land,NOUN,3205
lucht,NOUN,1738
plek,NOUN,1423
al,DET,5243
leven,NOUN,3213
één,NUM,6981
veel,PRON,11602
dan,SCONJ,9223
mens,NOUN,19208
lievelingsdier/dieren,VERB,1
bijvoorbeeld,ADV,7855
één,PROPN,257
daarom,ADV,4720
opnoemen,VERB,116
opschrijven,VERB,380
uitkijken,VERB,247
aantal,NOUN,152
jaar,NOUN,7680
houden,VERB,6893
weer,ADV,15986
zoeken,VERB,3373
erg,ADJ,10562
of,SCONJ,6718
schoon,ADJ,531
hokk,NOUN,2198
gelijk,NOUN,449
taalles,NOUN,21
spellingless,NOUN,4
typen,VERB,1879
super,ADV,476
smstaal,NOUN,530
gebruiken,VERB,5079
beetje,NOUN,4437
beperken,VERB,9
verleer,VERB,21
gewoon,ADJ,12417
nodig,ADJ,4458
keuze,NOUN,159
kind,NOUN,23716
willen,VERB,23448
hun,PRON,10959
eigen,ADJ,2561
schuld,NOUN,203
ongeluk,NOUN,765
gebeuren,VERB,3278
dorp,NOUN,653
Twijzel,PROPN,6
zullen,AUX,11430
enkel,DET,93
kear,NOUN,1
door,ADP,10993
luidspreker,NOUN,13
dug-out,NOUN,30
toch,ADV,7240
fout,NOUN,1324
21,NUM,182
mei,PROPN,354
sportpark,NOUN,10
De,DET,52
Moune,PROPN,2
rond,ADP,1275
15.30,NUM,11
inzakken,VERB,5
raken,VERB,1628
gewond,ADJ,369
meisje,NOUN,3528
overlijden,VERB,292
tijd,NOUN,4940
haar,PRON,10127
verwonding,NOUN,26
gisteravond,ADV,46
ziekenhuis,NOUN,649
zitten,VERB,28872
groep,NOUN,8887
6,NUM,1837
lichtgewond,VERB,2
onder,ADP,2590
voorronde,NOUN,10
jaarlijks,ADJ,11
Fries,ADJ,38
kampioenschap,NOUN,40
schoolkorfbal,NOUN,1
betrekken,VERB,13
opvangen,VERB,58
dorpshuis,NOUN,2
speciaal,ADJ,609
informatienummer,NOUN,1
openen,VERB,166
politie,NOUN,2115
onderzoek,NOUN,231
instorten,VERB,45
blaffen,VERB,2149
waakhond,NOUN,232
blindengeleidenhond,NOUN,2
huisdier,NOUN,1114
blindengeleidehonden,NOUN,5
helpen,VERB,2612
blind,ADJ,307
Honden,NOUN,2128
druk,ADJ,1180
kooi,NOUN,2243
jagen,VERB,1146
terug,ADV,4841
weten,VERB,15208
hoe,ADV,8756
probleem,NOUN,864
voedsel,NOUN,562
dood,ADJ,3026
verhongeren,VERB,52
zoiets,PRON,301
savanne/noord/zuidpool/jungle,NOUN,1
doden,VERB,157
verwonden,VERB,20
dieren,NOUN,992
ruimte,NOUN,1603
ding,NOUN,9546
leren,VERB,8866
opgroeien,VERB,24
zo'n,DET,1512
paardrijden,VERB,724
wei,NOUN,210
mening,NOUN,1960
laten,VERB,6343
rust,NOUN,476
Alex,PROPN,153
zeventienjarig,ADJ,2
jongen,NOUN,4180
net,ADV,4404
brommerexam,NOUN,2
halen,VERB,4169
brommer,NOUN,118
huis,NOUN,12454
achteraf,ADV,10
langs,ADP,1250
koei,NOUN,320
al,ADV,12291
koe,NOUN,253
besluit,VERB,12
hem,PRON,13010
rijden,VERB,3612
komen,VERB,27498
boer,NOUN,382
eraan,ADV,940
Wegwezen,VERB,4
uit,ADP,16439
volgen,VERB,4052
elk,DET,4344
stuk,NOUN,3174
ver,ADJ,4194
zet,VERB,1158
voet,NOUN,1115
pedaal,NOUN,5
vol,ADJ,719
gas,NOUN,131
weiland,NOUN,175
kunnen,VERB,6407
overeenkomen,VERB,9
vallen,VERB,5827
rent,VERB,125
ernaartoe,PROPN,291
koeienpoep,NOUN,4
gezicht,NOUN,545
helemaal,ADV,4858
omdat,SCONJ,23961
bijten,VERB,1505
rennen,VERB,4973
hard,ADJ,4684
bang,ADJ,2455
ananas,NOUN,1715
leggen,VERB,3295
broodje,NOUN,412
Leg,VERB,823
kaas,NOUN,1904
doe,VERB,1697
boter,NOUN,1391
pan.,NOUN,1005
Erna,PROPN,20
smelten,VERB,542
brood,NOUN,2750
pan,NOUN,1347
waar,ADV,8451
deksel,NOUN,861
voilànen,VERB,2
klaar,ADJ,3680
lekker,ADJ,10274
smullen,VERB,440
waarom,ADV,4400
kwijt,ADJ,1897
worden,VERB,10331
nummer,NOUN,820
kinder,NOUN,20
pakken,VERB,4309
mobiel,ADJ,3351
belgeluid,NOUN,1
klas,NOUN,3356
Pestkoppen,NOUN,5
plagen,VERB,133
kapot,ADJ,2103
juf,NOUN,2889
offie,NOUN,2
tegen,ADP,7632
licht,NOUN,798
zeiden,VERB,1316
verhaal,NOUN,3472
nou,ADV,5701
dierentuin,NOUN,10761
te,ADV,7022
overdreven,ADJ,157
Nederland,PROPN,2585
superklein,NOUN,18
erin,ADV,1454
proppen,VERB,31
jong,NOUN,35
blijven,VERB,7276
Winter,PROPN,38
winter,NOUN,1001
sneeuw,NOUN,638
daarmee,ADV,489
sneeuwpop,NOUN,302
Lente,NOUN,61
lente,NOUN,645
bloeien,VERB,44
mooi,ADJ,7821
bloemet,NOUN,58
jong,ADJ,2362
geboren,VERB,913
Zomer,PROPN,11
zomer,NOUN,1152
bloedheet,NOUN,16
zwemmen,VERB,3731
plas,NOUN,733
grond,NOUN,1607
uitgegleden,VERB,8
fiets,NOUN,4292
meenemen,VERB,1378
haken,VERB,151
Wim,PROPN,3824
schoen,NOUN,1671
T-shirt,NOUN,881
broek,NOUN,585
lopen,VERB,9706
scheur,NOUN,545
nat,ADJ,1491
fietsen,VERB,2762
dat,DET,4226
drogen,VERB,47
bloed,NOUN,527
schaafwond,NOUN,55
blij,ADJ,3693
knutselden,VERB,22
graag,ADV,4439
me,PRON,6237
knuffel,NOUN,564
kassaa,NOUN,3
tekenden,VERB,9
barbie,NOUN,180
Xbox,PROPN,498
konijn,NOUN,1444
hut,NOUN,885
bouwen,VERB,2046
alles,PRON,6659
opruimen,VERB,870
ziten,VERB,9
boot,NOUN,1196
varen,VERB,360
dansspel,NOUN,3
Computeren,PROPN,166
gamen,VERB,1894
sporten,VERB,928
noemen,VERB,1400
Gamen,VERB,114
verbieden,VERB,480
hoeven,VERB,3523
sport,NOUN,1958
saai,ADJ,2093
computeren,VERB,1461
graan,NOUN,102
platdrukken,VERB,1
ge,PROPN,37
bakken,VERB,508
bakker,NOUN,137
toe,ADP,3354
belangrijk,ADJ,2430
zodat,SCONJ,1203
vreemd,ADJ,792
hoeveel,NUM,336
welk,DET,912
buurt,NOUN,774
wel/niet,PRON,3
een,PRON,1220
kant,NOUN,2612
natuur,NOUN,2717
meedoen,VERB,838
allerliefst,ADJ,46
tante,NOUN,1497
pop,NOUN,1045
lief,ADJ,7613
chocola,NOUN,196
kleur,NOUN,1766
stoel,NOUN,969
ineens,ADV,1139
iets,PRON,9404
zeilboot,NOUN,18
vertrekken,VERB,464
bewegen,VERB,1458
vin,NOUN,24
kop,NOUN,804
achter,ADP,8092
warm,ADJ,2061
toen,SCONJ,11392
aankwamen,VERB,193
41,NUM,13
°,SYM,477
C,NOUN,444
dus,CCONJ,2150
huisje,NOUN,254
vier,NOUN,98
Tim,PROPN,751
Maareen,PROPN,1
Eric,PROPN,14
zwembad,NOUN,2073
ontmoeten,VERB,311
Rosalie,PROPN,22
Robin,PROPN,241
vriend,NOUN,10278
22:00,NUM,8
aanleggen,VERB,51
kaartspel,NOUN,9
kaart,NOUN,793
totaal,NOUN,104
€,PROPN,41
"50,00",NUM,1
verdienen,VERB,830
portomenee,NOUN,1
kortom,ADV,167
vakantie,NOUN,3571
ooit,ADV,725
wakker,ADJ,2619
vroeg,VERB,158
ochtend,NOUN,1364
vader,NOUN,7166
trekken,VERB,1071
oh,INTJ,246
jarig,ADJ,1359
vandaag,ADV,1824
school,NOUN,12905
trakteren,VERB,59
chips,NOUN,260
neef,NOUN,968
onverwachts,ADJ,13
kiezen,VERB,1574
buur,NOUN,403
bezoek,NOUN,321
die,DET,13829
paar,NOUN,4130
kinderfees,NOUN,84
Gijs,PROPN,173
Eef,PROPN,32
wachten,VERB,3186
tot,ADP,3973
plots,ADJ,58
boem,NOUN,235
zwart,ADJ,2173
piet,NOUN,958
stoer,ADJ,418
zak,NOUN,884
zakk,NOUN,12
snoep,NOUN,1496
Sinterklaas,PROPN,3324
buitenspelen,VERB,659
gezond,ADJ,3440
dat.,PRON,75
natuurlijk,ADJ,4251
computer,NOUN,10328
verslaafd,ADJ,522
regenen,VERB,2397
Buitenspelen,VERB,150
voetballen,VERB,4730
tikker,NOUN,731
Kind,NOUN,482
Gezonder,NOUN,3
buitenspelen,NOUN,27
online,ADJ,520
elkaar,PRON,3610
zorgen,VERB,1337
wandelen,VERB,1305
roepen,VERB,2506
er,PRON,2843
achteraan,ADP,194
bureau,NOUN,219
vuur,NOUN,697
Marjolein,PROPN,30
Faye,PROPN,34
ouder,NOUN,4677
broer,NOUN,4789
Disneyland,PROPN,118
Parijs,PROPN,278
vragen,VERB,5191
wanneer,ADV,360
mama,NOUN,5467
lieverd,VERB,28
familie,NOUN,2609
Peters,PROPN,26
raam,NOUN,1428
hè,INTJ,851
eindelijk,ADJ,1357
ren,VERB,223
oprit,NOUN,10
auto,NOUN,3949
meid,NOUN,442
renden,VERB,482
handtekening,NOUN,123
zoveel,NUM,1066
attractie,NOUN,367
uiteindelijk,ADJ,1049
superreis,NOUN,1
disneyland,PROPN,2
handig,ADJ,2606
verdwalen,VERB,565
bellen,VERB,4761
hen,PRON,912
sommig,PRON,1632
mobiel,NOUN,1715
restaurant,NOUN,527
helft,NOUN,626
gourmetstellen,NOUN,1
buffet,NOUN,26
lijken,VERB,2723
terugkoken,VERB,1
dj,ADV,20
muziek,NOUN,995
optreden,VERB,412
korten,VERB,25
af,ADP,4692
afkorting,NOUN,3706
alsnog,ADV,206
woord,NOUN,4365
fijn,ADJ,3704
onzin,NOUN,592
overmaken,VERB,40
beslissen,VERB,214
jij,PRON,4180
poepen,VERB,1917
plassen,VERB,1251
allebei,DET,43
Gabriel,PROPN,10
best,ADJ,4410
sowieso,NOUN,121
gemiddeld,ADJ,71
elektro-,SYM,1
Nica,PROPN,1
uitzonderen,VERB,1
tv,NOUN,2273
zoals,SCONJ,8048
xbox,PROPN,11
playstation,SYM,50
tablet,NOUN,1146
ikzelf,PRON,449
ongeveer,ADV,1309
1/2,NUM,69
per,ADP,2364
reactiesnelheid,NOUN,1
snel,ADJ,8272
verkleinen,VERB,8
sociaal,ADJ,99
gedrag,NOUN,73
fik,NOUN,70
redden,VERB,650
game,NOUN,886
alleen,ADV,10722
multiplayer,PROPN,12
mulitplayer,ADV,1
minigame,NOUN,10
samen,ADV,3652
sky,PROPN,6
wars,ADJ,14
minecraft,PROPN,129
clash,NOUN,12
clan,NOUN,74
boom,NOUN,3236
Beach,PROPN,11
oprichten,VERB,57
vechten,VERB,751
overwinnen,VERB,16
blijf,VERB,26
60,NUM,112
Ponykamp,PROPN,3
Hogerheide,PROPN,3
5,NUM,2956
augustus,PROPN,85
voeren,VERB,717
gezellig,ADJ,2556
half,ADJ,1833
bos,NOUN,3474
eerst,ADV,5074
poos,NOUN,63
stap,NOUN,1036
draven,VERB,47
Ginger,PROPN,9
crossen,VERB,140
dat.,PUNCT,370
zacht,ADJ,1796
daarheen,ADV,131
filmp,NOUN,529
stelen,VERB,764
gingen,VERB,184
stopten,VERB,12
u,PRON,1956
misschien,ADV,6749
keer,NOUN,8519
paashaas,NOUN,400
paaseier,NOUN,224
opeten,VERB,417
springen,VERB,3387
suikerspin,NOUN,102
dompsie,NOUN,8
duren,VERB,1279
Tring,PROPN,16
tring,NOUN,95
Neerstortingsgevaar,PROPN,1
neerstortingsgevaar,PROPN,1
aah,NOUN,4
o,SYM,89
nee,INTJ,5149
Plons,PROPN,37
geheim,ADJ,277
opblaasboo,NOUN,1
