lemma,pos,freq
er,ADV,8
zijn,VERB,5
eens,ADV,2
een,DET,32
man,NOUN,1
en,CCONJ,28
die,PRON,3
heten,VERB,2
klein,ADJ,3
hij,PRON,12
worden,AUX,3
mee,ADP,1
uitgescholden,VERB,1
zo,ADV,5
maar,CCONJ,14
zijn,AUX,23
nog,ADV,5
niet,ADV,15
juist,ADJ,1
heel,ADJ,11
lang,ADJ,2
hebben,VERB,11
lengte,NOUN,1
van,ADP,6
wel,ADV,11
"10,10",NUM,1
m.,SYM,1
want,CCONJ,8
dat,PRON,9
echt,ADJ,3
toen,ADV,5
gaan,VERB,10
naar,ADP,6
zijn,PRON,4
moeder,NOUN,5
groot,ADJ,2
vinden,VERB,12
eerlijk,ADJ,1
dus,ADV,4
smeekken,VERB,1
bij,ADP,4
mogen,AUX,2
ik,PRON,30
alstublieft,ADV,1
de,DET,32
koning,NOUN,1
om,ADP,10
mijn,PRON,8
naam,NOUN,1
te,ADP,3
veranderen,VERB,1
zeggen,VERB,2
ja,INTJ,1
mogen,VERB,1
je,PRON,12
moeten,AUX,3
goed,ADJ,4
oppassen,VERB,1
hipkip,NOUN,2
hippe,ADJ,1
kip,NOUN,3
geen,DET,2
tok,NOUN,2
maar,ADV,3
hop,NOUN,2
combinatie,NOUN,1
paard,NOUN,1
het,PRON,13
twee,NUM,3
poot,NOUN,1
staart,NOUN,1
hoofd,NOUN,1
snavel,NOUN,1
kunnen,AUX,5
ook,ADV,11
vliegen,VERB,1
met,ADP,7
vleugel,NOUN,1
raar,ADJ,1
dier,NOUN,11
leven,VERB,6
in,ADP,12
prehistorie,NOUN,2
daardoor,ADV,1
hebben,AUX,4
eigenschap,NOUN,1
T,SYM,1
Rex,PROPN,1
eten,VERB,2
namelijk,ADV,1
vlees,NOUN,1
gelukkig,ADJ,1
anders,ADV,2
nu,ADV,2
morsdood,ADV,1
dag,NOUN,2
beginnen,VERB,2
acht,NUM,1
uur,NOUN,5
staan,VERB,1
op,ADP,9
meteen,ADV,1
tekenen,VERB,1
elf,NUM,1
ontbijten,VERB,1
werken,VERB,2
aan,ADP,2
spreekbeurt,NOUN,1
over,ADP,2
Vincent,PROPN,1
van,PROPN,1
Gogh,PROPN,1
we,PRON,11
PowerPoint,PROPN,1
maken,VERB,2
even,ADV,1
doornemen,VERB,1
drie,NUM,2
stad,NOUN,1
cadeaut,NOUN,1
kopen,VERB,3
voor,ADP,8
surprise,NOUN,2
Hema,PROPN,1
daar,ADV,4
panty,NOUN,1
wat,PRON,1
onderbroe,NOUN,1
majolete,NOUN,1
mij,PRON,1
Pipoos,PROPN,1
kijken,VERB,1
verpakking,NOUN,1
genoeg,ADV,1
daarna,ADV,1
winkel,NOUN,1
markt,NOUN,1
