,freq,lemma1,lemma2
0,564,','
1,5,',''
2,1,',.'Zo
3,1,',BRB'(be
4,1,',Baardina's
5,1,',Blub!!'riep
6,1,',Goedemorgen!'zei
7,1,',Let's
8,1,',M'n
9,1,',oetsie'quari
10,1,',zo'n
11,68,',!
12,8,',""""
13,12,',(
14,5,',)
15,2,',*
16,276,',","
17,1,',",,"
18,650,',.
19,1,',..
20,8,',...
21,1,',....
22,2,',.....
23,1,',........
24,1,',00:02
25,1,',08
26,1,',0:10
27,1,',1
28,1,',10
29,2,',13
30,3,',15
31,1,',18
32,1,',2
33,1,',20
34,2,',21
35,1,',23:10
36,1,',23:59
37,1,',28
38,5,',29
39,2,',3
40,1,',3-0
41,2,',31
42,1,',5
43,1,',6
44,2,',63
45,1,',7
46,1,',70
47,4,',8
48,1,',80
49,1,',89
50,1,',98
51,1,',99
52,70,',:
53,1,',;
54,60,',?
55,5,',A
56,1,',AAAAAA
57,1,',AAAAAAAAAHHH
58,1,',AAAAAAAAHHH
59,1,',AAAAAH
60,1,',AAAHHH
61,1,',AU
62,1,',Aaaaa
63,1,',Aaaaaaaaaaah
64,2,',Aaaah
65,3,',Aaah
66,1,',Aaahh
67,1,',Aaargh
68,2,',Aah
69,1,',Aahhh
70,1,',Aangenaam
71,1,',Aarzelen
72,5,',Abel
73,1,',Acht
74,1,',Adam
75,2,',Ah
76,1,',Ahhh
77,1,',Ahww
78,2,',Ai
79,1,',Ajax
80,1,',Alessio
81,2,',Alicia
82,3,',Alsjeblieft
83,3,',Andersom
84,5,',Angel
85,1,',Anna
86,1,',Anne
87,1,',Anorexia
88,1,',Anton
89,1,',Antwoorden
90,1,',Antwoordt
91,1,',Appel
92,1,',Ari
93,1,',Arme
94,1,',Asha
95,1,',Aspergesoep
96,11,',Au
97,1,',Auuw
98,3,',Auw
99,1,',Awesome
100,1,',Aáá
101,2,',B
102,1,',BERNARD
103,1,',BYE
104,1,',Babbel
105,1,',Babs
106,2,',Balen
107,1,',Bam
108,1,',Bankrovers
109,1,',Bas
110,1,',Beautynez
111,2,',Bedankt
112,3,',Bel
113,4,',Belle
114,1,',Beneden
115,1,',Bernard
116,2,',Bert
117,1,',Best.
118,3,',Beste
119,1,',Blablabla
120,1,',Black
121,4,',Blijf
122,1,',Blitz
123,1,',Bo
124,2,',Boe
125,1,',Boehh
126,1,',Boeit
127,2,',Boemerdeboem
128,1,',Bonnetje
129,2,',Boos
130,1,',Bram
131,1,',Broertjelief
132,1,',Bye
133,1,',CSI
134,1,',Cactus
135,1,',Camping
136,1,',Can
137,1,',Candy
138,1,',Cara
139,1,',Carlijn
140,1,',Carolien
141,1,',Casy
142,4,',Charlotte
143,2,',Chips
144,1,',Chocola
145,1,',Chris
146,1,',Christus
147,1,',Claudine
148,1,',Cloë
149,4,',Cool
150,1,',Coooool
151,4,',Cornelis
152,1,',Criminal
153,1,',D8
154,1,',Daan
155,1,',Dadelijk
156,3,',Daisy
157,3,',Dames
158,1,',Dammen
159,1,',Dara
160,1,',Dave
161,1,',Deal
162,1,',Denice
163,1,',Denise
164,2,',Denzo
165,1,',Do
166,1,',Dombo
167,1,',Domkop
168,2,',Donja
169,1,',Duits
170,1,',E
171,1,',EN
172,1,',Eeeeeeuw
173,1,',Eeehh
174,1,',Eehm
175,1,',Eens
176,1,',Eh
177,1,',Ehhmmm
178,2,',Ehm
179,10,',Einde
180,1,',Eline
181,1,',Ellen
182,1,',Elroy
183,1,',Em
184,1,',Emet
185,2,',Emma
186,1,',Esmee
187,1,',Eén
188,1,',FC
189,1,',FF
190,2,',Feest
191,1,',Fiet
192,3,',Fijn
193,2,',Fijne
194,1,',Finn
195,2,',Fleur
196,2,',Flooper
197,3,',Floor
198,1,',Flora
199,1,',Fredrik
200,1,',Friet
201,1,',GA
202,1,',GHG
203,1,',GNAHGNAH
204,1,',GNAHGNAHGNAHGNAH
205,1,',GTG
206,24,',Ga
207,1,',Gaaf
208,5,',Gaan
209,1,',Gaap
210,7,',Gaat
211,1,',Game
212,1,',Gast
213,1,',Gebruik
214,1,',Gedver
215,2,',Geef
216,1,',Geeft
217,1,',Gehoorzamend
218,1,',Geiske
219,2,',Gek
220,1,',Gelukkig
221,1,',Gelukt
222,1,',Getdressed
223,1,',Gewone
224,1,',Geïrriteerd
225,2,',Goedemiddag
226,1,',Goeie
227,1,',Goh
228,1,',Gooien
229,1,',Gos
230,1,',Gregor
231,2,',Groetjes
232,1,',Groot
233,1,',Grote
234,1,',Grr
235,1,',Grrrr
236,1,',Guilty
237,1,',Gwendolyn
238,1,',H
239,2,',HAAL
240,3,',Ha
241,3,',Haal
242,1,',Hadjimee
243,2,',Haha
244,2,',Hahaha
245,1,',Hahahahahahahahahahahahahahahahaha
246,36,',Hallo
247,1,',Halloden
248,1,',Hallucineer
249,3,',Happy
250,4,',Harry
251,1,',Hawaii
252,13,',He
253,14,',Heb
254,10,',Hebben
255,3,',Hee
256,1,',Heeii
257,1,',Heeueeej
258,5,',Heey
259,1,',Hehehehihihiha
260,1,',Helemaal
261,3,',Hello
262,21,',Help
263,1,',Hendricus
264,1,',Henk
265,1,',Herdertje
266,1,',Heros
267,1,',Hetti
268,6,',Hey
269,2,',Hgh
270,1,',Hhhhmmm
271,1,',Hi
272,1,',Hiehiehie
273,1,',Hihi
274,1,',Hmm
275,2,',Ho
276,1,',Hoepel
277,12,',Hoezo
278,5,',Hoi
279,1,',Hoooiii
280,2,',Hoor
281,1,',Hoorde
282,2,',Hoorden
283,1,',Hoort
284,3,',Hotel
