,freq,lemma1,lemma2
0,1,',zeggen
1,1,'',krijgen
2,1,2'5,komen
3,1,2'tje,doen
4,1,8-12-'14,geval
5,1,AT-AT'2,vallen
6,1,Adam's,blij
7,1,Adam's,boos
8,1,Adam's,laten
9,1,Anie's,leuk
10,1,Anna's,komen
11,1,Assassin's,doen
12,1,Auto's,bestaan
13,1,Auto's,gaan
14,1,Auto's,handig
15,1,Auto's,hebben
16,1,Auto's,koel
17,1,Auto's,kunnen
18,1,Auto's,leven
19,1,Auto's,merk
20,1,Auto's,nee
21,2,Auto's,rijden
22,4,Auto's,vinden
23,1,Auto's,zijn
24,1,BFF',noemen
25,1,BFF's,Lynn
26,2,BFF's,hebben
27,2,BFF's,zijn
28,1,BFFf's,stelen
29,1,BMX'en,gaan
30,1,BMX'jes,hebben
31,1,BVV's,missen
32,1,Baardina's,traden
33,1,Baby's,heten
34,1,Baby's,krijgen
35,1,Baby's,laten
36,1,Baby's,opaat
37,1,Babypuppy's,vinden
38,1,Barbie's,vinden
39,1,Bmw's,auto
40,1,Bo's,ging
41,1,Buggati's,hebben
42,1,C4's,plakten
43,1,CD's,hebben
44,1,Cavia's,verzorgen
45,1,Cheeta's,katachtig
46,1,Cheeta's,supersnel
47,1,Chi's,zijn
48,1,Chihuahua's,hond
49,2,Chihuahua's,vinden
50,2,Cito's,doen
51,2,Cito's,vinden
52,1,Ciwawa's,zijn
53,1,DS'en,gaan
54,2,DS'en,vinden
55,1,Desa's,verzamelen
56,1,E'tjes,hebben
57,2,E'to,raakte
58,1,E'to,vallen
59,1,Emma.'Wat,zeggen
60,1,F'jes,komen
61,1,F'jes,spelen
62,1,Fien's,vader
63,1,Fifa'13,speel
64,1,Fifa'15,spelen
65,1,Foto's,maken
66,1,Groep-3'ers,gooien
67,1,Hero's,hebben
68,2,Hobby's,ding
69,1,Hyena's,horen
70,1,Hyena's,pakken
71,1,Ja?'Wat,zijn
72,1,Jack's,komen
73,1,K'NEX,pak
74,1,K'NEX,vinden
75,1,KFC's,gaan
76,1,Kata's,hebben
77,1,Knex'en,gaan
78,1,Koala's,zijn
79,1,Komma's,dit
80,1,Komma's,hetzelfde
81,1,LEGO'en,knutselen
82,1,Lama's,oké
83,1,Lana's,gleed
84,1,Let's,zeggen
85,1,Lisa's,beurt
86,1,Lisa's,pakken
87,1,M&M's,gaan
88,1,M'en,schrijven
89,1,Mark's,oprijden
90,1,Markx's,zien
91,1,McDonald's,eten
92,1,McDonald's,gaan
93,1,McDonald's,hamburger
94,1,McDonald's,ijsje
95,1,McDonald's,kopen
96,1,McDonald's,zijn
97,1,McDonald's-spel,doen
98,1,Migi's,hebben
99,1,Mollie's,laten
100,1,Mollie's,zitten
101,1,NL'er,staan
102,1,NSB'ers,mens
103,1,Nazi's,verslaan
104,1,Nemo's,kleur
105,1,Ninja's,weten
106,1,Ninja's,woonden
107,1,Oempaloempa's,mens
108,1,Oempaloempa's,zitten
109,1,Oma's,lief
110,1,Orka's,zoogdier
111,1,P's,staan
112,1,PS4's,hebben
113,1,Politie's,soort
114,2,Pony's,drinken
115,1,Puppy's,blijven
116,1,Puppy's,blind
117,1,Puppy's,dominant
118,5,Puppy's,drinken
119,1,Puppy's,druk
120,1,Puppy's,heten
121,1,Puppy's,kind
122,1,Puppy's,knuffelpuppy
123,1,Puppy's,moeten
124,1,Puppy's,nodig
125,1,Puppy's,schattigst
126,2,Puppy's,vinden
127,1,Rembrandt's,staan
128,1,Rina's,vragen
129,1,Rubik's,hobby
130,1,Safari's,goed
131,1,Salto's,maken
132,1,Shilla's,Geblaf
133,2,Sms',kost
134,1,Sms'en,duur
135,1,Sms'en,grappig
136,1,Sms'en,kosten
137,1,Sms'en,mogen
138,1,Sms'en,staan
139,1,Sms'en,taal
140,1,Sms'en,weten
141,1,Sms'te,Vincent
142,1,Subwy'y,zitten
143,1,Swag'X,staan
144,1,Swag'X,weten
145,1,Tim's,gaan
146,1,Tina's,lezen
147,1,Tosti's,superlekker
148,1,Toto's,samenverkopen
149,1,UFO',werken
150,1,V's,hebben
151,1,Vrachtauto's,snel
152,1,WC's,maken
153,2,WK's,zijn
154,1,What's,kijken
155,1,Wii',kunnen
156,1,Wii'en,kunnen
157,1,Xbox's,hebben
158,1,Yara's,sloten
159,1,Yoki's,rijden
160,1,YouTube-video's,neem
161,1,YouTubevideo's,kijken
162,1,YouTubevideo's,neem
163,1,Zachten's,hebben
164,1,Zebra's,krijgen
165,1,Zebra's,leven
166,1,acc's,bekijken
167,1,au's,hebben
168,1,baby',gezond
169,1,baby',hebben
170,1,baby',heten
171,3,baby',krijgen
172,1,baby',maken
173,1,baby',terug
174,1,baby',verschonen
175,1,baby',weten
176,1,baby',zeggen
177,1,baby',zien
178,1,baby's,krijgen
179,1,baby's,liken
180,1,baby't,gelatine
181,1,baby't,gewond
182,1,baby't,komen
183,6,baby't,krijgen
184,1,baby'tje,huillen
185,1,baby'tje,krijgen
186,1,bmx'en,doen
187,1,cd',spelen
188,1,cd's,maken
189,2,crossauto's,noemen
190,1,d'tjes,goed
191,1,dS'en,doen
192,1,dS'en,gaan
193,1,dS'en,hebben
194,1,dS'en,kijken
195,1,dS'en,leuk
196,8,dS'en,vinden
197,1,dS'en,wiiënten
198,1,dS'en,willen
199,1,da's,lekker
200,1,da's,vinden
201,1,dana's,hebben
202,1,dani's,zien
203,1,dino's,bestaan
204,1,dino's,dier
205,1,dino's,groot
206,1,dino's,hebben
207,1,dino's,interessant
208,2,dino's,leven
209,1,dino's,lijken
210,1,dino's,pist
211,1,dino's,vinden
