,lemma,pos,freq
0,"('man', 'zijn')","('nsubj', 'ROOT')",124
1,"('zijn', 'klein')","('cop', 'ROOT')",994
2,"('zijn', 'lang')","('cop', 'ROOT')",255
3,"('lengte', 'hebben')","('obj', 'ROOT')",7
4,"('moeder', 'zeggen')","('nsubj', 'ROOT')",731
5,"('hipkip', 'kip')","('nsubj', 'ROOT')",2
6,"('zijn', 'kip')","('cop', 'ROOT')",16
7,"('hippe', 'kip')","('amod', 'ROOT')",1
8,"('hop', 'zeggen')","('obj', 'ROOT')",1
9,"('staart', 'hebben')","('obj', 'ROOT')",243
10,"('zijn', 'dier')","('cop', 'ROOT')",865
11,"('raar', 'dier')","('amod', 'ROOT')",2
12,"('eigenschap', 'hebben')","('obj', 'ROOT')",4
13,"('vlees', 'eten')","('obj', 'ROOT')",81
14,"('zijn', 'morsdood')","('cop', 'ROOT')",3
15,"('PowerPoint', 'maken')","('obj', 'ROOT')",2
16,"('cadeaut', 'kopen')","('obj', 'xcomp')",7
17,"('panty', 'kopen')","('obj', 'ROOT')",1
18,"('onderbroe', 'kopen')","('nsubj', 'ROOT')",1
19,"('groot', 'markt')","('amod', 'nmod')",1
20,"('cadeau', 'kopen')","('obj', 'ROOT')",24
21,"('zijn', 'dag')","('cop', 'ROOT')",717
22,"('vrij', 'dag')","('amod', 'ROOT')",2
23,"('tijger', 'irritant')","('nsubj', 'xcomp')",1
24,"('klein', 'hok')","('amod', 'obl')",462
25,"('plezier', 'hebben')","('obj', 'conj')",74
26,"('tijger', 'horen')","('nsubj', 'ROOT')",12
27,"('Vogels', 'werken')","('nsubj', 'ROOT')",7
28,"('vogel', 'maken')","('nsubj', 'ROOT')",272
29,"('nest', 'maken')","('obj', 'ROOT')",205
30,"('vliegtuig', 'hebben')","('nsubj', 'conj')",170
31,"('kilo', 'hebben')","('obj', 'conj')",2
32,"('tv-kijken', 'vinden')","('obj', 'ROOT')",37
33,"('spel', 'doen')","('obj', 'ROOT')",181
34,"('zelfverzonnen', 'spel')","('amod', 'obj')",1
35,"('zijn', 'hond')","('cop', 'ROOT')",574
36,"('boek', 'lezen')","('obj', 'conj')",58
37,"('zijn', 'superfijn')","('cop', 'ROOT')",6
38,"('zijn', 'buitenkind')","('cop', 'ROOT')",4
39,"('tip', 'geven')","('obj', 'xcomp')",65
40,"('Tip', 'denken')","('nsubj', 'ROOT')",3
41,"('titel', 'doen')","('obj', 'ROOT')",1
42,"('miljarde', 'soort')","('amod', 'nsubj')",1
43,"('soort', 'hebben')","('obj', 'ROOT')",196
44,"('soort', 'zijn')","('nsubj', 'ccomp')",5
45,"('dier', 'leven')","('nsubj', 'ROOT')",192
46,"('dier', 'leven')","('nsubj', 'conj')",92
47,"('plek', 'zijn')","('nsubj', 'ROOT')",27
48,"('ander', 'land')","('amod', 'obl')",416
49,"('mens', 'hebben')","('nsubj', 'ROOT')",389
50,"('lievelingsdier/dieren', 'hebben')","('obj', 'ROOT')",1
51,"('één', 'hebben')","('obj', 'ROOT')",254
52,"('zijn', 'leuk')","('cop', 'conj')",3393
53,"('aantal', 'houden')","('obj', 'conj')",1
54,"('dier', 'zoeken')","('obj', 'ROOT')",6
55,"('ander', 'dier')","('amod', 'obj')",134
56,"('dier', 'vinden')","('nsubj', 'ccomp')",560
57,"('hokk', 'hebben')","('obj', 'ROOT')",115
58,"('schoon', 'hokk')","('amod', 'obj')",5
59,"('gelijk', 'hebben')","('obj', 'ROOT')",310
60,"('taalles', 'krijgen')","('obj', 'ROOT')",1
61,"('zijn', 'goed')","('cop', 'ROOT')",3452
62,"('smstaal', 'beperken')","('obj', 'ROOT')",1
63,"('leven', 'schrijven')","('obj', 'ROOT')",3
64,"('heel', 'leven')","('amod', 'obj')",73
65,"('zijn', 'keuze')","('cop', 'ROOT')",39
66,"('smstaal', 'gebruiken')","('obj', 'xcomp')",9
67,"('eigen', 'schuld')","('amod', 'parataxis')",8
68,"('ongeluk', 'gebeuren')","('nsubj', 'ROOT')",58
69,"('dug-out', 'inzakken')","('nsubj', 'ROOT')",1
70,"('kind', 'raken')","('nsubj', 'ROOT')",41
71,"('meisje', 'overlijden')","('nsubj', 'ROOT')",2
72,"('meisje', 'liggen')","('nsubj', 'conj')",1
73,"('ander', 'meisje')","('amod', 'nsubj')",31
74,"('kind', 'zitten')","('nsubj', 'ROOT')",270
75,"('ander', 'lichtgewond')","('nsubj', 'ROOT')",1
76,"('zijn', 'lichtgewond')","('cop', 'ROOT')",3
77,"('jaarlijks', 'kampioenschap')","('amod', 'nmod')",1
78,"('Fries', 'kampioenschap')","('amod', 'nmod')",1
79,"('speciaal', 'informatienummer')","('amod', 'nsubj:pass')",1
80,"('politie', 'doen')","('nsubj', 'ROOT')",7
81,"('onderzoek', 'doen')","('obj', 'ROOT')",15
82,"('hond', 'blaffen')","('nsubj', 'ROOT')",497
83,"('waakhond', 'zijn')","('nsubj', 'conj')",3
84,"('huisdier', 'hebben')","('obj', 'ROOT')",106
85,"('blindengeleidehonden', 'helpen')","('nsubj', 'ROOT')",2
86,"('mens', 'helpen')","('obj', 'ROOT')",119
87,"('blind', 'mens')","('amod', 'obj')",39
88,"('Honden', 'druk')","('nsubj', 'ROOT')",2
89,"('zijn', 'druk')","('cop', 'ROOT')",342
90,"('dier', 'vrij')","('nsubj', 'conj')",30
91,"('zijn', 'vrij')","('cop', 'conj')",160
92,"('voedsel', 'krijgen')","('obj', 'ROOT')",59
93,"('dier', 'weten')","('nsubj', 'ROOT')",34
94,"('dieren', 'nodig')","('nsubj', 'ROOT')",12
95,"('ruimte', 'nodig')","('obj', 'ROOT')",8
96,"('ruimte', 'hebben')","('obj', 'conj')",219
97,"('paard', 'mogen')","('nsubj', 'conj')",1
98,"('mening', 'laten')","('nsubj', 'ROOT')",3
99,"('zijn', 'laten')","('cop', 'ROOT')",64
100,"('dier', 'laten')","('obj', 'ROOT')",64
101,"('Alex', 'jongen')","('nsubj', 'ROOT')",1
102,"('zijn', 'jongen')","('cop', 'ROOT')",251
103,"('zeventienjarig', 'jongen')","('amod', 'ROOT')",1
104,"('brommerexam', 'halen')","('obj', 'ROOT')",2
105,"('Alex', 'zitten')","('nsubj', 'ROOT')",3
106,"('koe', 'willen')","('obj', 'ROOT')",2
107,"('koei', 'kijken')","('nsubj', 'ROOT')",1
108,"('boer', 'komen')","('nsubj', 'ROOT')",10
109,"('boer', 'zeggen')","('nsubj', 'ROOT')",7
110,"('stuk', 'rijden')","('obj', 'ROOT')",10
111,"('voet', 'zet')","('obj', 'ROOT')",3
112,"('gas', 'gaan')","('obj', 'ROOT')",1
113,"('vol', 'gas')","('amod', 'obj')",2
114,"('boer', 'overeenkomen')","('nsubj', 'ROOT')",1
115,"('jongen', 'zien')","('obj', 'ROOT')",47
116,"('vol', 'gas')","('amod', 'obl')",1
117,"('boer', 'rent')","('nsubj', 'ROOT')",1
118,"('ernaartoe', 'rent')","('obj', 'ROOT')",1
119,"('jongen', 'zien')","('obj', 'conj')",19
120,"('jongen', 'staan')","('nsubj', 'ROOT')",26
121,"('gezicht', 'zitten')","('nsubj', 'conj')",1
122,"('hond', 'vinden')","('obj', 'ROOT')",3491
123,"('hond', 'bijten')","('nsubj', 'ccomp')",11
124,"('hond', 'zien')","('obj', 'conj')",65
125,"('zijn', 'zien')","('cop', 'conj')",29
126,"('ananas', 'leggen')","('obj', 'ROOT')",41
127,"('kaas', 'Leg')","('obj', 'ROOT')",11
128,"('boter', 'doe')","('obj', 'ROOT')",80
129,"('Erna', 'smelten')","('nsubj', 'ROOT')",1
130,"('boter', 'smelten')","('obj', 'ROOT')",2
131,"('deksel', 'Leg')","('obj', 'ROOT')",41
132,"('brood', 'klaar')","('nsubj', 'xcomp')",1
133,"('zijn', 'klaar')","('cop', 'xcomp')",98
134,"('kinder', 'pakken')","('nsubj', 'conj')",1
135,"('zijn', 'verhaal')","('cop', 'ROOT')",1016
136,"('dierentuin', 'leuk')","('nsubj', 'ROOT')",84
137,"('zijn', 'leuk')","('cop', 'ROOT')",12578
138,"('zijn', 'overdreven')","('cop', 'conj')",15
139,"('klein', 'hokk')","('amod', 'conj')",14
140,"('hokk', 'zijn')","('nsubj', 'conj')",3
141,"('klein', 'hokk')","('amod', 'nsubj')",14
142,"('zijn', 'superklein')","('cop', 'conj')",4
143,"('hokk', 'superklein')","('nsubj', 'conj')",2
144,"('zijn', 'zielig')","('cop', 'conj')",500
145,"('zijn', 'zielig')","('cop', 'ROOT')",1518
146,"('sneeuw', 'liggen')","('nsubj', 'ROOT')",41
147,"('sneeuwpop', 'maken')","('obj', 'conj')",35
148,"('bloemet', 'bloeien')","('obj', 'ROOT')",1
149,"('mooi', 'bloemet')","('amod', 'obj')",1
150,"('jong', 'dier')","('amod', 'nsubj:pass')",12
151,"('zijn', 'bloedheet')","('cop', 'ROOT')",6
152,"('plas', 'liggen')","('nsubj', 'ROOT')",20
153,"('Wim', 'vallen')","('nsubj', 'ROOT')",46
154,"('Wim', 'zeggen')","('nsubj', 'ROOT')",272
155,"('scheur', 'hebben')","('obj', 'ROOT')",62
156,"('zijn', 'nat')","('cop', 'conj')",113
157,"('schoen', 'nat')","('nsubj', 'conj')",13
158,"('Wim', 'fietsen')","('nsubj', 'ROOT')",156
159,"('schoen', 'drogen')","('obj', 'ROOT')",2
160,"('Wim', 'hebben')","('nsubj', 'ROOT')",62
