pos1,pos2,freq
ADV,VERB,170674
VERB,ADV,122633
ADV,DET,60886
DET,NOUN,485348
NOUN,CCONJ,128214
CCONJ,PRON,151716
PRON,VERB,319195
VERB,ADJ,34196
ADJ,PUNCT,107176
PRON,AUX,194162
AUX,ADV,90263
ADV,ADP,91206
ADP,VERB,80096
VERB,CCONJ,106588
CCONJ,ADV,92105
ADV,PUNCT,76365
ADV,ADV,130806
ADV,ADJ,119940
AUX,ADJ,61492
ADJ,ADJ,67539
VERB,DET,69737
NOUN,ADP,153052
ADP,ADV,12242
ADV,NUM,11583
NUM,SYM,1879
VERB,PRON,219611
PRON,ADP,91195
ADP,PRON,84227
PRON,NOUN,125070
PRON,ADV,154126
ADV,PRON,42787
VERB,ADP,113151
NOUN,PUNCT,277860
AUX,PRON,110222
ADP,DET,218268
VERB,PUNCT,250465
NOUN,VERB,230414
VERB,INTJ,1601
INTJ,PRON,3994
ADJ,VERB,55649
NOUN,AUX,104101
AUX,DET,39578
DET,ADJ,80927
ADJ,NOUN,117244
NOUN,NOUN,34982
NOUN,ADV,71819
ADV,NOUN,32703
ADJ,DET,12410
CCONJ,DET,49836
VERB,NUM,5203
NUM,NOUN,37038
NOUN,DET,16120
CCONJ,VERB,45872
ADV,AUX,60463
PRON,DET,46728
DET,SYM,1993
SYM,SYM,8723
SYM,PROPN,1394
PROPN,PUNCT,65381
ADP,NUM,11748
ADP,PUNCT,42957
VERB,VERB,53636
PUNCT,ADP,5041
ADP,PROPN,37956
PROPN,PROPN,23987
DET,PROPN,14972
PROPN,VERB,38509
PUNCT,ADV,9273
VERB,NOUN,40072
PROPN,AUX,21153
AUX,PUNCT,24964
PRON,PUNCT,27252
AUX,ADP,27669
PRON,ADJ,86402
ADJ,ADV,24499
VERB,SCONJ,43634
SCONJ,DET,21871
NOUN,PRON,29173
SCONJ,PRON,112939
ADJ,SCONJ,19318
ADP,ADJ,14787
AUX,VERB,64483
CCONJ,ADP,35187
ADP,NOUN,94325
CCONJ,NOUN,53259
PRON,PRON,65319
ADJ,CCONJ,46668
ADJ,ADP,57437
ADV,CCONJ,14314
NOUN,NUM,14237
VERB,SYM,1398
SYM,ADJ,767
PROPN,DET,3898
SYM,NOUN,2412
SYM,SCONJ,148
NOUN,SCONJ,12505
SCONJ,ADJ,2693
SYM,VERB,2226
PUNCT,VERB,18702
PUNCT,CCONJ,22116
PUNCT,NOUN,21871
CCONJ,CCONJ,1273
CCONJ,PUNCT,3660
PRON,SCONJ,6507
SCONJ,ADV,9062
NOUN,ADJ,37796
ADP,ADP,39878
SCONJ,NUM,752
NUM,PUNCT,12842
PUNCT,NUM,2859
DET,ADV,3776
NUM,CCONJ,4194
SCONJ,PROPN,3960
ADJ,PRON,7845
SCONJ,SCONJ,2616
CCONJ,SCONJ,26368
AUX,NOUN,18637
PRON,CCONJ,9030
VERB,AUX,27534
AUX,SCONJ,5404
NOUN,PROPN,12432
PUNCT,PUNCT,15621
SCONJ,CCONJ,226
NUM,PROPN,3206
PROPN,ADP,12897
ADJ,AUX,32137
DET,VERB,13334
ADV,SCONJ,15838
SCONJ,NOUN,15117
AUX,CCONJ,10870
CCONJ,AUX,6612
ADV,SYM,1237
VERB,PROPN,23820
PROPN,CCONJ,26075
ADP,CCONJ,18449
DET,PRON,3288
AUX,PROPN,8603
CCONJ,PROPN,20565
PRON,PROPN,5403
PROPN,NOUN,5435
SCONJ,PUNCT,3249
AUX,AUX,7165
PUNCT,PROPN,13003
PUNCT,SCONJ,4522
SCONJ,VERB,2045
SCONJ,ADP,4112
NUM,VERB,5420
PUNCT,DET,5674
PROPN,NUM,3100
PUNCT,PRON,17042
PUNCT,ADJ,6283
INTJ,INTJ,2213
NUM,ADJ,1885
CCONJ,NUM,4637
ADP,AUX,11278
INTJ,ADV,1918
CCONJ,ADJ,23262
CCONJ,INTJ,1754
ADP,SYM,2135
PUNCT,SYM,4197
SYM,PUNCT,9324
NUM,NUM,1037
ADV,PROPN,3900
PROPN,ADJ,3863
PROPN,ADV,6659
ADJ,NUM,1799
NUM,ADV,2235
NOUN,SYM,3518
SYM,INTJ,824
INTJ,PUNCT,9013
PROPN,SYM,2133
PRON,SYM,1169
SYM,ADP,1498
SYM,ADV,797
ADJ,PROPN,2866
ADP,SCONJ,4028
INTJ,VERB,2151
PRON,NUM,5320
ADV,INTJ,1486
DET,ADP,1246
ADJ,INTJ,979
DET,PUNCT,1447
NOUN,X,430
NUM,DET,1461
DET,DET,1940
DET,NUM,3336
SYM,CCONJ,3056
PUNCT,AUX,3008
NUM,ADP,4371
NUM,PRON,683
PRON,INTJ,451
INTJ,SCONJ,367
INTJ,SYM,752
PROPN,PRON,4287
ADP,INTJ,251
NUM,INTJ,31
AUX,NUM,5762
ADP,X,123
X,ADP,110
INTJ,ADJ,973
INTJ,NUM,57
VERB,X,348
X,NUM,87
X,PRON,61
ADJ,SYM,843
NUM,AUX,2456
AUX,SYM,504
SYM,NUM,448
SYM,AUX,389
INTJ,PROPN,604
SYM,DET,394
AUX,INTJ,155
INTJ,NOUN,1185
INTJ,CCONJ,1396
SCONJ,AUX,634
CCONJ,SYM,1242
PROPN,SCONJ,1155
X,DET,141
NUM,X,60
NUM,SCONJ,248
PUNCT,INTJ,2692
PUNCT,X,238
X,CCONJ,121
ADV,X,105
X,PUNCT,280
NOUN,INTJ,700
INTJ,ADP,376
SYM,PRON,517
DET,CCONJ,370
DET,AUX,297
X,SYM,100
INTJ,DET,454
INTJ,AUX,201
CCONJ,X,101
X,SCONJ,32
X,PROPN,94
X,NOUN,174
SCONJ,SYM,407
PROPN,INTJ,158
X,VERB,116
PRON,X,161
X,X,48
DET,SCONJ,53
ADJ,X,66
X,ADV,93
SCONJ,X,68
DET,INTJ,77
SCONJ,INTJ,80
X,ADJ,37
AUX,X,63
SYM,X,33
