pos1,pos2,pos3,freq
ADV,VERB,ADV,14931
VERB,ADV,DET,17685
ADV,DET,NOUN,47324
DET,NOUN,CCONJ,48378
NOUN,CCONJ,PRON,28514
CCONJ,PRON,VERB,71189
PRON,VERB,ADJ,17837
VERB,ADJ,PUNCT,5299
PRON,AUX,ADV,58452
AUX,ADV,ADP,8167
ADV,ADP,VERB,10537
ADP,VERB,CCONJ,13688
VERB,CCONJ,ADV,20645
CCONJ,ADV,PUNCT,3234
CCONJ,PRON,AUX,59130
AUX,ADV,ADV,21278
ADV,ADV,ADV,22205
ADV,ADV,ADJ,24063
ADV,ADJ,PUNCT,29163
PRON,AUX,ADJ,37224
AUX,ADJ,ADJ,15967
ADJ,ADJ,ADJ,7902
ADJ,ADJ,PUNCT,20056
PRON,VERB,DET,28045
VERB,DET,NOUN,55524
DET,NOUN,ADP,74837
NOUN,ADP,ADV,2328
ADP,ADV,NUM,346
ADV,NUM,SYM,239
ADV,VERB,PRON,73210
VERB,PRON,ADP,35553
PRON,ADP,PRON,12813
ADP,PRON,NOUN,45091
PRON,NOUN,CCONJ,16170
PRON,VERB,PRON,56686
VERB,PRON,ADV,59596
PRON,ADV,ADJ,32918
ADV,PRON,VERB,11727
PRON,VERB,ADP,46214
VERB,ADP,PRON,17253
PRON,NOUN,PUNCT,27798
AUX,PRON,ADV,33945
PRON,ADV,ADP,21903
ADV,ADP,DET,28035
ADP,DET,NOUN,178054
NOUN,ADP,PRON,17764
PRON,NOUN,ADP,13763
NOUN,ADP,VERB,19460
ADP,VERB,PUNCT,36698
PRON,NOUN,VERB,31148
NOUN,VERB,INTJ,361
VERB,INTJ,PRON,131
INTJ,PRON,VERB,1968
PRON,VERB,ADV,62026
VERB,ADV,PUNCT,8854
AUX,ADV,ADJ,27367
ADV,ADJ,VERB,13698
ADJ,VERB,PUNCT,20369
DET,NOUN,AUX,49406
NOUN,AUX,DET,6820
AUX,DET,ADJ,8926
DET,ADJ,ADJ,7024
ADJ,ADJ,NOUN,10118
ADJ,NOUN,PUNCT,37712
