pos1,pos2,freq
NOUN,AUX,46836
AUX,ADP,16902
ADP,NOUN,51380
NOUN,DET,15490
DET,PROPN,18707
PROPN,VERB,25343
VERB,VERB,28700
VERB,PRON,136385
PRON,ADP,54399
ADP,INTJ,17927
INTJ,INTJ,47007
INTJ,ADP,18633
ADP,DET,168444
DET,NOUN,289273
NOUN,ADP,134844
NOUN,PUNCT,157008
NOUN,VERB,103023
VERB,PUNCT,137993
AUX,SCONJ,6554
SCONJ,ADJ,2922
ADJ,NOUN,99554
AUX,DET,24340
INTJ,PUNCT,132343
ADV,PRON,48693
PRON,VERB,171173
ADP,CCONJ,6829
CCONJ,ADJ,10225
ADJ,PUNCT,54692
CCONJ,INTJ,22184
INTJ,PRON,51580
PRON,AUX,120414
AUX,ADV,62667
ADV,NOUN,21564
VERB,CCONJ,35036
INTJ,ADV,42590
ADV,VERB,114691
VERB,ADV,86044
ADV,DET,57135
NOUN,ADV,54161
CCONJ,PRON,65260
PRON,ADV,146946
ADV,ADV,162698
ADV,SCONJ,16947
SCONJ,INTJ,10047
ADV,AUX,46023
AUX,PRON,83882
PRON,PRON,63380
PRON,ADJ,47572
ADJ,ADV,31250
INTJ,VERB,18670
VERB,INTJ,15978
ADV,ADP,81724
ADJ,NUM,3497
NUM,PUNCT,6044
DET,ADP,2906
INTJ,SYM,18922
SYM,INTJ,12740
NOUN,CCONJ,41069
CCONJ,VERB,11175
PUNCT,SYM,20572
SYM,ADV,9096
ADV,ADJ,78804
ADJ,CCONJ,12667
PRON,CCONJ,4326
CCONJ,ADV,56864
INTJ,NOUN,22022
NOUN,INTJ,18296
INTJ,NUM,2739
NUM,NUM,6145
NUM,NOUN,27575
ADV,PUNCT,76008
NOUN,NOUN,27299
ADV,CCONJ,10869
DET,ADJ,73861
CCONJ,SYM,1780
SYM,ADP,2613
CCONJ,ADP,12368
ADP,PRON,57446
SCONJ,DET,15285
DET,PRON,3868
PRON,INTJ,17384
SYM,VERB,11391
SCONJ,PRON,66229
PROPN,AUX,14741
AUX,INTJ,6459
VERB,ADP,64244
DET,INTJ,13004
PROPN,ADP,13529
ADP,VERB,49113
ADV,INTJ,39915
INTJ,AUX,7105
ADJ,PRON,8428
X,X,1888
ADP,ADJ,15070
AUX,VERB,36818
INTJ,SCONJ,6937
INTJ,ADJ,18103
VERB,AUX,18486
VERB,NOUN,21080
AUX,PUNCT,21572
ADJ,ADJ,41383
VERB,SCONJ,30641
VERB,DET,27313
ADJ,DET,13343
INTJ,DET,14879
NOUN,PROPN,15313
DET,DET,8743
NUM,INTJ,1240
SYM,SYM,13439
ADV,NUM,8435
NUM,PRON,616
AUX,PROPN,4282
PROPN,CCONJ,12422
VERB,ADJ,16638
ADP,PUNCT,24816
SCONJ,SCONJ,3697
SCONJ,PROPN,4154
PROPN,DET,13848
NOUN,PRON,29554
PRON,NOUN,45948
PROPN,PROPN,36223
PROPN,INTJ,3682
PUNCT,DET,1021
CCONJ,NUM,3017
NUM,VERB,2466
VERB,PROPN,7886
PROPN,PUNCT,37863
NOUN,NUM,4392
CCONJ,DET,17493
NUM,ADJ,2628
PRON,PUNCT,26853
INTJ,CCONJ,11316
PRON,DET,27796
SYM,PRON,4162
NUM,SYM,469
AUX,CCONJ,5164
DET,ADV,7257
PRON,SCONJ,6648
ADP,ADP,25418
ADP,PROPN,39409
INTJ,PROPN,13670
ADJ,SCONJ,9266
NOUN,SYM,5832
ADP,ADV,13783
NOUN,ADJ,24735
ADJ,AUX,17769
PROPN,ADV,12119
AUX,SYM,491
SYM,DET,1699
ADJ,VERB,32276
CCONJ,AUX,3549
PUNCT,AUX,3737
SCONJ,PUNCT,2485
SYM,AUX,2865
ADJ,INTJ,12182
AUX,AUX,7272
AUX,NOUN,5030
ADJ,ADP,36083
SCONJ,AUX,765
AUX,ADJ,24699
SYM,PUNCT,15854
CCONJ,PUNCT,4230
DET,PUNCT,991
PUNCT,PRON,3649
NUM,ADP,3334
NOUN,SCONJ,12835
NUM,ADV,1222
CCONJ,SCONJ,9552
SYM,CCONJ,4246
ADP,SCONJ,4342
