pos1,pos2,pos3,freq
NOUN,AUX,ADP,3588
AUX,ADP,NOUN,1962
ADP,NOUN,DET,1133
NOUN,DET,PROPN,468
DET,PROPN,VERB,2418
PROPN,VERB,VERB,1263
VERB,VERB,PRON,4983
VERB,PRON,ADP,14116
PRON,ADP,INTJ,1788
ADP,INTJ,INTJ,1402
INTJ,INTJ,ADP,1267
INTJ,ADP,DET,7058
ADP,DET,NOUN,116257
DET,NOUN,ADP,67159
NOUN,ADP,DET,46411
DET,NOUN,PUNCT,43105
NOUN,VERB,PUNCT,28980
AUX,SCONJ,ADJ,202
SCONJ,ADJ,NOUN,978
ADJ,NOUN,VERB,14539
AUX,DET,NOUN,14876
ADV,PRON,VERB,12444
PRON,VERB,PRON,38501
INTJ,ADP,CCONJ,138
ADP,CCONJ,ADJ,107
CCONJ,ADJ,PUNCT,1261
CCONJ,INTJ,PRON,4644
INTJ,PRON,AUX,17794
PRON,AUX,ADV,40463
AUX,ADV,NOUN,2127
ADV,NOUN,VERB,3812
NOUN,VERB,CCONJ,8809
VERB,CCONJ,INTJ,2644
CCONJ,INTJ,ADV,3607
INTJ,ADV,VERB,7879
ADV,VERB,ADV,8947
VERB,ADV,DET,8784
ADV,DET,NOUN,39605
DET,NOUN,ADV,25555
NOUN,ADV,VERB,8307
ADV,VERB,PUNCT,23997
CCONJ,PRON,VERB,29139
VERB,PRON,ADV,53786
PRON,ADV,ADV,42706
ADV,ADV,VERB,21739
VERB,ADV,SCONJ,3945
ADV,SCONJ,INTJ,1360
ADV,AUX,PRON,26260
AUX,PRON,PRON,9134
PRON,PRON,ADJ,5932
PRON,ADJ,ADV,6967
ADJ,ADV,VERB,3419
INTJ,VERB,PRON,6064
VERB,PRON,VERB,5161
PRON,VERB,INTJ,5670
VERB,INTJ,PRON,1316
AUX,ADV,ADP,4905
ADV,ADP,DET,24824
DET,NOUN,AUX,21513
NOUN,AUX,PRON,8551
AUX,PRON,ADJ,9572
PRON,ADJ,NUM,253
ADJ,NUM,PUNCT,427
ADP,DET,ADP,1919
DET,ADP,DET,1845
DET,NOUN,VERB,45924
NOUN,VERB,PRON,13547
VERB,PRON,ADJ,11958
INTJ,SYM,INTJ,4240
SYM,INTJ,INTJ,1498
INTJ,INTJ,ADV,3705
INTJ,ADV,ADV,5975
DET,NOUN,CCONJ,15284
NOUN,CCONJ,VERB,2427
CCONJ,VERB,PUNCT,1035
VERB,PUNCT,SYM,6732
PUNCT,SYM,ADV,5303
SYM,ADV,ADV,2534
ADV,ADV,ADJ,20776
ADV,ADJ,CCONJ,3169
ADJ,CCONJ,PRON,2463
PRON,VERB,ADV,42484
VERB,ADV,PRON,6251
ADV,PRON,CCONJ,369
PRON,CCONJ,ADV,960
CCONJ,ADV,DET,1857
SYM,INTJ,PUNCT,4817
INTJ,NOUN,INTJ,961
NOUN,INTJ,NUM,144
INTJ,NUM,NUM,263
NUM,NUM,NOUN,1607
NUM,NOUN,CCONJ,1548
NOUN,CCONJ,ADV,9132
CCONJ,ADV,PUNCT,7757
NOUN,NOUN,PUNCT,6561
CCONJ,ADV,CCONJ,1487
ADV,CCONJ,INTJ,941
CCONJ,INTJ,ADP,896
ADP,DET,ADJ,24395
DET,ADJ,NOUN,50815
ADJ,NOUN,PUNCT,22670
CCONJ,SYM,ADP,38
SYM,ADP,DET,864
ADP,NOUN,PUNCT,10113
CCONJ,ADP,PRON,1641
ADP,PRON,AUX,3039
PRON,AUX,SCONJ,1005
AUX,SCONJ,DET,1281
SCONJ,DET,PRON,159
DET,PRON,INTJ,124
PRON,INTJ,PUNCT,1720
INTJ,PUNCT,SYM,1280
PUNCT,SYM,VERB,6510
SYM,VERB,ADV,3507
ADV,SCONJ,PRON,9160
SCONJ,PRON,ADV,18118
PRON,ADV,ADP,18372
ADP,DET,PROPN,9626
DET,PROPN,AUX,1372
PROPN,AUX,INTJ,203
AUX,INTJ,ADV,790
INTJ,ADV,SCONJ,1084
NOUN,VERB,ADP,13843
VERB,ADP,DET,25408
ADP,DET,INTJ,3565
DET,INTJ,ADP,890
DET,PROPN,ADP,1692
PROPN,ADP,VERB,1050
ADP,VERB,CCONJ,5252
VERB,CCONJ,ADV,9764
CCONJ,ADV,INTJ,3038
ADV,INTJ,AUX,944
INTJ,AUX,PRON,2874
AUX,PRON,ADV,35451
PRON,ADV,ADJ,16861
ADV,ADJ,PRON,2366
ADJ,PRON,ADP,1323
PRON,ADP,DET,16489
INTJ,PRON,VERB,21177
ADV,ADP,ADJ,2351
ADP,ADJ,NOUN,7267
ADJ,NOUN,INTJ,2378
NOUN,INTJ,VERB,1711
INTJ,VERB,PUNCT,2829
DET,ADJ,PRON,768
ADJ,PRON,PRON,1025
PRON,PRON,AUX,4512
PRON,AUX,VERB,7929
AUX,VERB,CCONJ,3401
VERB,CCONJ,PRON,8664
CCONJ,PRON,AUX,23856
PRON,AUX,PRON,22863
ADV,VERB,INTJ,2746
VERB,INTJ,SCONJ,514
INTJ,SCONJ,DET,495
SCONJ,DET,INTJ,480
DET,INTJ,ADJ,1403
INTJ,ADJ,NOUN,3257
ADJ,NOUN,AUX,7641
NOUN,AUX,VERB,11387
AUX,VERB,AUX,1140
VERB,AUX,DET,794
AUX,ADV,INTJ,2152
ADV,INTJ,VERB,2795
INTJ,VERB,NOUN,625
VERB,NOUN,AUX,1195
NOUN,AUX,PUNCT,3707
SCONJ,PRON,AUX,2023
PRON,AUX,DET,12164
INTJ,ADV,INTJ,3945
ADV,INTJ,ADV,4791
INTJ,ADV,AUX,4511
PRON,PRON,ADV,18029
VERB,ADV,PUNCT,8985
ADV,INTJ,NOUN,1966
INTJ,NOUN,CCONJ,1343
NOUN,CCONJ,INTJ,2462
CCONJ,INTJ,ADJ,842
INTJ,ADJ,ADJ,1951
ADJ,ADJ,CCONJ,1894
ADJ,CCONJ,VERB,630
CCONJ,VERB,SCONJ,427
VERB,SCONJ,PRON,15076
SCONJ,PRON,PRON,10880
PRON,PRON,ADP,6381
PRON,ADP,VERB,5937
ADP,VERB,PUNCT,20402
NOUN,ADP,INTJ,3937
ADP,INTJ,ADV,1244
ADV,VERB,DET,5201
VERB,DET,NOUN,18993
CCONJ,ADJ,DET,339
ADJ,DET,INTJ,484
DET,INTJ,DET,2008
INTJ,DET,NOUN,9567
DET,NOUN,PROPN,4519
VERB,ADV,ADV,22559
ADV,ADV,ADV,31591
PRON,VERB,DET,9668
VERB,DET,INTJ,609
DET,INTJ,NOUN,3529
INTJ,NOUN,ADP,3263
ADP,DET,DET,780
DET,DET,NOUN,4852
DET,INTJ,NUM,152
INTJ,NUM,INTJ,161
NUM,INTJ,DET,77
DET,NOUN,DET,7381
NOUN,DET,NOUN,10469
NOUN,ADP,NOUN,15391
NOUN,CCONJ,SYM,235
CCONJ,SYM,SYM,293
SYM,SYM,INTJ,1176
INTJ,INTJ,PUNCT,17081
CCONJ,ADV,ADV,4766
ADV,ADV,NUM,2149
ADV,NUM,PRON,100
NUM,PRON,PRON,54
PRON,PRON,INTJ,1524
PRON,INTJ,NOUN,1247
INTJ,NOUN,VERB,2580
NOUN,VERB,AUX,3514
VERB,AUX,INTJ,415
AUX,INTJ,VERB,529
VERB,ADV,ADJ,7130
ADV,AUX,INTJ,353
AUX,INTJ,AUX,242
INTJ,AUX,PROPN,106
AUX,PROPN,CCONJ,229
PROPN,CCONJ,INTJ,729
CCONJ,INTJ,AUX,292
INTJ,AUX,ADV,1213
AUX,ADV,VERB,6014
ADV,VERB,ADJ,1503
VERB,ADJ,PUNCT,2394
CCONJ,PRON,PRON,2451
PRON,PRON,VERB,13058
PRON,VERB,ADJ,8238
PRON,VERB,VERB,4972
VERB,VERB,PUNCT,8604
VERB,ADV,ADP,11337
ADV,ADP,PUNCT,7286
INTJ,SCONJ,SCONJ,191
SCONJ,SCONJ,PROPN,110
SCONJ,PROPN,DET,267
PROPN,DET,NOUN,3116
DET,NOUN,PRON,13510
NOUN,PRON,PRON,5266
AUX,PRON,NOUN,3015
PRON,NOUN,VERB,9629
ADV,AUX,ADV,3918
AUX,ADV,PRON,2912
ADV,PRON,INTJ,1457
PRON,INTJ,ADV,1657
INTJ,ADV,NOUN,1100
ADV,NOUN,PUNCT,3654
INTJ,INTJ,DET,1264
INTJ,DET,INTJ,686
DET,INTJ,PRON,821
INTJ,PRON,INTJ,1332
PRON,INTJ,VERB,1677
VERB,PRON,NOUN,5227
PRON,NOUN,INTJ,944
NOUN,INTJ,INTJ,1356
INTJ,DET,PROPN,564
DET,PROPN,PROPN,3995
PROPN,PROPN,PROPN,8595
PROPN,PROPN,INTJ,609
PROPN,INTJ,PUNCT,942
INTJ,PUNCT,DET,157
PUNCT,DET,NOUN,765
DET,NOUN,NOUN,13229
PRON,AUX,ADP,6304
AUX,ADP,DET,6735
NOUN,DET,ADJ,2758
CCONJ,NUM,VERB,183
NUM,VERB,PROPN,50
VERB,PROPN,PROPN,1021
PROPN,PROPN,PUNCT,7669
ADV,PRON,PRON,4433
PRON,ADV,NUM,1277
ADV,NUM,NOUN,4927
NUM,NOUN,NOUN,1682
NOUN,NOUN,NUM,210
NOUN,NUM,INTJ,84
NUM,INTJ,NOUN,245
INTJ,NOUN,NUM,135
NOUN,NUM,PRON,57
NUM,PRON,AUX,119
AUX,ADV,ADJ,11683
ADV,ADJ,NOUN,5901
CCONJ,DET,NOUN,11347
ADV,DET,PRON,380
DET,PRON,ADJ,415
PRON,ADJ,ADJ,5592
ADJ,ADJ,NOUN,9376
ADV,NUM,INTJ,197
INTJ,NOUN,ADV,1320
NOUN,ADV,PUNCT,6641
INTJ,INTJ,INTJ,8669
AUX,PRON,AUX,1903
PRON,AUX,INTJ,3828
AUX,INTJ,NUM,104
INTJ,NUM,ADJ,93
NUM,ADJ,PUNCT,331
ADV,INTJ,PRON,3930
INTJ,PRON,PUNCT,941
INTJ,CCONJ,PRON,4090
CCONJ,PRON,DET,443
PRON,DET,NOUN,18947
NOUN,ADP,CCONJ,2175
ADP,CCONJ,DET,320
NOUN,CCONJ,DET,4883
NOUN,ADP,PUNCT,6782
SYM,PRON,INTJ,111
PRON,INTJ,SYM,1583
AUX,PRON,VERB,7797
INTJ,NOUN,PUNCT,5360
AUX,ADV,ADV,20165
ADV,NUM,SYM,49
NUM,SYM,INTJ,78
SYM,INTJ,NUM,51
INTJ,NUM,VERB,68
NUM,VERB,CCONJ,169
ADV,VERB,AUX,3600
VERB,AUX,CCONJ,1335
AUX,CCONJ,PRON,1346
DET,PROPN,PUNCT,3300
ADV,PRON,AUX,8697
AUX,ADV,DET,7297
ADV,DET,ADV,389
DET,ADV,AUX,87
ADV,AUX,VERB,4960
AUX,VERB,ADP,6186
NOUN,CCONJ,PRON,7233
ADV,VERB,PRON,40238
VERB,PRON,SCONJ,2336
PRON,SCONJ,PRON,3090
VERB,ADP,INTJ,3485
ADP,INTJ,NOUN,1883
NOUN,ADP,ADP,6559
ADP,ADP,VERB,8815
DET,NOUN,INTJ,7090
NOUN,INTJ,AUX,508
PRON,ADV,INTJ,5659
INTJ,AUX,VERB,633
AUX,VERB,PUNCT,13805
INTJ,ADP,PROPN,1627
ADP,PROPN,PROPN,6187
PROPN,PROPN,DET,1008
PROPN,DET,ADV,3536
PROPN,DET,DET,1350
DET,DET,ADJ,1540
DET,ADJ,ADJ,6808
ADJ,NOUN,ADP,20430
