lemma1,lemma2,freq
game,be,62
coming,weekend,2
new,ish,1
I,do,954
you,like,444
that,be,3169
which,be,1104
it,be,9743
annual,award,3
good,variable,1
finalist,announce,1
one,be,467
I,finish,81
little,while,24
who,be,814
you,be,2840
listing,receive,1
global,attention,1
buyer,show,1
board,appear,1
late,year,2
past,year,117
they,be,1836
neither,be,10
last,novel,3
bad,novel,1
that,happen,134
independent,college,1
young,people,84
opinion,have,2
many,opinion,2
contradictory,opinion,1
little,life,35
I,intrigue,1
much,recognition,2
Sniles,be,1
bet,be,5
Johnson,write,1
satirical,edge,1
first,novel,9
he,take,123
researcher,establish,1
many,year,100
subset,be,1
small,subset,1
mental,illness,17
violent,act,2
we,agree,36
I,understand,259
road,win,1
we,argue,4
novel,be,16
love,be,23
bizarre,choice,1
Souls,have,1
beautiful,writing,4
I,hate,102
I,read,419
I,enjoy,248
I,be,5165
I,say,801
this,lead,21
other,work,15
I,agree,194
other,reason,16
it,have,417
we,reopen,1
flower,bloom,2
River,show,1
I,feel,648
unit,show,1
that,turn,19
account,be,9
long,list,15
lovely,prose,2
I,love,965
it,deserve,16
I,believe,390
top,fave,1
this,surprise,2
I,hear,333
she,have,291
new,book,21
world,go,6
I,think,2613
you,refer,24
old,work,3
I,have,2913
such,wit,1
Yanagihara,do,2
I,put,150
People,be,35
it,receive,9
much,attention,19
different,reason,7
he,say,990
Gilbert,seem,1
he,want,135
book,live,1
immense,talent,2
own,indecision,1
it,find,14
article,be,54
easy,bit,2
first,form,1
common,word,5
book,sound,3
I,go,1024
library,have,2
I,give,234
you,have,2435
much,publicity,1
River,be,2
I,mention,88
many,contender,2
other,contender,2
worthy,contender,1
I,know,1607
everyone,come,3
it,provide,40
few,answer,1
deep,perspective,1
new,way,32
today,be,43
first,day,51
he,send,25
that,have,233
I,shake,9
latter,part,4
that,sustain,4
exceptional,novel,1
I,receive,106
I,start,291
you,know,1015
it,get,163
this,be,3019
rough,book,1
novel,need,1
next,novel,2
least,story,1
short,story,50
money,be,32
well,man,8
I,make,407
it,page,1
I,remember,208
Driftless,come,1
he,be,1840
one,draw,1
favorable,comparison,1
Driftless,be,1
he,publish,5
discussant,like,1
several,discussant,1
I,buy,150
first,edition,16
I,get,1187
which,compel,1
winner,be,25
I,subscribe,18
I,pass,27
these,be,261
great,selection,6
I,see,995
I,use,620
4th,grader,2
they,like,61
I,hope,564
you,happen,27
I,wonder,285
Goldfinch,fare,1
many,try,2
Justin,serenade,1
I,like,870
popular,song,4
those,be,97
who,hate,8
they,feel,72
same,time,244
small,age,1
I,appreciate,131
wonderful,artist,2
Omnilert,post,1
user,revoke,1
access,revoke,1
who,authorize,2
access,token,1
system,log,1
life,take,5
book,deal,1
important,theme,1
american,theme,6
important,way,2
NBA,seem,1
that,do,60
@JohnZ,doubt,1
I,doubt,53
standard,be,22
you,disagree,5
you,appreciate,21
you,believe,94
good,fiction,1
country,produce,1
next,book,6
free,version,12
late,version,15
@BRAKiasaurus,be,2
who,love,50
good,novel,9
Flamethrowers,be,2
I,base,4
book,be,88
only,book,3
I,question,5
great,book,7
reason,be,101
that,say,102
other,novel,1
it,appear,157
you,prefer,26
anyone,be,40
who,deny,5
she,live,21
@ey814,agree,1
I,assume,76
list,be,39
@edpark,@marybethke,1
novel,queue,1
last,year,394
last,flight,1
which,captivate,1
Tournament,be,1
House,go,3
intense,year,1
board,be,3
I,realize,140
TOB,be,2
statistical,model,1
winner,win,1
I,look,432
1st,printing,3
past,week,49
few,week,123
last,week,178
we,have,1451
I,push,19
Pulitzer,be,1
tinker,have,1
print,run,1
small,print,4
reader,know,9
few,reader,1
popular,book,3
popular,fiction,4
',be,1
it,',1
great,year,8
it,hypocrisy,1
many,book,11
high,quality,92
that,mean,144
opinion,change,1
low,milk,1
fat,milk,2
other,legume,1
@EdParks,go,1
I,discover,139
feeling,might,1
some,include,9
great,folk,1
great,@grahammyer,1
it,win,12
divide,grow,1
racial,divide,1
internet,illuminate,1
some,ignore,1
violent,opportunity,1
we,consider,37
issue,persist,1
what,belong,2
more,thing,22
intact,hype,1
Messenger,be,1
other,smartphone,2
Viddiflash,use,1
you,keep,98
close,friend,27
I,continue,55
agent,be,4
funny,note,1
other,none,7
Proulx,have,1
new,novel,3
I,live,120
who,blog,3
you,describe,16
I,pull,38
half,way,18
Foods,make,1
anyone,read,10
I,type,13
I,rely,6
several,trip,1
you,list,8
you,want,972
numeric,id,1
you,use,373
they,disappear,5
I,forget,93
what,happen,336
I,blank,1
thing,be,440
great,drama,1
we,know,362
drama,involve,1
good,drama,1
large,man,1
angry,man,5
giant,opera,1
that,involve,30
oblong,ball,1
more,use,3
you,get,955
such,complexity,1
emotional,complexity,1
middle,school,20
you,find,521
this,happen,105
I,want,1068
library,be,5
close,library,1
I,purchase,20
what,appear,17
unread,copy,1
new,copy,2
first,printing,11
Nguyen,write,1
sharp,eye,2
human,being,65
extraordinary,circumstance,1
three,be,16
it,surprise,7
much,time,68
we,deliver,14
Cub,work,1
full,time,112
active,life,5
social,life,5
I,happen,20
friend,read,2
collection,be,13
good,review,11
he,continue,25
such,book,1
beautiful,book,2
each,feature,1
Marra,win,2
major,award,1
I,google,9
what,pop,1
’ve,remember,1
great,collection,3
I,expect,124
new,board,2
you,wait,34
contender,come,1
Sellout,be,3
sharp,satire,1
Beatty,walk,1
outrageous,hilarity,1
that,run,41
comic,novel,2
jury,go,1
who,know,138
anyone,have,39
specific,book,2
he,think,118
that,win,20
we,see,370
fine,novel,2
beautiful,prose,1
it,lack,7
Pulitzer,award,1
you,include,19
you,drink,15
small,amount,20
large,amount,27
