pos1,pos2,freq
ADP,NOUN,6
NOUN,ADP,13
ADP,DET,16
DET,ADJ,9
ADJ,NOUN,13
NOUN,PART,2
PART,PROPN,2
PROPN,CCONJ,2
CCONJ,PROPN,4
PROPN,NOUN,4
NOUN,ADV,3
ADV,AUX,2
AUX,DET,2
DET,NOUN,24
NOUN,ADJ,1
ADJ,PUNCT,10
PUNCT,NOUN,2
NOUN,NOUN,4
NOUN,PRON,4
PRON,PRON,2
PRON,AUX,12
AUX,VERB,12
VERB,PUNCT,8
PRON,ADV,2
ADV,VERB,5
VERB,DET,7
NOUN,NUM,1
NUM,NOUN,5
NOUN,CCONJ,8
CCONJ,VERB,2
VERB,SCONJ,1
SCONJ,PRON,3
VERB,NUM,2
NUM,ADP,1
ADP,PRON,3
PRON,NOUN,2
NOUN,PUNCT,18
PRON,VERB,5
VERB,PART,3
PART,VERB,4
PUNCT,PRON,3
AUX,PART,6
PROPN,PUNCT,7
PUNCT,ADV,4
ADV,INTJ,1
INTJ,VERB,2
VERB,PRON,5
PRON,DET,3
PROPN,PROPN,3
NOUN,AUX,9
VERB,ADP,8
PART,DET,1
ADJ,ADP,5
X,PUNCT,2
AUX,ADJ,6
PART,AUX,4
ADP,CCONJ,1
CCONJ,NOUN,3
NOUN,VERB,4
PART,ADV,1
ADV,ADJ,6
ADV,CCONJ,1
CCONJ,AUX,1
ADV,PUNCT,4
DET,PROPN,5
PROPN,PRON,1
PRON,CCONJ,1
CCONJ,DET,2
ADJ,INTJ,1
ADP,PROPN,3
PUNCT,DET,5
VERB,ADJ,2
CCONJ,PUNCT,1
PUNCT,SCONJ,1
SCONJ,AUX,1
AUX,ADP,2
ADP,ADV,3
ADV,NUM,1
AUX,ADV,2
VERB,NOUN,3
ADP,ADP,3
ADP,ADJ,6
PUNCT,X,1
ADJ,NUM,2
PUNCT,PUNCT,4
ADJ,ADJ,3
PRON,ADP,2
VERB,AUX,1
PUNCT,PART,1
PART,ADP,1
PRON,PUNCT,2
PUNCT,ADP,3
AUX,PRON,2
NOUN,SCONJ,1
SCONJ,VERB,1
PROPN,VERB,1
ADV,ADV,3
NUM,SYM,1
SYM,NUM,1
ADP,VERB,1
NOUN,DET,1
ADP,AUX,1
VERB,ADV,1
ADV,ADP,2
PROPN,PART,1
PART,NOUN,1
PUNCT,VERB,2
CCONJ,PRON,2
PUNCT,PROPN,2
PUNCT,AUX,1
AUX,AUX,1
PUNCT,CCONJ,2
ADP,PUNCT,1
PROPN,ADV,1
PRON,ADJ,1
CCONJ,ADV,2
ADJ,CCONJ,1
