pos1,pos2,pos3,freq
ADP,NOUN,ADP,1
NOUN,ADP,DET,5
ADP,DET,ADJ,5
DET,ADJ,NOUN,6
ADJ,NOUN,PART,1
NOUN,PART,PROPN,1
PART,PROPN,CCONJ,1
PROPN,CCONJ,PROPN,2
CCONJ,PROPN,NOUN,1
PROPN,NOUN,ADV,1
NOUN,ADV,AUX,1
ADV,AUX,DET,2
AUX,DET,NOUN,1
DET,NOUN,ADJ,1
NOUN,ADJ,PUNCT,1
ADJ,PUNCT,NOUN,1
PUNCT,NOUN,NOUN,1
NOUN,NOUN,PRON,2
NOUN,PRON,PRON,1
PRON,PRON,AUX,2
PRON,AUX,VERB,4
AUX,VERB,PUNCT,1
PRON,ADV,VERB,1
ADV,VERB,DET,1
VERB,DET,NOUN,5
DET,NOUN,NUM,1
NOUN,NUM,NOUN,1
NUM,NOUN,CCONJ,1
NOUN,CCONJ,VERB,2
CCONJ,VERB,SCONJ,1
VERB,SCONJ,PRON,1
SCONJ,PRON,AUX,2
AUX,VERB,NUM,1
VERB,NUM,ADP,1
NUM,ADP,PRON,1
ADP,PRON,NOUN,1
PRON,NOUN,ADP,1
ADP,DET,NOUN,9
DET,NOUN,PUNCT,5
SCONJ,PRON,VERB,1
PRON,VERB,DET,3
DET,NOUN,PRON,1
NOUN,PRON,AUX,3
AUX,VERB,PART,2
VERB,PART,VERB,2
PART,VERB,PUNCT,2
VERB,PUNCT,PRON,1
PUNCT,PRON,AUX,2
PRON,AUX,PART,2
AUX,PART,PROPN,1
PART,PROPN,PUNCT,1
PROPN,PUNCT,ADV,1
PUNCT,ADV,INTJ,1
ADV,INTJ,VERB,1
INTJ,VERB,PRON,2
VERB,PRON,DET,3
PRON,DET,NOUN,2
NOUN,CCONJ,PROPN,1
CCONJ,PROPN,PROPN,2
PROPN,PROPN,PUNCT,2
NOUN,AUX,VERB,4
AUX,VERB,ADP,5
VERB,ADP,DET,3
DET,NOUN,NOUN,1
AUX,PART,DET,1
PART,DET,ADJ,1
DET,ADJ,ADP,1
ADJ,ADP,NOUN,2
ADP,NOUN,PUNCT,2
PRON,AUX,ADJ,4
AUX,ADJ,PUNCT,3
ADJ,ADP,DET,2
ADJ,NOUN,PRON,1
AUX,ADJ,NOUN,2
ADJ,NOUN,NOUN,2
NOUN,NOUN,AUX,1
NOUN,AUX,PART,3
AUX,PART,AUX,1
PART,AUX,VERB,3
VERB,ADP,CCONJ,1
ADP,CCONJ,NOUN,1
