lemma,pos,freq
in,ADP,4
honor,NOUN,1
of,ADP,9
this,DET,2
coming,ADJ,1
weekend,NOUN,1
's,PART,2
Auburn,PROPN,1
and,CCONJ,11
Georgia,PROPN,1
game,NOUN,1
here,ADV,4
be,AUX,24
a,DET,12
couple,NOUN,1
new,ADJ,2
ish,NOUN,1
print,NOUN,2
that,PRON,4
I,PRON,8
have,AUX,7
do,VERB,3
obviously,ADV,1
the,DET,20
auburn,NOUN,1
one,NUM,2
1st,NOUN,1
but,CCONJ,4
feel,VERB,1
like,SCONJ,1
should,AUX,1
for,ADP,6
our,PRON,1
neighbor,NOUN,1
to,ADP,4
north,NOUN,1
if,SCONJ,2
there,PRON,2
be,VERB,2
another,DET,1
team,NOUN,1
you,PRON,3
would,AUX,1
like,VERB,1
to,PART,5
see,VERB,1
not,PART,7
Alabama,PROPN,1
then,ADV,1
please,INTJ,2
send,VERB,2
an,DET,3
email,NOUN,2
thank,NOUN,1
WAR,PROPN,1
EAGLE,PROPN,1
g*y,NOUN,1
use,VERB,1
as,ADP,7
derrogatory,NOUN,1
term,NOUN,1
which,PRON,2
same,ADJ,1
homosexual,NOUN,1
1,X,1
it,PRON,4
early,ADJ,1
Most,ADJ,1
annual,ADJ,1
award,NOUN,1
good,ADJ,1
predictor,NOUN,1
variable,NOUN,1
give,VERB,1
out,ADP,1
nor,CCONJ,1
finalist,NOUN,1
announce,VERB,1
one,NOUN,1
exactly,ADV,1
finish,VERB,1
little,ADJ,2
while,NOUN,1
back,ADV,1
post,VERB,1
Dr,PROPN,2
who,PRON,1
Dre,PROPN,1
mashup,NOUN,1
currently,ADV,1
availble,ADJ,1
on,ADP,4
canvas,NOUN,1
magnet,NOUN,1
interested,ADJ,1
accord,VERB,1
Frosch,PROPN,1
listing,NOUN,1
receive,VERB,3
global,ADJ,1
attention,NOUN,1
despite,SCONJ,1
market,NOUN,1
only,ADV,1
24,NUM,2
hour,NOUN,1
buyer,NOUN,1
already,ADV,1
show,VERB,1
interest,NOUN,1
late,ADJ,1
i.e.,X,1
past,ADJ,1
two,NUM,2
year,NOUN,2
board,NOUN,1
appear,VERB,1
opt,VERB,1
more,ADJ,1
general,ADJ,1
fair,ADJ,1
clear,ADJ,1
neither,PRON,1
last,ADJ,1
novel,NOUN,3
win,VERB,2
bad,ADJ,1
at,ADP,2
least,ADJ,2
however,ADV,1
they,PRON,1
nothing,PRON,1
near,ADP,1
obscure,ADJ,1
something,PRON,1
happen,VERB,1
past,NOUN,1
as,SCONJ,1
regard,VERB,1
Pulitzer,PROPN,1
go,VERB,2
with,ADP,4
Wind,PROPN,1
after,ADV,1
all,ADV,1
independent,ADJ,1
specialist,NOUN,1
college,NOUN,2
provide,VERB,1
education,NOUN,1
young,ADJ,1
people,NOUN,1
age,VERB,1
16,NUM,1
learn,VERB,1
difficulty,NOUN,1
and/or,CCONJ,1
disability,NOUN,1
oblige,VERB,1
publish,VERB,2
SEND,PROPN,1
report,NOUN,1
so,ADV,2
many,ADJ,1
contradictory,ADJ,1
opinion,NOUN,1
about,ADP,1
life,NOUN,1
really,ADV,1
have,VERB,1
intrigue,VERB,1
much,ADJ,1
recognition,NOUN,1
probability,NOUN,1
Spain,PROPN,1
increase,NOUN,1
Sotheby,PROPN,1
auction,NOUN,1
up,ADP,1
top,NOUN,1
page,NOUN,1
check,VERB,1
mast,NOUN,1
left,NOUN,1
link,NOUN,1
right,ADJ,1
minimum,NOUN,1
meet,VERB,1
Fortune,PROPN,1
Sniles,PROPN,1
very,ADV,1
well,ADV,1
my,PRON,1
bet,NOUN,1
Fates,PROPN,1
Furies,PROPN,1
Johnson,PROPN,1
always,ADV,1
write,VERB,1
arguably,ADV,1
even,ADV,1
OMS,PROPN,1
sense,NOUN,1
humor,NOUN,1
satirical,ADJ,1
edge,NOUN,1
his,PRON,1
first,ADJ,1
basically,ADV,1
full,ADJ,1
brilliance,NOUN,1
energy,NOUN,1
ultimately,ADV,1
deem,VERB,1
uneven,ADJ,1
often,ADV,1
unsuccessful,ADJ,1
he,PRON,1
take,VERB,1
lot,NOUN,1
risk,NOUN,1
