pos1,pos2,freq
DET,NOUN,21105
PRON,AUX,16901
NOUN,ADP,13514
PRON,VERB,13449
ADP,DET,12576
ADJ,NOUN,11829
VERB,ADP,9105
AUX,VERB,9010
NOUN,NOUN,8479
VERB,PRON,8340
PART,VERB,7992
VERB,DET,7554
DET,ADJ,6808
ADP,NOUN,6430
NOUN,PRON,6394
SCONJ,PRON,5480
ADP,PRON,5428
NOUN,CCONJ,5289
NOUN,AUX,4594
CCONJ,PRON,4427
NOUN,VERB,3863
VERB,PART,3755
ADV,VERB,3681
PRON,NOUN,3676
VERB,NOUN,3614
AUX,ADV,3331
AUX,PART,3221
ADV,PRON,3202
PRON,PRON,3019
ADV,ADV,2811
AUX,DET,2651
NOUN,ADV,2525
VERB,ADV,2445
NUM,NUM,2414
NOUN,SCONJ,2382
AUX,PRON,2321
PRON,ADV,2270
VERB,SCONJ,2258
AUX,ADJ,2239
ADV,ADP,2217
NOUN,PART,2210
ADV,ADJ,2168
PRON,ADP,2154
PROPN,PROPN,2045
AUX,AUX,1947
NUM,NOUN,1920
ADP,ADJ,1891
CCONJ,ADV,1730
CCONJ,VERB,1717
ADJ,ADP,1674
ADP,PROPN,1652
VERB,ADJ,1518
CCONJ,NOUN,1361
SCONJ,DET,1354
ADP,ADP,1310
CCONJ,DET,1308
ADV,DET,1198
PROPN,NOUN,1136
NOUN,DET,1134
ADP,VERB,1127
PART,AUX,1077
AUX,ADP,1055
ADP,NUM,1033
PRON,ADJ,1016
CCONJ,NUM,952
NUM,CCONJ,943
VERB,CCONJ,941
ADV,SCONJ,925
ADV,AUX,900
ADJ,ADJ,894
INTJ,PRON,860
NUM,ADP,821
VERB,VERB,794
PRON,DET,768
ADJ,CCONJ,725
NOUN,ADJ,716
DET,PROPN,708
CCONJ,ADJ,692
AUX,SCONJ,663
ADP,ADV,660
ADJ,PART,659
PART,ADV,657
ADV,CCONJ,657
DET,NUM,635
VERB,NUM,631
CCONJ,SCONJ,610
CCONJ,ADP,608
NOUN,NUM,585
PART,NOUN,583
AUX,NOUN,567
VERB,AUX,534
DET,DET,532
PROPN,VERB,512
DET,ADV,509
SCONJ,NOUN,498
PRON,CCONJ,491
ADP,SCONJ,480
ADJ,SCONJ,480
NOUN,PROPN,466
ADJ,PRON,450
PROPN,AUX,441
PRON,PART,440
ADV,NOUN,431
DET,VERB,428
PROPN,ADP,415
SCONJ,SCONJ,411
PRON,SCONJ,403
PROPN,CCONJ,398
PART,ADJ,353
ADP,CCONJ,350
VERB,PROPN,349
ADV,PART,346
PROPN,PART,323
ADV,NUM,322
CCONJ,AUX,318
AUX,NUM,313
SCONJ,ADJ,297
SCONJ,ADP,293
ADJ,ADV,282
PROPN,PRON,280
SCONJ,AUX,278
NUM,ADJ,271
CCONJ,PROPN,260
ADJ,VERB,255
SCONJ,ADV,246
PART,DET,245
INTJ,INTJ,233
PART,PRON,233
NUM,PRON,215
CCONJ,PART,208
ADJ,NUM,206
SCONJ,PROPN,195
SCONJ,VERB,189
INTJ,VERB,186
VERB,INTJ,179
PROPN,ADV,177
ADJ,PROPN,174
PRON,PROPN,174
ADP,AUX,171
INTJ,ADV,165
ADJ,AUX,157
NOUN,INTJ,153
ADP,PART,134
DET,PRON,134
ADJ,DET,129
ADV,INTJ,129
NUM,AUX,126
AUX,PROPN,123
SCONJ,PART,121
PART,ADP,119
NUM,PART,119
ADV,PROPN,118
PROPN,ADJ,116
PART,NUM,115
AUX,CCONJ,114
PROPN,NUM,112
INTJ,DET,105
NUM,VERB,100
PRON,NUM,94
PROPN,DET,93
NUM,ADV,92
PART,PART,89
NUM,DET,88
INTJ,NOUN,87
CCONJ,CCONJ,84
PROPN,SCONJ,84
INTJ,ADJ,80
INTJ,CCONJ,77
CCONJ,INTJ,72
SCONJ,NUM,70
INTJ,SCONJ,66
AUX,INTJ,60
PRON,INTJ,56
INTJ,AUX,52
NUM,SCONJ,52
PART,SCONJ,51
INTJ,PROPN,50
INTJ,ADP,45
ADP,INTJ,41
NUM,PROPN,40
SCONJ,CCONJ,38
PROPN,INTJ,37
ADJ,INTJ,35
INTJ,NUM,29
PART,CCONJ,24
PART,PROPN,23
INTJ,PART,17
SCONJ,INTJ,12
PART,INTJ,12
NUM,INTJ,10
DET,ADP,9
NOUN,PUNCT,8
DET,INTJ,7
DET,SCONJ,6
X,PRON,6
PROPN,X,6
X,PROPN,6
X,NOUN,6
NOUN,X,5
DET,CCONJ,5
PUNCT,NOUN,5
X,ADV,4
PRON,X,4
ADV,X,4
DET,AUX,4
VERB,X,3
DET,X,3
X,INTJ,2
ADP,X,2
NUM,X,2
PUNCT,AUX,2
PUNCT,PRON,2
X,DET,2
X,X,2
DET,PART,2
ADV,PUNCT,1
ADJ,PUNCT,1
PUNCT,ADV,1
X,ADP,1
PRON,PUNCT,1
X,SCONJ,1
ADJ,X,1
CCONJ,PUNCT,1
VERB,PUNCT,1
PUNCT,SCONJ,1
CCONJ,X,1
ADP,PUNCT,1
X,CCONJ,1
X,ADJ,1
X,PART,1
