pos1,pos2,pos3,freq
ADP,DET,NOUN,8995
PRON,AUX,VERB,5847
DET,ADJ,NOUN,5680
DET,NOUN,ADP,5475
VERB,DET,NOUN,5246
NOUN,ADP,DET,4666
NOUN,ADP,NOUN,3607
VERB,ADP,DET,3120
PRON,VERB,PRON,2858
VERB,PART,VERB,2836
NOUN,PRON,AUX,2813
DET,NOUN,NOUN,2795
ADJ,NOUN,ADP,2666
PRON,VERB,DET,2624
SCONJ,PRON,AUX,2577
AUX,VERB,ADP,2562
ADP,DET,ADJ,2438
DET,NOUN,PRON,2404
PRON,AUX,PART,2362
SCONJ,PRON,VERB,2318
PRON,AUX,ADV,2190
CCONJ,PRON,AUX,2152
PRON,VERB,ADP,2096
AUX,PART,VERB,2070
NOUN,PRON,VERB,1988
NOUN,ADP,PRON,1862
DET,NOUN,AUX,1676
PART,VERB,PRON,1659
VERB,DET,ADJ,1648
PART,VERB,DET,1629
VERB,ADP,PRON,1584
ADV,PRON,AUX,1583
VERB,PRON,AUX,1564
PART,VERB,ADP,1530
PRON,AUX,DET,1496
ADJ,NOUN,NOUN,1490
DET,NOUN,CCONJ,1473
CCONJ,PRON,VERB,1466
NOUN,PART,VERB,1443
ADP,PRON,NOUN,1438
ADP,ADJ,NOUN,1414
NOUN,AUX,VERB,1414
NOUN,SCONJ,PRON,1404
AUX,DET,NOUN,1392
PRON,PRON,AUX,1350
ADJ,NOUN,PRON,1336
PRON,VERB,PART,1329
ADP,NOUN,ADP,1323
AUX,VERB,PART,1293
VERB,PRON,VERB,1264
PRON,AUX,ADJ,1253
DET,NOUN,VERB,1249
NOUN,CCONJ,PRON,1230
PRON,AUX,AUX,1213
NOUN,NOUN,NOUN,1197
AUX,VERB,DET,1193
NOUN,NOUN,ADP,1179
VERB,ADP,NOUN,1167
AUX,VERB,PRON,1160
VERB,PRON,ADP,1158
PRON,PRON,VERB,1150
NOUN,CCONJ,NOUN,1103
VERB,SCONJ,PRON,1097
ADV,PRON,VERB,1070
NOUN,VERB,ADP,1043
ADJ,NOUN,CCONJ,1036
SCONJ,DET,NOUN,1028
VERB,PRON,NOUN,1017
AUX,ADV,VERB,999
VERB,NOUN,ADP,991
PRON,ADV,VERB,983
ADV,ADP,DET,959
AUX,PRON,VERB,948
AUX,DET,ADJ,941
ADP,NOUN,NOUN,940
VERB,ADJ,NOUN,933
PRON,AUX,PRON,928
DET,NOUN,SCONJ,919
CCONJ,DET,NOUN,901
PRON,ADP,DET,891
NOUN,NOUN,CCONJ,888
NOUN,ADP,ADJ,878
DET,NOUN,ADV,876
DET,NOUN,PART,859
NOUN,PRON,PRON,840
NOUN,NOUN,PRON,836
ADV,VERB,ADP,834
PRON,VERB,NOUN,825
NUM,CCONJ,NUM,795
PRON,VERB,ADV,792
PRON,VERB,SCONJ,786
NUM,NUM,CCONJ,779
AUX,ADV,ADJ,766
NOUN,ADP,PROPN,747
AUX,AUX,VERB,747
NOUN,DET,NOUN,742
VERB,ADP,ADP,731
ADV,DET,NOUN,723
NOUN,CCONJ,DET,716
ADJ,NOUN,AUX,713
ADJ,ADJ,NOUN,704
NOUN,CCONJ,VERB,702
ADP,NOUN,CCONJ,698
ADV,ADJ,NOUN,693
NOUN,NOUN,AUX,685
ADV,VERB,PRON,658
ADP,NOUN,PRON,648
PRON,ADJ,NOUN,647
VERB,PRON,ADV,630
ADV,VERB,DET,629
NUM,NUM,NUM,623
ADJ,ADP,DET,622
NOUN,NOUN,VERB,619
PART,VERB,NOUN,612
