pos1,pos2,freq
PRON,AUX,30132
AUX,SCONJ,1062
SCONJ,PRON,9585
PRON,VERB,24224
VERB,DET,14786
DET,NOUN,39829
NOUN,ADP,25006
ADP,NOUN,11096
ADP,DET,22650
INTJ,ADV,356
ADV,PRON,5519
AUX,ADJ,3805
ADJ,ADJ,1569
ADJ,CCONJ,1140
CCONJ,ADJ,1141
ADJ,NOUN,21088
NOUN,AUX,8797
AUX,PRON,4263
PRON,PRON,5066
AUX,VERB,17493
VERB,CCONJ,1695
CCONJ,VERB,3024
VERB,ADP,15828
NOUN,CCONJ,9621
CCONJ,NOUN,2608
CCONJ,PRON,7572
AUX,DET,4586
DET,ADJ,12045
ADP,PRON,9207
AUX,ADP,1819
AUX,PART,6220
PART,DET,406
ADV,ADJ,3091
ADJ,ADV,452
ADV,ADV,4532
ADV,PART,656
PART,VERB,14825
NOUN,NOUN,16902
INTJ,INTJ,514
INTJ,PRON,1759
VERB,PRON,15872
PRON,ADP,4021
ADV,VERB,6046
PRON,ADJ,1839
PRON,ADV,3868
NOUN,PART,4218
NOUN,SCONJ,3855
ADV,AUX,1595
NOUN,PRON,10776
ADP,VERB,2109
ADP,ADJ,3258
ADP,PROPN,3428
ADV,DET,2084
VERB,AUX,976
SCONJ,DET,2399
AUX,ADV,5539
VERB,VERB,1450
VERB,ADV,4318
VERB,NOUN,6645
PART,PRON,506
AUX,AUX,3607
PRON,NOUN,6311
SCONJ,AUX,556
VERB,NUM,1309
NUM,NOUN,3999
NOUN,VERB,7687
ADP,CCONJ,592
CCONJ,DET,2380
ADV,SCONJ,1564
ADJ,PRON,884
VERB,PART,6750
SCONJ,PROPN,364
PROPN,AUX,1040
VERB,ADJ,2858
ADJ,SCONJ,816
SCONJ,SCONJ,666
NOUN,ADV,4361
ADP,ADP,2213
PART,ADV,1110
VERB,SCONJ,3972
VERB,INTJ,378
ADJ,NUM,429
NUM,AUX,247
PRON,NUM,160
NUM,NUM,5688
NUM,DET,216
PRON,DET,1437
ADP,ADV,1111
NOUN,NUM,1054
NUM,ADV,156
ADV,CCONJ,1051
ADJ,PART,1046
ADP,NUM,2328
DET,NUM,1191
NUM,ADP,1340
VERB,PROPN,817
NUM,CCONJ,2286
CCONJ,NUM,2169
NUM,SCONJ,111
SCONJ,NUM,132
DET,DET,790
PART,AUX,1845
AUX,NOUN,858
CCONJ,ADV,2791
ADV,ADP,3664
NUM,ADJ,635
ADJ,ADP,2738
DET,VERB,828
DET,PROPN,1621
PROPN,NOUN,2702
CCONJ,ADP,888
ADJ,DET,223
DET,ADV,753
PROPN,PART,675
PART,CCONJ,68
NOUN,ADJ,1511
SCONJ,NOUN,744
NOUN,DET,2185
PROPN,NUM,196
NUM,VERB,210
PRON,PART,766
AUX,NUM,571
PRON,SCONJ,776
CCONJ,SCONJ,957
SCONJ,ADJ,455
PRON,INTJ,128
INTJ,NOUN,150
SCONJ,VERB,324
NUM,PRON,338
CCONJ,INTJ,114
PROPN,PROPN,4696
PRON,CCONJ,999
AUX,CCONJ,201
ADP,PART,211
ADJ,PROPN,406
NOUN,PROPN,1048
SCONJ,ADV,344
PROPN,CCONJ,892
PROPN,PRON,669
PRON,PROPN,396
PART,ADJ,692
ADP,SCONJ,721
CCONJ,AUX,634
ADJ,INTJ,48
PROPN,VERB,1155
PROPN,ADP,850
ADV,NUM,642
INTJ,ADP,117
ADJ,VERB,421
PART,INTJ,32
SCONJ,ADP,474
ADP,AUX,320
ADJ,AUX,251
PART,PART,153
ADV,NOUN,549
NOUN,INTJ,339
PROPN,SCONJ,171
NUM,PART,240
PART,NUM,251
INTJ,PROPN,76
INTJ,CCONJ,137
PART,ADP,218
DET,PRON,194
AUX,INTJ,120
INTJ,NUM,72
INTJ,SCONJ,138
INTJ,VERB,323
INTJ,AUX,90
ADV,PROPN,239
PROPN,DET,243
AUX,PROPN,223
CCONJ,PART,390
ADP,INTJ,45
PART,NOUN,1163
PART,SCONJ,95
CCONJ,PROPN,535
SCONJ,PART,180
PROPN,ADJ,267
INTJ,ADJ,99
DET,INTJ,33
PROPN,ADV,288
ADV,INTJ,217
INTJ,DET,194
NUM,PROPN,82
CCONJ,CCONJ,103
SCONJ,INTJ,30
SCONJ,CCONJ,85
PRON,X,2
PART,PROPN,38
DET,X,5
X,PRON,4
ADP,X,9
X,ADJ,2
INTJ,PART,19
X,X,3
X,ADP,2
DET,SCONJ,10
VERB,SYM,2
SYM,NOUN,1
DET,PART,3
NUM,INTJ,20
PROPN,INTJ,34
VERB,PUNCT,7
PUNCT,NOUN,4
AUX,PUNCT,1
NOUN,X,10
X,DET,5
X,AUX,2
DET,ADP,15
X,ADV,3
X,CCONJ,7
X,NOUN,6
X,SCONJ,2
DET,CCONJ,7
DET,AUX,4
VERB,X,4
AUX,X,1
X,VERB,4
SCONJ,PUNCT,1
PRON,PUNCT,2
NOUN,SYM,1
SYM,PROPN,1
X,PROPN,8
X,PART,1
ADV,X,2
PUNCT,PART,1
PUNCT,SCONJ,1
X,NUM,1
ADV,SYM,2
SYM,NUM,2
PROPN,X,2
NUM,X,3
ADJ,X,3
PUNCT,AUX,1
PROPN,PUNCT,1
PUNCT,VERB,1
PUNCT,ADP,2
NOUN,PUNCT,1
ADP,PUNCT,1
SCONJ,X,1
CCONJ,X,2
