pos1,pos2,pos3,freq
PRON,AUX,SCONJ,1
AUX,SCONJ,PRON,1
SCONJ,PRON,VERB,1
PRON,VERB,DET,2
VERB,DET,NOUN,3
DET,NOUN,ADP,2
NOUN,ADP,NOUN,2
ADP,NOUN,ADP,1
NOUN,ADP,DET,1
ADP,DET,NOUN,3
INTJ,ADV,PRON,1
ADV,PRON,AUX,2
PRON,AUX,ADJ,1
AUX,ADJ,ADJ,1
ADJ,ADJ,CCONJ,1
ADJ,CCONJ,ADJ,1
CCONJ,ADJ,NOUN,1
ADJ,NOUN,AUX,1
NOUN,AUX,PRON,1
AUX,PRON,PRON,1
PRON,PRON,AUX,2
PRON,AUX,VERB,4
AUX,VERB,CCONJ,1
VERB,CCONJ,VERB,1
CCONJ,VERB,ADP,1
VERB,ADP,DET,2
DET,NOUN,CCONJ,1
NOUN,CCONJ,NOUN,2
CCONJ,PRON,AUX,2
PRON,AUX,DET,3
AUX,DET,ADJ,3
DET,ADJ,NOUN,5
ADJ,NOUN,ADP,1
NOUN,ADP,PRON,1
ADP,PRON,PRON,1
PRON,AUX,ADP,1
AUX,ADP,DET,1
PRON,AUX,PART,1
AUX,PART,DET,1
PART,DET,ADJ,1
AUX,VERB,ADP,2
ADP,DET,ADJ,1
DET,ADJ,ADJ,1
ADJ,ADJ,NOUN,1
ADV,ADJ,ADV,1
ADJ,ADV,ADV,1
ADV,ADV,PART,1
ADV,PART,VERB,1
PART,VERB,ADP,1
VERB,DET,ADJ,1
ADJ,NOUN,CCONJ,1
CCONJ,NOUN,NOUN,1
INTJ,INTJ,PRON,1
INTJ,PRON,AUX,1
AUX,VERB,PRON,1
VERB,PRON,ADP,1
ADV,VERB,DET,1
PRON,AUX,PRON,1
AUX,PRON,ADJ,1
PRON,ADJ,NOUN,1
PRON,ADV,VERB,1
ADV,VERB,PRON,1
ADJ,NOUN,PART,1
NOUN,PART,VERB,1
PART,VERB,DET,1
NOUN,NOUN,AUX,1
NOUN,AUX,DET,1
AUX,DET,NOUN,1
ADP,NOUN,SCONJ,1
NOUN,SCONJ,PRON,1
SCONJ,PRON,AUX,1
