,count_in_df1,count_in_df2,shared_total
vertelen,1,1,2
spiegelbeeld,1,1,2
leiden,1,1,2
burger,1,1,2
wassen,1,1,2
woest,1,1,2
wijze,1,1,2
sappig,1,1,2
struikelen,1,1,2
ophouden,1,1,2
parcours,1,1,2
winter,1,1,2
durfen,1,1,2
haal,1,1,2
uitsteken,1,1,2
blok,1,1,2
explodeeren,1,1,2
zochen,1,1,2
haha,1,1,2
aangerend,1,1,2
stof,1,1,2
kuil,1,1,2
trillen,1,1,2
bovenop,1,1,2
beleven,1,1,2
vooruit,1,1,2
ligan,1,1,2
deurtje,1,1,2
supersnel,1,1,2
bergen,1,1,2
concert,1,1,2
weggelopen,1,1,2
thee,1,1,2
café,1,1,2
stro,1,1,2
engel,1,1,2
zonnen,1,1,2
afscheid,1,1,2
geval,1,1,2
sloten,1,1,2
gevreesd,1,1,2
barbecue,1,1,2
drijven,1,1,2
aansluiten,1,1,2
sporten,1,1,2
gooit,1,1,2
dronken,1,1,2
chocolademelk,1,1,2
stellen,1,1,2
gaat,1,1,2
stoelt,1,1,2
kooit,1,1,2
bezoek,1,1,2
blazen,1,1,2
dun,1,1,2
zeil,1,1,2
zonsondergang,1,1,2
verf,1,1,2
das,1,1,2
haalt,1,1,2
achterin,1,1,2
zebra,1,1,2
afwijzen,1,1,2
fietsen,1,1,2
slikken,1,1,2
kleed,1,1,2
verdwaallen,1,1,2
aanbieden,1,1,2
schreeuwden,1,1,2
meemaken,1,1,2
hutt,1,1,2
spronget,1,1,2
roeppen,1,1,2
visjes,1,1,2
basketbal,1,1,2
pken,1,1,2
hingen,1,1,2
allang,1,1,2
huilde,1,1,2
rooster,1,1,2
gebied,1,1,2
plaatshebben,1,1,2
basket,1,1,2
snoepen,1,1,2
uitmaken,1,1,2
begroeten,1,1,2
velle,1,1,2
schudden,1,1,2
paraplu,1,1,2
spoelde,1,1,2
gesprongen,1,1,2
no,1,1,2
giraf,1,1,2
past,1,1,2
piepen,1,1,2
wegjagen,1,1,2
repareren,1,1,2
giraffe,2,1,3
bezoeken,1,2,3
rok,2,1,3
mezelf,2,1,3
onderaan,1,2,3
afstand,2,1,3
speeltuint,2,1,3
eroverheen,1,2,3
giftig,1,2,3
brok,2,1,3
stopen,1,2,3
druk,1,2,3
wiel,2,1,3
heftig,2,1,3
bleef,1,2,3
star,1,2,3
jacht,1,2,3
bloemenveld,1,2,3
bel,2,1,3
rammelen,1,2,3
materiaal,2,1,3
keurig,2,1,3
bessen,1,2,3
aanlopen,2,1,3
mat,2,1,3
verlaten,2,1,3
liever,1,2,3
plons,1,2,3
vroegen,2,1,3
lach,1,2,3
overheen,2,1,3
aantrekken,2,1,3
roofdier,1,2,3
bodem,2,1,3
knuffelen,1,2,3
lastig,2,1,3
wereldberoemd,2,1,3
lekkerd,2,1,3
kik,1,2,3
waarmee,2,1,3
duik,1,2,3
hing,1,2,3
vertrekken,1,2,3
knecht,2,1,3
geplukt,1,2,3
schaar,1,2,3
knippen,2,1,3
geluk,2,1,3
chocolade,1,2,3
spijt,2,1,3
lawaai,1,2,3
eronder,2,1,3
nadat,2,1,3
geloven,2,1,3
kusken,1,2,3
hoed,1,2,3
onderzoeken,2,1,3
verzamelen,2,1,3
tillen,1,2,3
kochen,1,2,3
gaaf,2,1,3
beker,2,1,3
binnenkomen,2,1,3
doorslikken,2,1,3
dankjewel,1,2,3
oranje,2,1,3
opduiken,2,1,3
plaats,2,2,4
ademen,3,1,4
machine,3,1,4
voren,1,3,4
sla,3,1,4
omheen,3,1,4
kleren,3,1,4
kok,2,2,4
vest,1,3,4
reizen,3,1,4
kochten,1,3,4
vlindert,1,3,4
doorn,1,3,4
struik,3,1,4
opzetten,3,1,4
vorig,3,1,4
vaas,1,3,4
krab,1,3,4
ten,3,1,4
start,3,1,4
klauw,1,3,4
snijden,3,1,4
doorheen,2,2,4
aai,1,3,4
opstaan,2,2,4
enthousiast,1,3,4
kauwgom,2,2,4
lich,1,3,4
ring,1,3,4
huid,2,2,4
planten,1,3,4
jager,3,1,4
vriendschap,1,3,4
spreken,2,2,4
medicijn,2,2,4
leefen,3,1,4
glimmen,1,3,4
zwaaien,2,2,4
vasthouden,2,2,4
hielden,1,3,4
vert,3,1,4
leer,2,2,4
gemeen,3,1,4
tegenhouden,1,3,4
doos,1,3,4
pakten,1,3,4
vlug,1,3,4
belangrijk,2,2,4
dook,3,1,4
richting,1,3,4
borst,1,3,4
superlekker,1,3,4
mes,3,1,4
benieuwd,2,2,4
onderweg,2,2,4
doek,3,1,4
stoep,3,1,4
begin,3,1,4
glinsteren,1,3,4
stout,3,1,4
kroop,3,1,4
poort,1,3,4
werk,2,2,4
bijten,3,1,4
tas,3,1,4
hoi,2,2,4
doodging,3,1,4
aanraken,3,1,4
uitnodigen,2,3,5
erachteraan,3,2,5
verdwaald,1,4,5
kroon,3,2,5
dorst,4,1,5
steken,2,3,5
schouder,2,3,5
voeren,3,2,5
race,3,2,5
adem,3,2,5
kijk,4,1,5
kerk,1,4,5
delen,3,2,5
dennenappel,2,3,5
ruiken,2,3,5
verliefd,4,1,5
kelder,3,2,5
nes,1,4,5
dichtbij,2,3,5
gezellig,3,2,5
knapp,2,3,5
ballenbak,3,2,5
huillen,3,2,5
vriendje,3,2,5
stormen,4,1,5
geleden,4,1,5
pasen,1,4,5
gleed,3,2,5
biet,2,3,5
kluis,4,1,5
boomstam,3,2,5
appeltaart,1,4,5
avondeten,4,1,5
wow,3,2,5
zakte,3,2,5
alsjeblieft,4,1,5
hoop,3,2,5
papier,4,1,5
neem,4,1,5
manier,3,2,5
oppakken,3,2,5
klagen,4,1,5
rots,2,3,5
bakker,4,1,5
gooi,3,2,5
makkelijk,4,1,5
fabriek,4,1,5
ballon,2,4,6
vluchten,1,5,6
allerlei,3,3,6
riepen,5,1,6
lijn,1,5,6
logeren,3,3,6
trui,4,2,6
deel,5,1,6
zandbak,3,3,6
gebruiken,5,1,6
gingen,5,1,6
gevaarlijk,5,1,6
pompoen,2,4,6
keuken,2,4,6
schuilen,5,1,6
o,1,5,6
breed,1,5,6
ooh,1,5,6
voordat,5,1,6
antwoord,5,1,6
pan,4,2,6
hek,5,1,6
woonden,1,5,6
jack,1,5,6
bil,5,1,6
zomaar,5,1,6
hoor,5,1,6
kaart,4,2,6
rusten,1,5,6
enorm,5,1,6
vriendjes,2,4,6
wandeling,1,5,6
ladder,2,4,6
tegemoetkomen,3,3,6
verdrinken,5,1,6
volwassen,4,2,6
vlees,5,1,6
zoon,3,4,7
jurk,5,2,7
zat,6,1,7
schommelen,3,4,7
storen,6,1,7
boerin,1,6,7
bewegen,3,4,7
plaat,6,1,7
val,6,1,7
baasje,3,4,7
sammie,1,6,7
weglopen,6,1,7
ophalen,6,1,7
tussen,5,2,7
grasveld,1,6,7
afspelen,1,6,7
stal,4,3,7
eenzaam,1,6,7
vielen,4,3,7
paardrijden,4,3,7
beschermen,6,1,7
ermee,4,3,7
lijf,6,1,7
wedstrijd,6,1,7
eromheen,1,6,7
peer,1,6,7
tevoorschijn,6,1,7
favoriet,2,5,7
bakken,3,4,7
verkeerd,6,1,7
muziek,6,1,7
seconde,6,1,7
